GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155
   Республика Адыгея;14201220;14187831;1506;1617608;1617493;16175061;210;14863;14863;163493;11;7096;10154669;10144817;50724114;1420;0;98001;98001;588007;64;19255;14795;73975;2;0;0;0;0;18266;17779;88895;30;1937547;1936368;12561672;701;261259;259428;302;5274;9223;4;353169;351344;459;19228;17813;106;0;0;0;227;231;5;16;16;1;0;0;0;12114328;12132661;1396;9464405;9498948;1382;422012;407734;72;5927;5039;15;340664;340855;284;18119;17632;27;1852171;1851440;668;10975;10958;12;0;0;0;0;0;0;30404;30381;12;2447950;2414855;1546;0;0;0;370219;370273;39;8148;8282;1;837954;3356811;671363;104875;20975;4735;645653;5;1;0;0;0;1;1;0;395180;79036;10393;2079;2844;74113;0;0;0;0;3751991;750399;115268;23054;7579;719766;418973;83794;27;5;0;83789;2;0;0;0;2;23999;442972;0;0;0;0;837954;30381
   Республика Башкортостан;484623793;480159097;31513;16124940;16067022;160670312;2620;631;682;7511;23;1627021;347734288;345031472;1725071331;30581;-48801;3695161;3707022;22242133;504;575;575;9682;5;0;0;0;0;502233;499150;2495749;203;97394100;97231698;595818330;12545;16624866;16461757;5591;170056;170368;55;17591013;17441681;8159;516429;509728;3291;0;0;0;1716;1533;28;-215029;-235014;17;967;881;9;452045989;447821235;30283;335729856;331840692;30043;4284491;4271490;571;957219;956438;222;17955670;17871461;5227;480996;485033;198;92131838;92004699;11628;501273;387295;330;119;119;3;14719;9474;5;4216510;4230789;194;51285058;50744216;33346;0;0;0;22572609;22345354;404;4816936;4825004;67;205126909;45172987;9034597;10800865;2160169;1029236;5845192;554741;110948;66702;13340;9705;87903;19;0;33547355;6709470;20861654;4172332;9004;2528134;0;0;0;0;78720342;15744067;31662519;6332501;1038240;8373326;77944486;15588897;248529;49706;30728;15508463;9922;26908;5382;4616;-76;1863153;79807639;105980;8695;18;0;205126908;4186406
   Республика Бурятия;27932748;28026038;2342;2882860;2877324;28773246;465;3934;3934;43275;4;-7103;17941683;17919842;89378048;2160;51;79617;73749;442494;51;0;0;0;0;0;0;0;0;246295;246295;1231473;19;5329129;5448734;33809997;793;1266184;1269375;377;95363;95363;4;1456381;1455742;679;9633;8211;314;0;0;0;375;375;6;3669;1322;2;0;0;0;25970233;25965005;2183;19552309;19534200;2150;335350;336735;78;45731;45731;16;976446;973701;329;246295;246295;19;4811322;4825943;719;2778;2399;31;0;0;0;346;346;1;2511182;2504487;124;4481728;4437004;2469;0;0;0;5001443;4862919;193;83393;83393;5;57559777;7783872;1556777;1553929;310785;142721;1103271;0;0;0;0;0;0;0;0;665581;133116;5624;1125;91;131900;0;0;0;0;8449453;1689893;1559553;311910;142812;1235171;1031795;206359;6611;1322;0;205037;36713;0;0;0;36713;1530892;2562687;0;0;0;0;57559779;2501796
   Республика Алтай;13252119;13053209;771;1467089;1466739;14667400;119;2812;2812;30929;2;-18;9086729;8889251;44164676;740;4;76317;76317;457904;12;0;0;0;0;0;0;0;0;486;486;2430;5;2006469;2008787;14212646;308;593419;591989;138;0;0;0;615458;608793;247;17955;15464;51;0;0;0;40;40;4;2599;151;1;0;0;0;11764082;11598173;715;9122337;8958091;709;132917;132376;16;36601;36753;4;755893;755564;139;486;486;5;1712709;1712025;294;2792;2792;13;347;88;1;0;0;0;127810;127810;16;1797257;1758585;763;0;0;0;414435;413704;25;773;0;0;4146331;716253;143249;77386;15476;5351;122422;0;0;0;0;0;0;0;0;5918102;1183621;4076791;815358;1083;367180;0;0;0;0;6634355;1326870;4154177;830834;6434;489602;487188;97437;0;0;0;97437;270;0;0;0;270;0;487188;161805;23436;1;0;4146330;127810
   Республика Дагестан;27642731;27519218;3584;1440009;1435081;14350688;346;506;545;6009;11;11431;22074016;22003968;110021432;3381;210;19422;33604;201619;56;613;613;3067;2;0;0;0;0;8084;6751;33750;9;3010368;2957118;18092552;906;839661;833865;549;0;0;0;1078622;1069545;741;26003;25858;66;0;0;0;170;170;1;391;391;2;-12;0;0;23229280;23219132;3362;19032993;19068701;3303;383859;383008;121;81349;81066;31;1133881;1124785;598;4601;3268;7;2585525;2551190;798;7385;7269;22;0;0;0;0;0;0;27374;27171;14;4904747;4776357;3540;0;0;0;476583;461493;78;213;229;1;4698963;7464276;1492857;2107122;421422;66664;1004771;20927;4186;613836;122767;2278;-120859;10;0;1823190;364638;53353;10671;334;353633;0;0;0;0;9287466;1857495;2160475;432093;66998;1358404;824125;164825;5471;1094;3736;159995;4512;2763;553;55;3904;1057915;1882040;98441;0;6;0;4698966;27171
   Республика Ингушетия;4152345;4023458;703;99133;98825;988253;36;6;6;65;1;10427;3497615;3383870;16919764;676;0;94836;94836;569014;12;0;0;0;0;297;297;1485;1;857;592;2961;1;377809;370974;2241445;88;64669;63106;57;0;0;0;75961;74306;73;116;116;8;0;0;0;0;0;0;0;0;0;0;0;0;3883351;3765974;668;3453614;3334239;658;41147;40914;12;0;0;0;92587;92691;59;857;592;1;299443;297537;83;0;0;0;0;0;0;0;0;0;6765;6765;2;385780;376237;692;0;0;0;123154;125274;8;3315;3315;4;47304;146107;29221;71879;14376;1779;13066;64237;12847;0;0;0;12847;7;0;1651;330;54241;10848;0;-10518;0;0;0;0;147758;29551;126120;25224;1779;2548;64518;12904;0;0;0;12904;12904;0;0;0;12904;0;64518;0;0;0;0;47304;6765
   Кабардино-Балкарская Республика;14953478;14812187;1793;1163871;1153901;11539007;380;20448;20422;224648;7;56919;11379956;11301840;56509291;1571;-478;35608;42806;256834;47;0;0;0;0;0;0;0;0;11195;9674;48370;10;1710798;1709315;10608128;506;314943;310436;242;0;0;0;575162;570576;347;7864;8504;55;0;0;0;100;100;2;180;180;2;0;0;0;13591705;13556060;1696;11433575;11408670;1670;250755;246863;68;36363;36363;11;294735;294547;262;11083;9562;9;1566221;1561077;422;5581;5585;8;0;0;0;0;0;0;15906;15906;5;1520695;1427759;1768;0;0;0;176640;177228;30;47;47;1;704146;3133143;626627;539983;107997;5752;512878;825;165;825;165;825;-825;2;0;394613;78923;5874;1175;3308;74440;0;0;0;0;3527756;705550;545857;109172;9060;587318;511712;102343;51207;10241;2640;89462;12529;34112;6822;2640;3067;6991;518703;38621;4499;9;0;704147;15906
   Республика Калмыкия;2716247;2732643;462;106512;104246;1042461;88;3466;3466;38128;4;-35367;2357634;2347042;11735365;413;0;16346;12287;73725;22;0;0;0;0;0;0;0;0;1249;1249;6246;4;182432;180296;1148844;120;69813;69811;76;0;0;0;83975;83995;97;5233;5082;57;0;0;0;109;0;0;0;0;0;0;0;0;2352789;2377479;405;2082738;2110102;399;0;0;0;7142;7142;5;76787;76427;73;1249;1249;4;180159;177845;108;4715;4715;6;0;0;0;0;0;0;3135;3135;3;1119469;1111963;500;0;0;0;748250;749189;6;8478;8478;2;83750;362115;72420;101861;20371;768;51281;0;0;0;0;0;0;0;0;14388;2878;3444;689;15;2174;0;0;0;0;376503;75298;105305;21060;783;53455;17351;3471;0;0;0;3471;0;0;0;0;0;112;17463;0;0;0;0;83750;3135
   Карачаево-Черкесская Республика;12494848;12463760;1191;841152;834959;8349587;160;2282;2282;25105;5;-21588;9749987;9710014;48550071;1096;59;31383;34694;208162;40;0;0;6934;0;0;0;0;0;29743;28626;143128;6;1588503;1576387;9709254;355;226619;220120;152;276;276;2;273161;266535;249;2267;2254;29;0;0;0;38;25;4;418;418;1;170;170;1;10742634;11046020;1126;8820156;9121902;1112;254595;251816;22;56997;55904;21;278582;286407;154;29743;28626;6;1305889;1304694;322;1957;1957;5;0;0;0;0;0;0;478;926;7;1857204;1514766;1200;0;0;0;94768;94582;11;1962;1962;2;838011;655587;131117;146542;29309;4629;97179;13448;2690;2066;413;0;2277;8;0;355037;71008;64;13;730;70265;0;0;0;0;1010624;202125;146606;29322;5359;167444;89946;17989;4332;866;671;16452;0;0;0;0;0;0;89946;0;0;0;0;838010;927
   Республика Карелия;36472156;36234882;3180;1468253;1455796;14557957;355;11;11;116;1;68599;29861335;29710897;148554676;3079;0;137559;136191;817149;61;-1447;0;0;0;0;0;0;0;60398;37695;188475;52;3905378;3893005;23846795;1429;799334;830979;582;85009;85009;7;970624;1000268;926;145047;52765;738;134;0;0;1065;204;3;1766;795;3;-2;0;0;25513036;25423827;3036;20256580;20192413;3002;785667;779272;113;157214;157214;28;625705;633363;525;59991;37288;50;3606162;3587205;1361;37001;37072;93;0;0;0;3566;3566;2;939425;937490;146;13092624;12855509;3570;0;0;0;2805042;2836637;294;190428;190428;12;26890799;5053220;1010645;1202585;240516;169183;600946;0;0;0;0;0;0;0;0;3313975;662794;46967;9394;8716;644684;0;0;0;0;8367195;1673439;1249552;249910;177899;1245630;1159400;231879;29803;5961;1386;224532;879;0;0;0;879;686623;1846023;65454;8266;1;0;26890798;936287
