"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32"
"Тульская область","5390","5048","342","89","0","0","253","15","329602658","26865129","318157648","27320668","27782810","75209","321493286","288583591","32909695","5468997","4891399","177721","518528","1989429","266668","0","0","1722761","59539","227","0","0","59312","0","1940"
"Тюменская область","3080","1687","1381","71","0","0","1312","19","1004497617","245901676","1001161567","453501243","32767954","169996","789395025","762856835","26538190","10824214","10348745","930074","475462","10836170","259329","0","0","10576841","16919","242","0","0","16677","0","17963"
"Ульяновская область","3552","2334","1167","88","0","0","1079","0","193384675","46582396","187482279","60228811","24519816","1384821","169105313","140323116","28782196","3100282","2614367","206904","485487","1431192","483835","0","0","947357","43246","15190","0","0","28056","0","0"
"Челябинская область","7335","7086","135","102","0","0","33","65","626313730","29319083","606549815","28541737","46187206","0","620474868","574498371","45976496","12231360","11559871","553633","671490","707357","321252","0","0","386105","3412","440","0","0","2972","0","2969"
"Забайкальский край","2508","1964","456","38","0","0","418","0","351935598","19541426","335626048","20044951","10768945","1109550","326655472","315525649","11129823","5374563","5170390","2082883","204785","1173918","439197","0","0","734721","17873","0","0","0","17873","0","249074"
"Ярославская область","3396","3067","326","32","0","0","294","17","345179055","53089400","326235900","49185443","31996382","17971","293019830","259209914","33809916","5438883","4959273","180337","479763","1633476","413327","0","0","1220149","25286","0","0","0","25286","0","0"
"Г.Москва","34933","31658","1775","303","3","0","1473","0","5824422704","2501524322","5418485254","2333055139","5285734180","380944022","9165439691","3103411163","6062028528","158149645","65086944","922099","92662878","51724887","2917427","21041","0","48786419","13372678","1065820","0","0","12306858","0","706637"
"Г.Санкт-Петербург","15317","11885","3021","179","3","0","2840","0","2152586133","885492856","2005274197","814169819","756087107","8568562","2114839177","1178308176","936530999","35564799","23415994","452502","12140978","19905027","4225104","7198","0","15672725","813473","98789","0","0","714684","0","6887"
"Г.Севастополь","602","535","67","66","0","0","1","0","59448202","10582488","57474776","9033858","158948","0","48597780","48438832","158948","489776","488286","3229","1490","90338","88766","0","0","х","0","0","0","0","х","0","0"
"Еврейская автономная область","447","382","61","12","0","0","49","3","105250055","10985416","101017483","10478143","1237441","8044","91237186","89793560","1443626","1697877","1672072","399969","28563","220160","172441","0","0","47719","1670","0","0","0","1670","0","832"
"Ненецкий АО","268","197","15","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","х","0","0"
"Ханты-Мансийский АО - Югра","5349","4890","411","42","0","0","366","0","3442010801","213847946","3302443533","170307054","101207821","11078247","3231803368","3111903792","119899577","66690742","65203639","1218209","1489423","5744746","256705","0","0","5488041","192263","4976","0","0","187287","0","47787"
"Чукотский АО","244","225","17","8","0","0","9","0","61944685","3502428","56965935","2556538","0","0","56596267","56596267","0","1197011","1197011","0","0","62811","1818","0","0","60993","0","0","0","0","0","0","0"
"Ямало-Ненецкий АО","1740","1561","147","11","0","0","137","0","5742441055","1758116273","5210128146","1690278025","3001723","1730563","3511981014","3509889049","2091965","73997406","73956755","697776","40574","39878290","11861","0","0","39866429","34662","0","0","0","34662","0","8539"
"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"ХХХ-Информация исключена из отчета, т.к. в нем содержатся сведения о налоговой базе и структуре начислений по 1 налогоплательщику. В соответствии со статьей 102 Налогового кодекса Российской Федерации любые сведения о налогоплательщике, полученные налоговыми органами, составляют налоговую тайну и не подлежат разглашению, за исключением случаев, предусмотренных федеральным законом","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
