"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103"
"27","Хабаровский край","4396244","296045","1452969","2647230","6969727","1716424","1716424","1716381","43","0","0","0","5020079","0","5020079","218356","14868","1076","13515378","807342","192632","70409","0","44755","0","7826","43196","413","0","324","344128","9487","42871","1805645","0","1805645","239171","233504","179644","829175","2039458","810528","0","57","5176","1024","753725","753695","73803","0","6720","10674","68389","38596","6227487","1274295","4949860","536897","8611978","7270253","567806","773920","1095129","735806","38179","321144","7229828","12716668","5737584","6162807","37873012","29772155","25294604","13901","2534476","441723","734162","6451964","473008","1108054","163677","1605262","55059","898626","184339","141360","9608","33371","1844532","4700578","3014447","14069","13327876","10471831","10446452","1891563","754400","647412","102300","254357","165","65205","0"
"75","Забайкальский край","674573","258426","413912","2235","7243788","565805","564440","30232","534208","1365","0","1365","6075177","104686","5970491","184815","417992","0","4521161","254317","82553","28810","0","41085","0","4001","5486","1112","0","872","26216","96","9559","253","0","253","2025955","399","18763","166915","1473458","1076","0","0","383","2285","1335941","3563","4227","0","235","974","42715","0","208131","627","0","241491","2658053","1853872","3894","800287","345209","193759","27315","124135","4319822","3254623","804932","2138778","20394592","18245889","17586171","6460","0","735","38048","1865468","244452","566212","59669","388616","26301","86287","237150","187669","45153","4328","829606","2399511","1139359","13416","7009382","7590312","6917553","838522","147788","253565","28303","62282","158","36854","0"
"28","Амурская область","2517800","2092367","424650","783","5932317","490563","490502","114923","375579","61","61","0","5281739","0","5281739","147562","12452","0","3067473","945230","124271","386257","0","21630","0","4915","5601","0","0","0","21376","8177","5731","1370","0","1370","964782","0","34789","186569","397852","408","0","0","77","1085","0","0","46","0","220","7750","6622","63","232480","113891","0","222316","3411673","2072667","22933","1316073","269743","111972","23266","134505","6720097","3818483","1143627","2250674","2603632","1507314","417756","7594","341895","95764","44129","693588","262837","428394","62542","337717","29985","89108","1905017","1887381","3143","14493","760812","3563920","954727","3600","4999186","5714624","6004296","701354","139808","234569","25493","114699","114","25476","0"
"29","Архангельская область","2722236","401827","1446897","873512","1522301","0","0","0","0","0","0","0","16265","0","16265","1506023","13","13","25629249","634402","122488","121132","0","81813","0","8815","12782","626","0","109","3154187","3815248","27324","0","0","0","146973","58765","26928","157211","509066","0","0","0","0","252","9858","0","5967","11","260176","8116","286847","2088","15889078","15773417","114574","548804","2237289","1435462","229573","572254","579538","428088","44741","106709","2045015","3628500","865920","2384758","6316491","1529828","100855","10572","544094","968496","980037","2455104","383026","830946","99520","575042","63734","126119","515160","493224","372","21564","1286275","1767688","693643","4863","7397422","8763844","8621034","1457846","225091","378560","53803","177956","0","31050","0"
"30","Астраханская область","1082347","801714","11209","269424","2872582","2547154","0","0","0","2547154","817723","1729430","0","0","0","39522","285906","285906","3326778","270655","29241","4091","64","12607","0","76284","21608","45528","0","45267","8077","17954","18911","3292","0","3292","22099","0","56861","114901","183040","10971","0","0","92120","0","2011","0","11695","0","7446","113","2104","0","2131923","1923012","1169","333375","1473708","1151964","42133","279611","553422","372768","9912","170742","1882001","2480447","706255","1592085","2469520","947684","324112","31269","345635","307605","46","1041485","172700","503760","91841","342560","20120","63673","105067","90960","2080","12027","433428","1245150","658851","7419","3653642","4670292","5151569","735769","258680","209153","36228","80687","67","41103","0"
"31","Белгородская область","13311925","13217561","48987","45377","8222368","0","0","0","0","0","0","0","8176393","8176393","0","44923","1053","999","19660558","5624110","932864","838447","411019","125690","397","101518","65089","25332","0","5305","56589","325495","265958","816","0","816","470738","252377","309038","1983978","5606717","3329792","0","0","69","59004","26896","2752","10245","0","400109","144309","2603607","487881","82805","143","63274","728005","2842998","1458860","668743","715395","838081","474302","12946","350833","5387160","6779605","3526622","2607186","3798351","2697513","26171","30319","86320","61","46","783499","317232","791811","116017","1129947","91424","102379","378699","307546","3090","68063","1063981","3016730","1596668","3347","4361806","9405485","7229748","1449146","317562","428276","64858","133367","80","53509","0"
"32","Брянская область","5790648","5643709","145180","1759","10973","0","0","0","0","0","0","0","0","0","0","10908","66","66","12063666","1739949","105734","816763","41358","191646","176450","31060","273108","29121","0","26778","266606","463107","30772","344","0","344","242998","193","231192","1080682","2537054","0","0","0","484","0","35043","0","779516","7477","352778","434348","618571","1046664","1621066","139","74699","695957","1779982","787170","469288","523523","465521","317639","24958","122924","2012171","5248714","1870166","2684148","3611566","2956368","6309","19275","1761181","100","0","341383","313715","505888","69610","538107","43561","33931","135663","121738","789","13136","899762","894893","1146347","3186","3171386","5031912","5116806","791825","238761","308528","46121","133895","34","32071","0"
"33","Владимирская область","1749788","1480732","262062","6994","456107","0","0","0","0","0","0","0","647","0","647","455389","70","0","31492353","6355036","3318159","226139","0","138380","0","662716","402207","60660","0","49452","1004084","138760","108197","671","0","671","696643","1708785","1247415","1681383","5974451","640","0","0","130061","34412","98838","46","137903","116355","2330004","1700315","2493310","873630","1358265","9355","289580","2557441","2713275","1543102","541113","629059","742817","469295","83788","189734","1688893","7316066","2735391","3995379","3792631","2755941","17934","29626","166137","2894","1482","755821","276493","711999","174803","743757","42587","155721","254721","169531","36751","48439","1849337","4514852","983241","7793","4284193","6267582","6114071","1159102","265296","394717","75306","141749","5523","41982","0"
"34","Волгоградская область","4518799","4351827","114639","52333","320779","78934","0","0","0","78934","14332","64602","0","0","0","148516","93330","93330","22581930","2215792","118157","412507","0","53654","130151","380570","85475","8329","0","920","37499","44826","147891","1081146","0","1079637","5402187","48699","1111124","2219693","6074509","1368277","0","0","2744021","13359","716583","0","52870","609","284705","109478","1930531","310964","72946","61471","91","831761","4427471","2606898","987561","833011","1057394","703980","39910","313504","3323921","7352255","2629612","3762599","6915235","4337732","47328","27212","1857980","116771","8313","1961074","491345","1255975","105028","1400133","85401","170737","253584","211688","7040","34856","1715961","6747613","1933707","19284","6872896","9244466","10771871","1226406","338610","646479","90479","225672","135","116949","0"
"35","Вологодская область","3728331","1871602","1807192","49537","54864","0","0","0","0","0","0","0","0","0","0","54715","149","149","32506423","1667672","149973","711722","0","120417","87","18090","47703","3173","0","50","1972666","552442","47376","62649","62589","60","9275675","97585","146231","625856","14086264","10875861","0","0","89744","1041054","25807","0","7501","5033","110090","74612","727185","234754","34935","27440","65","2600961","2719868","1743286","346756","629826","1017432","394383","20114","602935","5956514","6466966","3500096","2336250","4701756","2017324","83275","9460","927229","48773","416507","1935561","283591","884535","65049","1821521","98136","77133","753261","716487","1510","35264","1014421","2330372","999491","5470","4328421","6448650","6477758","1306350","499541","457072","61486","228226","26","56968","0"
"36","Воронежская область","9871022","9693980","156498","20544","890014","0","0","0","0","0","0","0","0","0","0","536076","353938","349513","22532641","7515508","455871","1444421","644796","156295","0","39524","170042","19258","0","11451","122218","74460","205823","0","0","0","1868490","30537","620967","2025441","2455290","12353","0","1852","507775","390","129895","0","171625","103422","1314851","1088434","2053927","21842","1745577","13378","824923","1004157","5861671","3896449","881633","1083588","936374","646986","30155","259233","4978630","13792307","7192148","5191482","14950008","12128234","8989844","21510","511992","1211","1504","2337558","481501","1127952","157813","1758007","115322","374410","560721","374203","113301","73217","2246028","10168815","3331848","13826","6068774","12306459","12868176","1662229","588295","785269","154732","261962","99","109179","0"
"37","Ивановская область","703236","623596","78724","916","110259","0","0","0","0","0","0","0","0","0","0","84888","25371","0","9098407","879691","41988","89115","0","17425","161","2724461","1207390","8270","0","4656","315858","24884","49793","0","0","0","285382","114937","381249","163370","749592","13470","0","0","0","4507","6569","0","81342","79944","435241","207558","515131","383298","200","16","3","634516","1790151","875459","373598","541093","416300","262358","26581","127361","1223029","3158032","1490976","1441428","1203873","768318","70367","21185","123423","10647","0","201847","223061","373051","75004","461489","38800","118858","146787","101514","19314","25959","756659","1231825","586640","1938","2784234","3817285","3947592","657411","203751","275052","39481","152155","131","32841","0"
"38","Иркутская область","5530911","2837098","2685357","8456","21914737","10854661","1573213","682368","890845","9281448","7636756","1644692","6603312","950569","5652743","318208","4138558","4135198","29299753","1172221","132233","77877","0","179504","3086","17136","69680","16538","181","15564","2666691","4318077","63565","2529470","0","2529470","3510210","884563","277204","1060691","5601425","223654","0","0","64","1196","4659185","347363","18328","18328","50700","759164","437429","167080","4533801","7470","4515292","981518","9466352","8006693","45591","1414068","1386692","884056","43851","458785","8370575","12586872","4830226","6315156","36706386","29537873","20713186","23628","5319853","395229","1172616","5004396","596272","1794380","439357","1405287","84504","360030","478970","423258","10747","44965","2110430","7635107","4246365","19373","13540087","22795097","16407932","2443413","569109","767398","101970","268078","234","97675","0"
"39","Калининградская область","2379264","1457177","19339","902748","895977","338541","0","0","0","338541","334481","4060","0","0","0","548592","8844","8844","8619901","2706083","869105","165517","0","113133","149614","131973","53583","11958","0","11153","58182","207077","29297","0","0","0","181402","153351","172766","375927","770029","1842","0","0","19709","9835","1523","0","3050","0","158245","171131","222639","412926","1776397","1757531","1221","764188","1552927","749027","308646","495254","692059","479268","75663","137128","3050566","8673759","1966589","6103713","5110509","2667756","1090354","15879","96026","427027","1734","1727958","286034","1289943","277720","1032366","40856","112314","3608778","3572134","4365","32279","1139549","2868822","1283929","17737","4671944","5165806","5416927","1036428","385328","414549","65519","165636","0","49616","0"
"40","Калужская область","2872411","2720750","133253","18408","239410","0","0","0","0","0","0","0","0","0","0","217617","21793","56","27206438","3496561","1804576","372784","0","87748","91265","80015","409481","56955","0","54713","475218","1656849","66727","110649","0","110649","510838","802914","1238692","3052733","5275097","546944","0","0","34681","4683","132693","0","284796","260240","3013349","703210","1721180","2222516","1389744","107747","144","744697","1840337","863420","442024","534893","626747","355299","31387","240061","3005442","5211992","3166026","1687450","2621321","1539942","36421","28177","221467","124","94056","711203","275996","688826","116613","948865","68679","86598","748192","726334","5294","16564","1281204","4595819","1036218","33405","3859192","5330795","4769294","954038","276805","359267","43849","129744","24","32666","0"
"41","Камчатский край","12205817","317852","113771","11774194","1163107","11000","11000","0","11000","0","0","0","1102285","0","1102285","33710","16112","12799","2425081","1694785","97791","122332","0","52489","0","3833","1609","114","0","66","4917","104","6246","0","0","0","1869","0","6672","29620","31307","148","0","0","0","2589","0","0","94","0","58","211","28902","0","11503","11503","0","550842","3245143","2660202","4941","580000","609320","468536","5999","134785","1093688","2080406","769888","1160107","2954992","793185","172","3906","127756","111047","470713","1388751","191296","425259","181675","302885","14938","90311","92929","90481","0","2448","464030","1855304","640403","2359","6522392","4939731","4739533","987108","269180","178200","29197","62494","0","13803","0"
"42","Кемеровская область - Кузбасс","2311331","2152449","144804","14078","50132718","49348520","49348520","49344039","4481","0","0","0","123773","191","123582","391856","268568","470","25827920","1863669","577547","153555","0","137899","157","24522","123736","4438","48","1189","112116","79788","52919","1342475","906102","436373","3364958","387619","245998","1302639","12355215","9901791","0","0","384","195","616660","0","7248","2312","134442","281896","1399906","57258","462365","3408","1127","2093905","7899038","5869728","78871","1950439","1762321","1003146","61016","698159","9836649","13189953","5594595","3499681","11871497","9585770","1063526","24900","177346","4449","3752","1876564","400962","1543784","206334","1549948","57733","393338","522417","421661","20874","79882","2178801","5356894","3360785","16509","8987007","16443238","16287864","2529068","775139","680884","81594","251692","1583","89075","0"
"43","Кировская область","3352814","2751118","597495","4201","153660","0","0","0","0","0","0","0","0","0","0","109708","43952","43952","18944856","2138737","377429","532246","0","175359","0","18082","409758","321962","1035","219902","1690764","186305","134048","0","0","0","1891107","380531","937119","136600","7122877","842008","0","0","59035","18888","320647","0","653","607","350978","1619802","313223","52093","202346","17609","1687","863165","2390682","1633646","333010","424026","582551","320404","43104","219043","2254882","5097981","1658290","3078438","2718102","1695456","18443","11959","128119","4903","8494","710769","298480","888180","68522","454982","47012","48833","321871","303576","7061","11234","839164","1919476","790225","2613","4132206","6372719","6421167","891243","165141","342198","60442","103734","0","32330","0"
"44","Костромская область","1083922","701676","362769","19477","53808","0","0","0","0","0","0","0","0","0","0","53808","0","0","7816465","482802","125630","110656","0","91318","68","98466","233376","66779","0","65067","1167337","89258","84260","0","0","0","319072","133211","121149","180292","1142147","8869","0","0","294940","42343","13828","13828","228","161","7148","125159","387993","755892","124880","120041","0","2205858","1486759","729049","338723","418987","309681","213147","8176","88358","1097566","2358237","774668","1328022","1419288","753073","2261","5979","0","6116","32513","455351","172235","376783","76936","469951","26582","85042","10173281","10168737","47","4497","360690","785410","588103","1831","2187326","3177316","2636274","560572","115737","176321","25155","72462","156","20502","0"
"45","Курганская область","1314228","1155766","139044","19418","207687","0","0","0","0","0","0","0","154862","0","154862","50800","2025","2025","16015278","2537843","205627","1776582","0","105109","4","10881","61123","4238","0","567","145876","56275","18533","8839","0","8839","13900","667612","29904","481094","3608843","47488","0","0","0","3025","7932","0","44444","2952","14524","122932","1696234","1483779","4632839","0","0","314896","803255","345530","178219","279506","413118","267584","4423","141111","1314449","3967571","1845775","1882965","1436354","1081835","33242","6105","746970","138","0","161076","193305","298624","32697","664826","31659","45429","124210","106890","7098","10222","431379","1385442","357733","4003","3087928","4484008","3929808","622565","140092","179822","25416","57928","0","24385","0"
"46","Курская область","8854939","8816855","29036","9048","3626997","0","0","0","0","0","0","0","3588071","3588071","0","38613","313","0","9841864","3249168","857691","231811","581631","88488","3429","186201","80597","159765","0","156142","66897","417773","100654","1001","1001","0","191079","712032","1084027","201739","353187","8080","0","0","0","394","33288","0","1412","1412","872733","1058476","365158","165482","303159","0","96","180819","5194312","4349101","400253","444957","486027","239099","32767","214161","3022599","3744775","1521707","1983480","1825063","1085367","2151","12964","275929","47","46","489365","250238","624048","59878","519833","42314","68717","74192","56801","675","16716","680933","1691504","809455","3931","3501938","6741085","5385188","819353","189920","264327","39225","69989","31","37662","0"
"47","Ленинградская область","5273421","4535089","571749","166583","1507315","196","0","0","0","196","196","0","1901","0","1901","1502618","2600","180","41512634","4399468","1095699","202332","466","169211","1409372","674264","631099","17621","0","7623","871140","3417112","293724","3070934","0","3070934","4773567","125210","2028626","4342369","4032187","191843","0","0","674","139486","711436","475","29974","16118","572471","1159837","1924839","417936","4587337","1638085","20236","2594310","6498849","4527142","699455","1272252","1767304","1021977","70267","675060","10317212","9801271","4153391","3900932","10314261","3117105","30446","42034","1095968","99091","19784","7056447","21834","1360298","209300","918484","66527","156268","213356","147002","3544","62810","3326900","4736325","2572394","15672","4236276","10347443","9502212","2372632","1029997","797749","98137","395218","1930","90195","0"
"48","Липецкая область","10759641","10606443","142821","10377","491938","86","0","0","0","86","86","0","0","0","0","491847","5","0","25486421","4416483","853271","248456","573027","487207","104111","16762","187856","11237","0","11122","41232","603525","57642","34","34","0","516150","196960","541223","658731","13651782","11873421","0","11872953","1610","99863","12574","0","387889","385655","60505","1685824","1319272","127978","330727","0","0","471180","1939064","842271","544918","551876","954117","418733","13417","521967","3305202","3565741","1508905","1679855","2427678","1592945","8826","13203","315408","0","1875","610575","222283","450235","46957","1340411","62343","95906","101818","72529","49","29240","755470","1823636","1184509","3011","3338298","5374542","5640779","930201","318383","300093","36914","112608","381","37043","0"
"49","Магаданская область","824444","65375","110067","649002","10998735","64801","64801","64801","0","0","0","0","10769850","2006","10767844","11162","152921","0","645445","113718","18325","16798","0","3697","0","537","314","0","0","0","294","0","8672","0","0","0","384095","0","4538","11121","13320","50","0","0","0","0","9001","9001","0","0","300","0","42272","125","0","0","0","62442","2471831","1889168","0","582663","166299","129502","7033","29764","1031510","1718723","1025049","504196","2685020","433409","578","3327","0","21012","191975","1944475","94149","128913","20705","336707","29159","71411","31898","29914","1120","864","234403","1136616","589539","623","3051813","2443378","2878236","624563","153763","106835","8962","53759","467","9384","0"
