"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103"
"50","Московская область","7669695","6296289","1294574","78832","975534","92684","537","537","0","92147","92147","0","3817","0","3817","748048","130985","102583","163938511","26388180","4715142","3022091","5445","8438000","16785","2862635","3136926","512420","4110","425040","1554475","4575445","2062425","1053254","252886","800367","9162577","6918902","8719166","10281154","27727093","1709101","71","14","1553719","952402","2259145","67918","101864","58308","9070275","5446130","10453300","3333353","11010507","36934","6615760","11215509","18327984","6077945","4005433","8244606","6143325","2023325","460959","3659041","39510735","186637875","56689904","119128630","59352770","27099276","1107203","389403","1230725","106493","531990","29095166","2519845","9518703","2213588","12510503","228327","1858199","8717540","2388319","4858238","1470983","24119889","64572780","16644371","138395","25246932","49156901","50363986","11545897","4262215","4322937","514970","2501596","24217","2332468","0"
"51","Мурманская область","5816618","130777","126577","5559264","4699560","0","0","0","0","0","0","0","3154761","2753648","401113","1325676","219123","218971","8816482","709914","5071","50519","0","12745","0","21090","40984","425","0","303","7396","4856","56262","1057","0","1057","110363","140","28811","112396","5576551","0","0","0","270","0","5429725","0","17809","119","4952","441","13836","46","1270177","1269345","833","844040","4895489","3182958","121848","1590683","802644","517828","51311","233505","2979075","2708081","888046","1539207","6590747","1611909","145","10211","77560","211912","11955","4501311","253660","923863","180052","502201","60991","127044","209583","189807","1120","18656","1286474","2570370","1036201","8394","10062938","7973348","8007439","1485726","565355","340955","41204","130106","107","30753","0"
"52","Нижегородская область","3881241","3489163","373790","18288","147915","0","0","0","0","0","0","0","6133","0","6133","146213","-4431","-4431","72307652","4011212","673420","783228","103068","249926","59823","436986","757986","142048","443","37702","1135262","1590384","221657","1225762","0","1225762","7208562","1533155","2834184","2340645","17749719","1114373","0","0","6168224","37493","45234","46","358643","715","6560149","1295871","2687477","10958729","6181721","1546120","2121949","3126394","6496148","3552437","1003464","1940248","2158541","1091376","293205","773960","12536266","36767205","12776019","18466870","30387956","24713216","12232520","40760","3622727","1332036","3324","3575431","763949","2254611","359353","7140473","149474","3688167","1182059","999437","23823","158799","4236834","26178180","4255770","31637","11196338","20915380","17160874","4046846","1702542","1184761","214765","371069","938","132621","0"
"53","Новгородская область","1006572","750098","223110","33364","51157","0","0","0","0","0","0","0","0","0","0","51020","137","0","9351033","949150","449175","137223","0","28255","0","61718","64058","3712","0","0","1043718","308294","229067","0","0","0","2460107","1484","197906","1381934","330529","100","0","100","0","1387","39798","0","0","0","334001","352433","611562","107461","133024","134","129012","752620","1423583","714967","243406","465210","566277","373137","1149","191991","1155930","3418940","1547600","1693039","1624887","1138881","661","8720","561964","1539","0","329497","154970","408636","135240","262513","46446","42435","137586","122256","0","15330","773270","1051412","416318","2417","2208543","2763770","2986860","677078","114717","171416","28954","69056","64","21160","0"
"54","Новосибирская область","5122326","4465162","630814","26350","1579075","968886","963023","963023","0","5863","5863","0","57148","0","57148","473676","79364","13119","35105270","4947138","1440904","516378","103","449756","206","225636","465661","55268","7125","25461","397252","492047","373294","231919","0","231517","2377136","1624672","1123107","3762091","5745606","15904","0","0","410947","406314","697602","52252","118794","90839","3317690","1716953","1422145","108607","4418697","14706","2900290","1850389","5280398","3058480","149304","2072615","1358636","848767","108383","401486","9159612","23259410","12174028","8666480","39297491","26473207","19707114","39832","201336","23086","4692490","5276476","2832232","2294755","282760","7182002","113529","2450677","8801879","7448358","94750","1258771","4775219","15083313","5484021","40573","9486316","21905451","18390044","4026504","1265955","1119554","182126","518124","269","111471","0"
"55","Омская область","3261484","3122798","123845","14841","27605","11328","0","0","0","11328","6393","4936","11","6","5","6221","10046","9957","18338519","2482967","711921","518942","0","236682","12843","48752","107432","32805","46","19450","63878","133670","104694","1979365","819","1978546","1412644","15587","1582774","551460","2005337","9988","0","0","295467","31662","39","0","50821","5543","1976832","97710","536583","23731","2237534","41753","2192559","2695239","3496050","2089333","360964","1045753","884567","235855","432226","216486","4507865","8200061","3000173","4364049","11643374","9172532","133428","19885","3612494","351419","24418","1675366","419639","1281717","158196","1545677","65293","134482","157409","121818","4274","31317","2115010","7521792","1238656","14079","6068980","12113371","10601978","2000417","799483","492831","90397","171915","45","66891","0"
"56","Оренбургская область","3176642","3093059","74669","8914","11613720","5658049","2896","0","2896","5655153","3598920","2056234","2614250","1534","2612716","1330683","2010737","2010713","16789275","1194615","349728","272815","186","78840","12","35546","59316","39133","0","38765","48419","10908","30262","987740","0","987740","654657","1459","122734","1200127","10549664","3313597","0","0","697489","24981","631875","0","9596","94","20064","190159","504576","253594","345437","66","73","462013","4176993","2972442","734169","470381","1084214","470863","26517","586834","3098836","5792617","1577249","3605933","6037367","3734748","510446","30514","1051311","476","0","1887675","414468","849900","73318","693380","73523","225993","426578","388251","7870","30457","1362378","2413082","1614354","14486","5875442","10251310","8925473","1334984","437476","442405","47278","169723","237","67437","0"
"57","Орловская область","4127910","4121162","3349","3399","38822","0","0","0","0","0","0","0","0","0","0","38822","0","0","7182679","1146113","131647","29596","275087","17320","0","37696","160006","10670","0","10670","24402","32310","14886","1932","0","1932","28807","85780","230073","1325048","1127286","40466","0","0","486","6821","41256","36698","208387","183871","631409","253292","1307120","531735","5685","0","0","211109","1299899","601974","257924","440001","376408","191081","5396","179931","1097782","3232086","1558183","1414413","1355265","705841","1990","9124","187372","14","0","457440","191970","311738","38588","320912","33261","43874","100286","85686","154","14446","464595","616191","416142","3118","2512777","4282185","3548844","492487","94636","189991","22610","76090","236","28013","0"
"58","Пензенская область","4120882","4061061","54253","5568","39966","0","0","0","0","0","0","0","0","0","0","39797","169","88","13753752","2211537","77830","271474","314621","755857","771","38573","116383","73418","0","33121","270374","643263","87440","70","0","70","180207","174388","117051","541699","1793593","17","0","0","1904","16415","13163","0","297023","40646","3133779","258982","1316158","229827","63764","0","0","1746618","1710708","1171196","293303","246210","506817","279036","26447","201334","1996620","6357011","2157962","3820076","2091076","1331185","1688","19730","211755","24","55","476429","283383","462392","60896","621507","39629","43572","164420","143411","7260","13749","1041259","2651338","5707146","4108","3671927","5962468","5639609","856290","201598","329725","43650","142909","301","47587","0"
"59","Пермский край","2751762","2135388","610355","6019","11782495","7247758","0","0","0","7247758","7247758","0","53","0","53","383316","4151368","4150829","59204244","2169076","416376","876447","734","208448","1687","281393","313793","83547","68","79766","1010100","1791052","975426","1702325","476288","1226038","12859525","391912","965930","2309198","10368592","975686","0","0","45370","180005","1614728","0","268149","160804","2081268","1922851","6954022","87133","8616368","47075","8167422","4110598","5959756","4523861","742079","693816","1528410","1021791","55548","451071","8083508","14202137","5476504","7157758","8036992","5793023","122125","37295","1943524","243606","632","1463551","536180","2019471","294989","6581902","71647","4280569","620618","449078","63361","108179","2437605","7649237","2322303","16655","8263152","13700554","12332394","2038487","634453","788989","129805","254095","633","91967","0"
"60","Псковская область","1844392","1578492","250154","15746","129576","0","0","0","0","0","0","0","0","0","0","129576","0","0","6205818","1767788","1200093","239365","0","15326","0","35791","251835","198388","0","181883","182491","16858","72439","27","0","27","47297","7260","294805","174081","280432","1825","0","0","12701","0","35","0","19191","54","79922","1432890","598358","21929","47484","950","67","680417","1301555","646072","124203","531280","493813","227366","2108","264339","843354","2341902","663437","1496830","1682674","1029494","468","9203","377325","3345","155","465318","184362","407051","105529","300172","23262","78695","66496","60977","444","5075","418678","525119","335109","2473","2259353","2607062","3167447","558252","94495","192156","23218","65680","0","19087","0"
"61","Ростовская область","10052002","9810752","81016","160234","2635058","2093785","2086805","2086805","0","6980","0","6980","0","0","0","517209","24063","23238","44803528","3981145","436436","535647","102","201053","215841","671796","1748368","221249","92","209734","179661","609560","181748","559487","293","559194","1494858","86958","2185632","2398141","11841297","550183","0","0","1890396","157084","912820","746","322440","299862","1240733","1248306","6251663","684094","6576214","19748","4500347","2225724","8735326","6039078","1541211","1155037","2816144","1971314","119129","725701","9663731","25015597","11719878","10795496","27767491","20270167","15344165","63162","453398","437772","653765","5419751","986036","2398177","379979","2880306","207284","530507","1848012","1723213","42856","81943","3908873","9255769","5029627","19262","13363903","20415724","18930694","3327734","976640","1148047","224890","441502","921","207982","0"
"62","Рязанская область","3330868","3169085","142821","18962","95120","0","0","0","0","0","0","0","0","0","0","94889","179","179","16530924","1636168","103978","392678","16111","123248","43","314635","230435","325607","0","4287","432749","46862","107244","1264880","0","1264880","431036","375615","956290","2106873","1797754","5538","0","0","6840","191195","251121","201331","141048","47778","2510088","253881","1304340","753377","120169","68","902","1439630","2645144","1645719","526083","473343","512132","260124","41441","210567","3913784","6186970","2600386","3035038","2844259","1700939","50290","19986","779277","129802","1262","744960","267296","524572","76278","1990680","28235","1280550","343648","281186","7129","55333","1186035","1569160","705090","3945","3835335","6265071","5471163","1092600","237131","320518","53465","131648","1517","39745","0"
"63","Самарская область","3018545","2819721","155046","43778","8739569","3273429","112","112","0","3273317","3273317","0","393","0","393","177810","5287938","5282628","54798413","4143382","520943","435057","78","812780","11006","200089","97495","42892","0","37611","132856","254501","87108","3795434","0","3795434","6606747","934641","1820783","2251938","7669236","23340","23279","0","61213","29921","1304501","256","94425","7463","417340","2592767","2312573","13659765","5563365","162379","5233932","1391715","5989470","4189293","1088879","711298","1806810","938231","78141","790438","12074732","19976082","9199799","7727977","27814973","21875569","13019977","30905","3935108","445344","353","4631207","862500","3159120","372150","5256548","99768","1536012","56064556","55647543","354685","62328","3883691","12913229","5245683","35862","9248728","16873339","17660891","2804657","1387440","1160489","132514","400148","294","164285","0"
"64","Саратовская область","4858250","4753318","84622","20310","2777256","892893","30","0","30","892863","634945","257917","479","0","479","142561","1741323","1741323","21000970","3223978","1387743","318432","92010","33825","82","146254","283183","5688","0","1380","55326","105308","74097","614155","0","614155","610245","354050","878848","1261928","3262678","944056","0","0","36513","21910","701","0","7979","525","2247964","913958","2383213","394945","2273369","29346","765586","1877876","6226787","5159331","667163","400293","1071689","746578","43428","281683","4573865","8398106","3470713","4099059","15461328","12601036","9008290","28001","1831980","101036","0","2283374","475882","1266148","118351","1598784","54407","99347","427728","252075","6043","169610","1918803","3750304","1678043","9356","6386955","12558538","11320507","1654185","420091","636055","105676","249570","123","97495","0"
"65","Сахалинская область","5074976","821812","173247","4079917","8418111","6451189","1634654","119587","1515067","4816535","4087236","729298","17028","0","17028","188075","1761819","1760097","1476962","759239","40864","93881","0","89045","0","1100","17917","0","0","0","36668","207","31762","84","0","84","55366","0","21849","126217","74700","0","0","0","0","2685","0","0","0","0","11119","0","140","323","1415","1028","386","249811","3300431","1548133","153247","1599051","697250","496435","1778","199037","5702942","3127113","1100701","1769630","6629862","2568529","787","84342","829493","640301","850147","2310255","260630","765069","176584","642882","108710","110279","1454238","1449381","1994","2863","1457508","2877639","982986","6849","7069842","8060781","7847419","1502786","398857","275418","30342","166531","46","34274","0"
"66","Свердловская область","5255036","4279004","968825","7207","8933589","504","183","144","39","321","244","77","6124862","3299510","2825352","2477506","330718","133683","105176525","4045816","680759","1332704","83","354780","4234","248779","470763","40468","0","21533","1583970","392288","373726","15127","474","14625","4764596","462162","2120871","6622447","49480685","9195927","0","524696","7337209","283423","16611106","207339","698427","82888","4491495","3379818","6890175","412606","10848921","12796","332498","8172798","11572751","8112475","999949","2460327","4437629","1684806","283235","2469588","19437927","46786322","21930326","22211595","41293989","28763083","20470585","61309","2333642","6693","2796538","8614416","1113259","4591153","578171","8978080","229672","2590235","5965698","5686668","93722","185308","6333826","21649644","7449008","53256","16095850","33246890","26432880","5515467","1976469","1804349","248512","753471","1271","191013","0"
"67","Смоленская область","949087","784308","137275","27504","107374","0","0","0","0","0","0","0","0","0","0","107338","36","36","13421234","1709445","766092","144482","0","55060","51","175549","666267","18529","0","18323","535455","15935","64643","81","0","81","1372457","18578","1116121","833825","3092951","301797","0","0","115","44523","23969","0","39682","3035","1330956","530868","361601","412735","308167","0","0","801960","4260476","3326636","270890","662950","627093","366896","8498","251699","1816358","5302685","2755238","1831260","3292586","2469667","8878","10443","296145","0","131","592689","230099","377466","44903","505437","60359","47235","151126","60321","77790","13015","659846","1018963","704875","5019","3021463","4407889","4734339","749880","153254","250724","29765","90848","421","28623","0"
"68","Тамбовская область","7252141","7070534","176118","5489","12796","0","0","0","0","0","0","0","433","0","433","12363","0","0","9783425","2061548","174903","81710","629843","103471","0","190668","153159","68760","0","11016","152269","26672","9935","0","0","0","1219039","0","33550","265695","617421","234","0","0","274953","0","0","0","44222","28","2632155","205288","417166","1886","947164","163","271","677579","1864115","1164926","383588","315602","250940","128904","19795","102241","1307467","3044413","1140405","1623109","2280889","1513687","758","12433","1020331","29","99","560002","207072","372228","32550","416465","8790","74597","79189","68162","637","10390","554154","1312269","744503","4226","2990876","4214273","4187991","575738","153962","228564","29381","79650","0","35047","0"
"69","Тверская область","2263392","1966418","272065","24909","176287","0","0","0","0","0","0","0","14","0","14","94583","81691","81330","18685518","1869178","682217","254933","52","489440","64","201819","346256","405981","0","191282","979045","267216","499360","18434","0","18434","383400","71735","456799","585524","4565722","26768","0","0","4043","5584","16859","45","78004","73703","430636","680558","1734945","362719","3588010","35792","204707","748677","4836538","3330700","551564","954273","660282","345213","62206","252863","3240979","6160067","2820852","2668836","4031733","2558967","50748","32428","354377","49370","328719","594350","500327","860350","370966","958626","55435","83165","181276","149064","1417","30795","1412686","2395722","1269120","7629","4717865","6766575","6701159","1220938","243027","406884","53119","183909","306","45690","0"
"70","Томская область","2404169","1939012","458700","6457","5583677","3593101","0","0","0","3593101","2747607","845494","80848","0","80848","43722","1866007","1865918","10779133","1300883","497335","217336","0","398003","-3","6246","49553","61951","0","61176","932620","3682","159723","223446","0","223446","883198","305909","91295","470867","1832603","6553","0","0","298","0","1476495","0","30245","0","959035","1675575","300373","287","86922","41301","157","1036965","3266244","2259915","125417","880912","590291","353534","44113","192644","3053310","10914436","3862393","6699991","5565947","4350820","74949","12667","2194451","349399","36822","583188","245718","812358","49412","1182194","23195","129992","214512","196198","5541","12773","991580","4988717","568420","15052","4223790","10659398","7161348","982293","95996","363852","46832","134904","287","34282","0"
"71","Тульская область","2598774","2572807","21408","4559","967298","62","62","62","0","0","0","0","0","0","0","961843","5393","54","36850246","3416812","644143","512557","708","395463","54","162621","324574","196852","0","168612","157298","395742","83140","73","0","73","4992779","225157","653586","2030232","16967424","3914421","216","0","39127","184351","245562","55","346521","336489","1888471","799166","1200913","1267620","499109","932","6692","1193160","3134579","1175919","914916","1043744","740399","476372","62823","201204","3812176","6584580","2948367","2642170","3373445","1582943","4099","28369","229460","9903","77","1517786","262736","754303","116270","1126324","36143","98459","324641","282737","4499","37405","1262837","7418792","1948440","8010","4214412","8563994","7483387","1898611","753044","485801","69494","191218","1835","45731","0"
"72","Тюменская область","3954537","3427698","441279","85560","6867753","5056786","0","0","0","5056786","3089608","201646","5213","17","5196","76662","1729092","1728988","16148934","1063232","204326","245842","0","120131","0","21153","61277","1213","0","1011","251136","121270","57485","842988","0","842988","2674913","305968","430848","908241","2427047","537350","0","0","7487","200451","61002","0","273","273","1463421","509125","2017008","229011","52412","46260","539","2591055","4224897","3126898","405923","692077","1120308","430325","21476","668507","14807613","8297733","2985227","3882706","14514833","10785079","100938","29321","7842336","393862","360840","2580300","394752","1601834","189855","2046214","102788","190050","499548","391267","6943","101338","2214677","12579006","1859928","25858","6170613","11000761","12045105","2195364","923714","601449","162974","213270","284","61872","0"
"73","Ульяновская область","1244339","1138006","98178","8155","423905","263406","186","186","0","263220","263220","0","0","0","0","160388","111","65","10614344","988581","47997","181886","143507","89624","0","130043","144013","5802","0","5131","226917","81761","236956","109607","0","109607","64520","5324","400417","751554","1707483","42178","0","0","15362","19983","88845","0","272731","178419","737204","470084","527256","2736150","358854","75229","231463","842194","2173614","1518129","265331","390153","704995","494353","27359","183283","1634420","5628554","1414920","3792718","2928014","1667581","20326","12366","0","23940","558169","417270","261054","564401","58885","1321818","59275","44727","184036","116306","8356","59374","907475","7489323","844756","17738","3692860","6430053","5850607","856589","313489","271367","38978","108805","0","41436","0"
"74","Челябинская область","4822770","4637072","168586","17112","4089072","41279","41279","448","40831","0","0","0","2652285","81019","2571266","1318682","76826","5828","92403608","5286759","448158","738152","7","246743","96","235710","232378","290860","0","279769","232705","281420","136644","342378","340760","1404","4841866","253828","1322771","6066541","34256468","14332626","1329642","0","2403345","1173998","1680390","0","547843","69721","2819622","1439292","8617519","14444158","2739694","3911","1383124","8316156","5719966","3132821","625960","1961186","2389059","1188360","41422","1159277","8817920","16109077","7910045","5564607","18582570","16138291","10421548","41030","1036683","394","26357","1735636","681892","2000592","242739","2639618","128982","463798","2470434","2298209","44857","127368","3156131","10980514","3892171","17687","10308841","21493640","18039082","3279793","1385026","1350403","149241","393201","1669","126022","0"
"76","Ярославская область","2044358","1935214","100548","8596","130392","51","0","0","0","51","51","0","0","0","0","130210","131","73","25148765","1115045","386570","278268","0","105563","77791","198139","255400","295273","713","135565","238477","547675","146395","1220171","0","1220171","1844031","131385","2786929","734959","1292737","9160","0","0","246","260","225","0","73272","57098","933613","1374278","2247125","2339111","6240295","712806","4977104","1024373","3731173","1294328","357848","2078996","1200265","689206","50421","460638","3541239","6268846","3317598","2069309","19577988","17948734","15467408","16140","992821","137719","83","1201293","290159","1240296","296031","1932791","38576","332612","216033","188532","454","27047","1100641","3568211","1856123","5417","4044316","7820282","7024050","1583427","591284","538972","63474","236019","0","49087","0"
"77","г.Москва","2462103","1977348","245878","238877","45639730","16376678","527332","522130","5202","15849346","15761217","88129","1281240","2685","1278555","1647207","26334605","25357618","228973328","29017776","6127991","5669047","20037","4217088","36741","2058293","4564467","1499908","0","1330241","2046932","2899042","4004598","3951823","0","3951823","12098781","10720175","8043895","8026024","23248397","909635","54","843","247238","143603","4166337","125572","282249","40056","24084951","8513237","13950207","3700908","27869431","211269","22425158","34420654","55247238","44179737","2886813","8180689","19813279","8604215","2590870","8618194","222037897","468775888","255860365","176056603","222959500","121836029","49790179","799375","4537136","2807249","25271767","61062367","11982088","56150706","7257364","270730207","9641278","43690773","375853493","311966867","37258703","26627923","78092286","391822627","92841313","1499898","93307341","160605217","151032407","45217707","18193208","21854272","2858415","6842185","152504","8022788","0"
"78","г.Санкт-Петербург","1237218","798379","317919","120920","4329238","943316","1176","1176","0","942140","942140","0","17238","227","17011","256025","3112658","3028091","142294522","7330277","906044","652789","3629","5643920","1262230","1457696","2687126","370764","82","239790","1349861","2218798","2283993","9357550","0","9357542","3999374","7934056","3935374","4606531","14680657","623237","795","0","447969","235211","58981","4655","655399","427700","18326331","5834618","18634809","2227435","18509712","13267347","4319842","9643410","17135593","9506885","2782835","4845874","5169211","72763","3044657","2051791","85930780","184664963","78619905","96449180","101441457","60419724","28885031","508249","3020886","2350526","7710967","27594207","3366033","15075053","2371861","57970071","749004","28392518","48867087","46941824","428802","1496461","22297852","89358538","24097416","234858","21552085","75219778","62196774","16669036","4934462","4901642","706123","1993531","88984","828399","0"
"92","г.Севастополь","233189","161440","27599","44150","114565","0","0","0","0","0","0","0","0","0","0","114565","0","0","1254825","146449","12692","18875","0","61965","0","4686","13239","3798","0","3737","6770","5243","8813","0","0","0","10249","0","28084","85287","76499","0","0","0","0","216","0","0","50","0","10553","11166","22183","46","590111","589780","331","169684","635168","416477","136713","81978","178657","82819","3276","92562","1808178","2292374","466830","1690609","939854","631346","158","3350","0","12332","47","293098","3031","439280","66690","414363","4878","53946","72436","53016","5215","14205","755590","850313","380237","3652","2890689","2580098","2304563","520525","127094","172308","28576","94414","38","24466","0"
"79","Еврейская автономная область","103687","52797","50890","0","572004","0","0","0","0","0","0","0","531765","523748","8017","40240","0","0","430683","39023","12644","78","0","836","0","0","8405","4010","0","4010","13892","6373","723","0","0","0","5563","0","11783","292780","12626","0","0","0","69","209","0","0","624","624","71","0","15964","0","1856","0","0","16778","517260","153356","24470","339434","34044","15286","142","18616","150028","377630","54068","301410","159874","74799","3697","1492","0","26","0","38357","46692","49632","7991","66092","8701","28672","16290","15888","148","254","150548","140153","36955","435","969919","1057217","1176941","153426","39097","40582","4695","19134","0","4259","0"
"83","Ненецкий автономный округ","280155","149061","21","131073","837353","827735","0","0","0","827735","816547","11189","0","0","0","42","9576","9576","200010","99670","65690","46","0","806","0","91","1358","0","0","0","1412","0","2734","0","0","0","46018","0","1080","38384","348","0","0","0","0","0","0","0","46","0","61","0","134","0","74","28","0","7840","461681","288325","29069","144287","37129","0","10178","26951","192173","277474","80326","184925","685998","91320","81","615","0","17359","331284","209562","36473","149017","10008","125871","15119","27630","96803","96421","0","382","85637","190453","70733","31","731223","893016","645075","136111","4650","48297","3257","24268","0","918","0"
"86","Ханты-Мансийский автономный округ - Югра","890553","121832","722161","46560","132642209","74250241","0","0","0","74250241","74236073","14169","0","0","0","128877","58263090","58263034","8518270","436230","132242","1412","0","35848","0","10090","13998","325","0","166","418255","631","43885","1680037","0","1680037","80321","108","33454","471240","935232","2321","0","0","797","9342","0","0","0","0","13063","13558","86816","48279","31647","27355","118","4165253","10529543","8581613","107709","1840221","1559267","657908","407752","493607","13024642","5892597","1718094","2821508","31431874","23210684","698243","40869","14596638","546424","4350918","2975094","348754","1901803","150132","2587330","106045","163885","2270747","757341","1402799","110607","2745842","4624489","4956052","34943","13261948","21977653","20136745","3092857","996109","947216","105501","234663","7568","70440","0"
"87","Чукотский автономный округ","509887","460125","24166","25596","3874354","152851","152851","1186","151665","0","0","0","3720394","37132","3683262","0","1110","0","352725","76947","11333","19008","0","1355","0","80","327","0","0","0","49","0","312","0","0","0","46","0","99","41","922","0","0","0","0","0","0","0","0","0","0","0","0","0","1999","1999","0","270548","3073565","2372968","44900","655697","17150","4943","8057","4150","869873","870534","429434","433165","1060849","73770","81","1516","0","192450","274888","449199","70542","180738","13054","79690","20847","6291","42492","36760","5732","0","85279","344181","70340","0","1808028","1396357","1067402","243681","12154","42189","1733","14455","0","1457","0"
"89","Ямало-Ненецкий автономный округ","583116","297433","52273","233410","62263679","49574933","0","0","0","49574933","7616397","41958535","360","0","360","238881","12449505","12449375","2756798","204177","97506","410","0","12419","0","1459","5132","217","0","148","14711","118","8908","767063","0","767063","25975","46","4434","370873","208846","200369","0","0","0","0","0","0","0","0","382","92","13032","918","47","0","0","1117949","9429082","6363501","117442","2948138","172321","353","39269","132699","9050945","7952325","6788051","780793","13641438","8811367","962333","17893","4660014","169319","1405083","3077735","177934","1284689","197196","935068","86647","87605","762073","728112","28906","5055","1376113","7022439","3202478","5083","10039592","11482836","8058482","1726884","438633","582394","26409","141923","195","18580","0"
