"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195"
"Ямало-Ненецкий АО","772877476","772485973","2545","564608","564608","11293966","541","13077","13077","271727","33","77277","77277","1103954","26","1","1","14","1","0","0","0","0","588931","588928","5889270","165","7214","7214","79356","4","19","687265920","687125802","3435551153","1900","0","0","0","0","0","43736","43828","262966","60","1215","1215","6075","1","0","0","0","0","135976","135431","677154","70","63601906","63477567","383046788","1126","19698677","19583806","537","0","0","0","20575390","20450240","835","968478","964814","328","0","0","0","347","347","6","-6400","0","0","0","0","0","1","1","1","469320234","468969015","1918","388000286","387824395","1821","471096","471096","26","51507","51507","17","17493593","17396190","467","136422","135843","64","62289986","62216226","944","928619","927722","155","0","0","0","0","0","0","5135233","5135235","15","337621889","337582100","2680","0","0","0","0","0","0","38152409","38190945","57","61020989","60545673","99","566816041","0","22310278","4462057","12980299","2596061","336237","1529759","48879","9776","43048","8610","0","1166","4","0","145491719","29098344","62378530","12475706","11974","16610664","0","0","0","0","0","0","0","0","0","0","167801997","33560401","75358829","15071767","348211","18140423","6366909","1273382","921907","184383","44045","1044954","9445","1889","0","0","0","1889","5","0","707053","7073962","5640","0","1","0","566816041","5133894"
"20700","2945965376","2942238948","142706","9818117","9818113","196173485","10292","287260","287260","5993907","519","748528","748528","10693265","263","10487","10487","160304","10","2954","2954","32501","1","164430906","164398763","1644103602","18563","85108","73759","781027","126","8615","2113102946","2111124324","11155022156","126185","18","0","0","0","1","13855670","14041924","84069926","2146","8280","8280","137805","16","8943","8943","155654","8","9409292","9407438","47408987","949","478337599","477169963","2950980510","67443","144598167","144112942","35252","1325789","1333159","87","155838848","155131060","53586","1469297","1439474","6376","266","266","4","23845","23733","101","118013","117893","90","858983","821148","166","1979","1146","18","2534428302","2533733309","130307","1858777545","1859826407","127847","66239218","66265312","4748","10627238","10656003","2173","155393142","154787033","30366","8703203","8705898","926","433636548","432538484","62951","1028161","1012330","1396","1870","1794","7","112022","115024","20","98718557","98581987","1085","596694635","593928499","142470","0","0","0","0","0","0","281574574","281406889","3772","85372983","85321169","1216","2062521539","0","451933364","90386667","104001129","20800229","8973611","60612827","314002","62801","42709","8541","304","53956","24","0","612643378","122528680","232544139","46508826","1596041","74423813","0","0","0","0","0","0","0","0","0","0","1064576742","212915347","336545268","67309055","10569652","135036640","130253039","26050606","5157979","1031595","90065","24928946","404669","80933","268623","53725","6236","20972","36","0","10799206","141052245","93497","0","20","0","2062521539","88896375"
"Республика Алтай","19716745","19706295","898","92468","92468","1849464","116","1106","1106","23216","7","6294","6294","89918","1","8","8","117","1","0","0","0","0","833947","827826","8278133","124","52","52","572","3","0","13423674","13414641","67073312","743","0","0","0","0","0","80960","81068","486410","22","0","0","0","0","140","140","2937","1","2712","2712","13562","6","4022727","4029385","24608910","357","1221230","1220191","198","0","0","0","1250626","1248565","317","3628","2837","31","0","0","0","0","0","0","0","0","0","0","0","0","1092","1092","3","20150190","20223327","736","14788095","14869913","713","130404","130404","13","13786","13786","8","2528017","2527316","169","3191","3191","6","2674317","2673730","311","12378","4986","11","0","0","0","0","0","0","327625","323398","19","3334845","3285248","863","0","0","0","0","0","0","4089487","4120201","54","47117","47605","18","8484662","0","1066893","213378","201863","40372","45112","127894","0","0","0","0","0","0","0","0","744690","148938","14678","2935","405","145598","0","0","0","0","0","0","0","0","0","0","1811583","362316","216541","43307","45517","273492","1436720","287344","75571","15114","464","271766","0","0","0","0","0","0","0","0","2103966","3540686","71137","0","1","0","8484662","323396"
"Республика Тыва","5769197","5599916","387","48832","48832","976648","71","9081","9081","190708","18","492","492","7030","1","0","0","0","0","0","0","0","0","125570","127493","1274928","45","0","0","0","0","0","4397581","4188237","20940961","288","0","0","0","0","0","-205510","869","5212","7","0","0","0","0","0","0","0","0","76991","76991","384957","10","1115005","935466","5615841","106","172177","178020","50","2108","1975","2","201153","212454","99","7575","7575","19","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","4377517","4323207","280","2869104","2945897","277","122018","122018","2","4209","4209","2","150412","170224","37","76991","76991","10","1147419","996581","79","7287","7287","9","76","0","0","0","0","0","808278","808278","10","1626454","1538283","391","0","0","0","0","0","0","1048644","1060701","17","33981","33917","6","14495097","0","2552936","510587","263653","52731","54732","403124","10193","2039","0","0","0","2039","2","0","207573","41515","9","2","93","41420","0","0","0","0","0","0","0","0","0","0","2760509","552102","263662","52733","54825","444544","26830","5366","0","0","0","5366","1348","270","0","0","0","270","2","0","0","26830","0","0","0","0","14495097","808278"
"Республика Хакасия","45777075","45606825","2436","277869","277869","5557462","303","12589","12589","264363","19","9998","9998","142823","4","0","0","0","0","0","0","0","0","1732146","1711414","17114189","432","7466","3989","43876","10","1","37479508","37350945","186754939","2011","0","0","0","0","0","102245","88028","528169","64","0","0","0","0","0","0","0","0","86662","86666","433328","31","4705751","4705997","28723095","985","1242022","1241709","437","1839","1839","4","1362841","1359331","768","41673","10465","259","0","0","0","50","55","6","291","291","1","5582","5582","3","8","8","2","38682026","38604055","2066","31432373","31374972","2011","1528872","1529978","39","240692","238592","24","1031578","1026941","356","86417","86270","31","4359263","4344500","912","2832","2802","38","0","0","0","1595","1595","2","10527770","10527605","44","8182393","8127447","2572","0","0","0","0","0","0","11557520","11625894","56","156100","154806","21","67552278","0","19549226","3909845","572562","114514","78085","3717246","460","92","0","0","0","92","2","0","3775462","755093","17225","3445","8","751640","0","0","0","0","0","0","0","0","0","0","23324688","4664938","589787","117959","78093","4468886","4730952","946192","15120","3024","1381","941787","735","147","0","0","0","147","4","0","0","4730952","2711","0","2","0","67552278","6955040"
"Алтайский край","218395846","218172817","18392","971898","971898","19437526","1009","28463","28463","597470","62","47636","47636","680514","18","7","7","113","1","0","0","0","0","34073690","34048781","340487655","4065","17297","17132","188456","28","2366","136944868","136807737","684029574","15921","13","0","0","0","0","1079134","1068045","6408244","287","0","0","0","0","168","168","839","1","209216","200281","1004541","143","37897921","37882596","250881500","8792","6528127","6515966","4262","18666","18666","12","7122135","7096916","6900","87208","88255","683","0","0","0","603","603","14","99","99","3","15585","14851","24","6","6","2","190630653","190606786","17156","140972955","140980926","16891","4559637","4549599","497","991721","990969","330","7721281","7702399","3910","205337","198124","133","36122843","36131181","8166","67768","67399","99","0","0","0","0","0","0","845911","847048","117","35536012","35350901","18185","0","0","0","0","0","0","8479346","8489475","736","909163","909264","169","83871173","0","35084623","7016924","8266951","1653391","802018","4561515","77124","15425","32966","6593","52","8780","3","0","8232549","1646510","3048551","609711","19035","1017764","0","0","0","0","0","0","0","0","0","0","43317172","8663434","11315502","2263102","821053","5579279","7563408","1512681","544184","108837","9360","1394484","1132","226","0","0","0","226","3","0","281835","7845243","0","0","0","0","83871173","842290"
"Красноярский край","723029481","722314593","25480","1794598","1794598","35732213","1834","55730","55730","1167924","91","152984","152984","2185490","63","0","0","0","0","0","0","0","0","23057715","22980359","229806272","2808","37376","29864","298184","35","1971","536016817","535613042","2678098686","22656","0","0","0","0","0","1782690","1746867","10481199","356","2447","2447","14077","4","2266","2266","24489","2","1861079","1817476","9097863","179","112438922","112424119","692514228","11788","43413755","43301962","6858","60103","60084","11","45828468","45697116","10084","274751","279152","1260","0","0","0","20117","20117","20","41841","41841","17","233556","217139","15","3","3","3","633089413","633195209","23241","471743028","472006413","22810","10142227","10141093","688","439474","440162","243","43903098","43814735","5729","1851449","1811214","178","104717391","104710221","11014","269380","271918","358","1610","1610","3","433","390","3","15656851","15523638","238","167994363","167520073","25221","0","0","0","0","0","0","93144128","93343933","872","54888906","54830484","232","731831766","0","100902189","20180437","26247255","5249449","2685238","12245750","99805","19961","827","165","0","19796","5","0","51732456","10346491","7605665","1521133","14843","8810515","0","0","0","0","0","0","0","0","0","0","152634645","30526928","33852920","6770582","2700081","21056265","32818491","6563697","702841","140569","10684","6412444","139010","27802","41844","8369","2269","17164","6","0","1247775","34066266","1779","0","1","0","731831766","13650736"
"Иркутская область","446171739","445579926","16770","1328105","1328101","26562012","1400","43301","43301","909329","68","101948","101948","1456403","37","4716","4716","72084","2","0","0","0","0","13104592","13061743","130617414","1897","11372","11372","125088","14","26","314477518","314508059","1572540286","14801","0","0","0","0","0","762406","743949","4463693","279","0","0","0","0","0","0","0","0","4337312","4335121","21675606","140","86194672","85710440","518714419","7904","24602426","24559069","4129","433","433","4","25805771","25731153","6504","291723","286678","1207","112","112","2","404","404","10","1923","1830","7","4766","19019","10","0","0","0","377562206","377258684","15070","253809078","254080042","14758","11459604","11466614","565","290322","298400","142","26030491","25858356","3648","3704351","3702214","140","82055929","81644378","7233","212432","208681","208","0","0","0","-18498","0","0","20864252","20820170","197","100501041","100168402","17102","0","0","0","0","0","0","52392028","52313335","555","7024934","7180810","142","381956125","0","55018037","11003607","13142319","2628465","745853","7629289","0","0","0","0","0","0","0","0","33039981","6607997","2701841","540368","8317","6059312","0","0","0","0","0","0","0","0","0","0","88058018","17611604","15844160","3168833","754170","13688601","5530954","1106190","463958","92791","2929","1010470","0","0","0","0","0","0","0","0","895895","6426849","0","0","0","0","381956125","17208803"
"Кемеровская область - Кузбасс","475414551","475106609","13758","946215","946215","18924299","1022","17944","17944","376817","38","61777","61777","882527","26","0","0","0","0","0","0","0","0","8861414","8819879","88198768","1331","130","130","1429","2","0","351504595","351320086","1763251456","12272","0","0","0","0","1","7410109","7406345","44438068","274","0","0","0","0","0","0","0","0","2003127","2057655","10638274","200","74780472","74714888","453036588","6084","26631465","26611003","2992","1057019","1057019","12","29814832","29754895","4794","135699","134758","774","0","0","0","1027","1027","8","4666","4666","5","463081","461146","19","0","0","0","433135317","433202617","12210","338462104","338522058","11977","6400665","6400692","424","1979168","1980906","171","28712425","28658878","2541","1945534","1999618","197","55548950","55554569","5693","100449","100394","200","0","0","0","40769","40662","9","34990981","35014197","139","73403801","73020860","13784","0","0","0","0","0","0","65505672","65526008","324","7739975","7746246","181","507909235","0","48311064","9662210","10153867","2030775","977852","6653583","733","147","0","0","0","147","2","0","101613768","20322756","11899726","2379944","73791","17869021","0","0","0","0","0","0","0","0","0","0","149924832","29984966","22053593","4410719","1051643","24522604","9746082","1949218","567963","113593","3189","1832436","1132","226","734","147","0","79","3","0","267912","10013994","0","0","0","0","507909235","34564556"
"Новосибирская область","558848887","558401727","42336","2709657","2709657","54155861","2840","76682","76682","1574433","130","237744","237744","3396347","79","5445","5445","83231","4","2954","2954","32501","1","51217581","51217936","512310638","4684","8318","8318","91499","18","4130","377306329","377136780","1885693893","37955","5","0","0","0","0","2199449","2196939","13000144","589","5245","5245","112087","6","0","0","0","0","381446","380941","1904877","112","99494531","99359528","619775218","21125","23047151","23003532","11168","123343","125100","19","25195187","25061973","16205","489767","494612","983","154","154","2","1235","1118","18","67598","67598","44","81092","86439","57","870","37","5","480347945","480480927","39213","330555314","330957250","38463","24938570","24997754","1998","5561200","5575879","835","24597262","24572865","9501","377581","377076","105","94031915","93763295","19951","264839","266025","283","0","0","0","74918","70857","4","11593028","11614265","200","92175047","91518316","41833","0","0","0","0","0","0","24673091","24586576","628","2326895","2340712","255","182138059","0","121044937","24208990","34326815","6865365","2244005","15099620","109449","21890","8690","1738","26","20126","3","0","375849456","75169892","194359410","38871882","1463254","34834756","0","0","0","0","0","0","0","0","0","0","496894393","99378882","228686225","45737247","3707259","49934376","54963815","10992762","1972144","394428","45137","10553197","31424","6285","5742","1148","2240","2897","9","0","4673663","59637478","13940","0","14","0","182138059","11502086"
