"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195"
"Омская область","240304034","239527478","14257","1050059","1050059","21008946","1064","28062","28062","589306","59","84051","84051","1200727","20","311","311","4759","2","0","0","0","0","16981339","16980821","169799346","2321","2882","2882","31707","11","-25","173827837","173488844","867457668","12450","0","0","0","0","0","260593","259320","1555921","153","0","0","0","1","0","0","0","1","219907","220647","1111239","75","37527963","37276256","234227493","6432","9229124","9068276","3192","-486","5279","13","10318565","10133581","4983","68584","67888","568","0","0","0","317","317","12","952","952","8","28878","11348","18","0","0","3","186403203","185906558","13056","139499834","139543618","12814","2203944","2175399","325","898673","905107","319","10000298","9757523","2832","221690","222430","76","33541708","33272977","5941","36875","29324","98","184","184","3","16215","1476","1","524536","524128","94","61569222","61255859","14254","0","0","0","0","0","0","8377823","8037306","352","4107473","4105670","99","41284178","0","37456760","7491351","7116679","1423334","859749","5208268","7727","1545","0","0","0","1545","4","0","18726097","3745219","12321127","2464225","2432","1278562","0","0","0","0","0","0","0","0","0","0","56182857","11236570","19437806","3887559","862181","6486830","8001476","1600294","501845","100369","14470","1485455","33512","6702","32049","6410","0","292","4","0","455044","8456520","3930","0","2","0","41284178","489751"
"Томская область","212537821","212222762","7992","598416","598416","11969054","633","14302","14302","300341","27","45604","45604","651486","14","0","0","0","0","0","0","0","0","14442912","14622511","146216259","856","215","20","216","5","146","167724219","167295953","1429181381","7088","0","0","0","0","0","383594","450494","2702866","115","588","588","11641","5","6369","6369","127389","3","230840","228948","1144740","53","20159635","20131288","122883218","3870","8510690","8413214","1966","62764","62764","10","8939270","8835076","2932","68689","67254","592","0","0","0","91","91","12","643","616","5","26443","5624","20","0","0","0","170049832","169931939","7279","134645660","134545318","7133","4753277","4751761","197","207993","207993","99","10718280","10697796","1643","230662","228770","50","19436813","19447052","3651","53921","53514","92","0","0","1","-3410","44","1","2579325","2579260","27","52371457","52143110","8265","0","0","0","0","0","0","12306835","12303460","178","8138439","7971655","93","42998966","0","30946699","6189338","3709165","741833","480967","4966538","8511","1702","226","45","226","1431","3","0","18721346","3744269","575907","115181","13863","3615225","0","0","0","0","0","0","0","0","0","0","49668045","9933607","4285072","857014","494830","8581763","5434311","1086862","314353","62870","2451","1021541","196376","39275","188254","37651","1727","-103","5","0","873116","6307427","0","0","0","0","42998966","2551439"
"20800","1383079860","1380789320","58022","7341458","7341458","146708025","7382","353249","353249","7415064","503","471149","471149","6730661","188","3054","3054","46694","4","0","0","0","0","71608571","71470077","714672083","8668","233659","231280","2544078","85","2232","971542237","970090736","4851541052","47668","7","0","0","0","0","6355115","6322169","37933398","801","24641","23331","193115","17","26065","26952","260855","10","5379502","5349090","26745445","525","211048315","210788177","1304427407","24617","91360610","91099906","11335","715153","711081","44","108606649","108231050","18112","2855276","2847618","4870","364","364","3","4070","4040","29","16861","16772","31","188934","122968","24","978","610","9","1298580628","1299692466","49758","885109013","886883918","48288","97565215","97496718","5025","17036249","17048600","353","94757969","94596321","9969","5333454","5268502","510","196413984","196216403","21984","2411366","2230515","863","9987","10010","6","20515","16918","6","80326447","80456347","1137","274963269","273038944","58798","0","0","0","0","0","0","267329781","269009487","3458","40831664","40987518","699","1926542297","0","259718554","51943711","94612029","18922402","4566588","28454721","2380293","476059","201582","40317","91897","343845","21","0","418106445","83621290","141202299","28240459","351257","55029574","0","0","0","0","0","0","0","0","0","0","677824999","135565001","235814328","47162861","4917845","83484295","24027703","4805536","2383813","476763","165365","4163408","1792636","358527","4565","914","36878","320735","44","0","43313151","67340854","185123","3336","17","0","1926542297","80350161"
"Республика Бурятия","60548512","60302609","3814","1009105","1009105","20184458","918","46216","46216","970430","51","32363","32363","462331","14","0","0","0","0","0","0","0","0","4931824","4927961","49279645","586","5021","5021","55233","3","0","37367470","37291252","186446940","2671","0","0","0","0","0","37371","42318","253898","54","0","0","0","0","0","0","0","0","97316","97316","486580","25","11299867","11139367","68493000","1256","5169723","5164580","558","169760","169760","8","5721960","5711690","1080","15112","14936","302","0","0","0","62","62","4","0","0","0","4554","0","1","0","0","0","56309546","56120887","2984","40732662","40742877","2880","970559","974218","118","223814","223814","28","4755692","4693958","462","96864","96864","23","9522206","9381589","1054","6853","6853","40","0","0","0","-128","0","0","2780980","2783076","21","10096420","9955829","3880","0","0","0","0","0","0","8593248","8519657","182","89636","345864","25","63033891","0","16673716","3334743","3532004","706399","527992","2100352","0","0","0","0","0","0","0","0","4412325","882466","503","101","242","882123","0","0","0","0","0","0","0","0","0","0","21086041","4217209","3532507","706500","528234","2982475","1347988","269597","56600","11320","118","258159","0","0","0","0","0","0","0","0","17525","1365513","0","0","0","0","63033891","2777573"
"Республика Саха (Якутия)","145746854","145535076","4287","979924","979924","19593783","1006","91632","91632","1923602","97","44069","44069","629564","20","0","0","0","0","0","0","0","0","2433865","2433373","24315561","545","13682","13578","149360","23","442","112792220","112564384","562775376","3028","0","0","0","0","0","128732","110318","661879","81","1070","1070","5351","1","7192","7192","102743","1","1619866","1597890","7989448","72","15286288","15255097","93721265","1653","11182803","11268121","681","133314","133316","2","12356053","12444179","1211","576939","572186","323","0","0","0","227","227","1","1657","1623","6","44140","12108","1","-53","0","0","123624561","123416837","3227","92893685","92820739","3105","585336","583165","59","2398424","2398424","22","11727105","11621119","601","1606088","1585042","66","14224073","14220830","1281","190867","188170","84","2","2","1","2952","2952","1","33844627","33813321","82","47075263","46885282","4376","0","0","0","0","0","0","58126366","57949686","295","6254798","6237938","108","419817720","0","23852807","4770560","7143435","1428685","913974","2427901","0","0","0","0","0","0","0","0","49119198","9823839","621218","124244","101129","9598466","0","0","0","0","0","0","0","0","0","0","72972005","14594399","7764653","1552929","1015103","12026367","2200722","440145","11999","2399","36201","401545","706203","141241","0","0","35877","105364","8","0","711674","2912396","0","0","0","0","419817720","33803227"
"Приморский край","503663571","503177224","20323","1707411","1707411","34059335","1701","64744","64744","1359448","117","89816","89816","1283088","43","21","21","326","1","0","0","0","0","24348249","24327436","243266698","2956","1376","1194","13136","11","80","350477278","350156948","1750894294","17748","0","0","0","0","0","800462","800434","4803095","233","3720","3660","18302","6","5673","5673","35404","4","312075","310946","1554730","110","81574876","81588138","500416274","9210","32513394","32375528","4231","87509","87509","10","44286935","44129647","6211","517719","508533","821","364","364","3","1003","1003","4","12140","12140","13","15742","1079","12","0","0","0","466391262","466475436","18317","263211038","263368700","17809","76894865","76868118","2926","14024641","14035150","120","26022743","26012101","3682","309316","307904","109","85696679","85659413","8441","278674","278191","194","1821","1844","2","105","15","2","10686568","10788433","547","62337616","61662904","19866","0","0","0","0","0","0","35103179","35111931","923","4437836","4437300","209","396145397","0","66891824","13378364","12746714","2549341","1592024","9236999","382245","76449","98888","19778","91239","-34568","6","0","141457764","28291552","94907386","18981476","185030","9125046","0","0","0","0","0","0","0","0","0","0","208349588","41669916","107654100","21530817","1777054","18362045","9573520","1914703","236804","47361","6867","1860475","8921","1784","3093","619","540","625","10","0","24523630","34097150","44087","3336","8","0","396145397","10732459"
"Хабаровский край","264396338","263979726","12222","1073733","1073733","21474648","1147","36071","36071","756711","63","111501","111501","1592813","41","64","64","986","1","0","0","0","0","13249111","13226271","132261445","1509","-1160","291","3201","7","-36","187529173","187311566","936571125","10633","0","0","0","0","0","4398102","4383872","26303192","167","7391","7391","77911","2","11840","12727","103649","3","436419","435357","2176786","97","45146542","45042412","272790812","5836","10593336","10561634","3069","75633","75633","8","12416328","12358516","4582","200773","189353","1083","0","0","0","206","206","6","191","191","2","6550","6550","3","655","234","3","242310611","242087985","10735","185306962","185337249","10451","5962461","5932162","577","148985","148985","74","12658292","12611685","2693","436263","435179","97","37502346","37433259","5394","290220","184386","150","8164","8164","3","6163","6165","2","3872535","3872371","132","49285175","48987052","12728","0","0","0","0","0","0","30760134","30670698","439","3747454","3661894","102","219490143","0","32527596","6505521","9025241","1805049","572723","4127749","256","51","33","7","3","41","3","0","17247539","3449507","585893","117178","13739","3318590","0","0","0","0","0","0","0","0","0","0","49775135","9955028","9611134","1922227","586462","7446339","2129141","425827","174057","34812","6666","384349","70044","14009","518","104","0","13905","11","0","4187750","6316891","112438","0","5","0","219490143","3871745"
"Амурская область","140870493","140674479","5752","560118","560118","11203971","556","26658","26658","559819","38","27971","27971","399593","11","2876","2876","43956","1","0","0","0","0","9364480","9366197","93659984","1066","186167","186167","2047838","22","16","98064172","97841037","488925991","4735","0","0","0","0","0","113653","114327","685962","74","10101","8851","42100","5","0","0","0","0","436364","436511","2182553","34","17169037","17295242","110455714","2199","14522521","14429719","1000","0","0","0","14918937","14817316","1661","1150321","1151066","427","0","0","0","2237","2237","5","179","124","4","74","74","1","44","44","3","132224316","132287753","5063","95078755","95120307","4924","5740601","5731296","759","89298","89300","40","14822006","14921707","943","376472","376618","32","14835740","14814102","1986","1279851","1232819","63","0","0","0","0","0","0","2992916","3007264","77","42081073","41895588","5664","0","0","0","0","0","0","35243408","35330026","433","21510937","21510941","52","105554179","0","66762159","13352431","48007733","9601546","131899","3618986","0","0","0","0","0","0","0","0","52423270","10484654","42448587","8489718","128","1994808","0","0","0","0","0","0","0","0","0","0","119185429","23837085","90456320","18091264","132027","5613794","1317633","263526","75952","15191","4","248331","0","0","0","0","0","0","0","0","90020","1407653","0","0","0","0","105554179","3007264"
"Камчатский край","44512743","44400759","2181","416994","416994","8310192","444","16432","16432","345069","20","20397","20397","291382","11","0","0","0","0","0","0","0","0","6269113","6269172","62691723","583","6859","6859","75438","5","0","26102604","25996395","128861445","1588","0","0","0","0","0","54157","54142","324852","25","0","0","0","0","0","0","0","0","753709","754052","3770262","52","6206611","6202356","43701435","889","4423237","4421075","352","69830","65756","3","4666882","4663960","635","47596","47402","93","0","0","0","0","0","0","32","32","1","12547","0","0","0","0","0","43338883","43231653","1736","31604043","31570904","1684","894536","894168","104","8029","8029","7","3977394","3975411","312","756208","754052","52","6058279","5989272","743","40202","39626","49","0","0","0","3637","0","0","1402153","1405566","46","8603338","8516403","2133","0","0","0","0","0","0","8760797","8691133","167","1474333","1434407","47","90553205","0","5359417","1071881","1061791","212360","67273","792248","0","0","0","0","0","0","0","0","4099263","819853","1999765","399953","9595","410305","0","0","0","0","0","0","0","0","0","0","9458680","1891734","3061556","612313","76868","1202553","224814","44963","96328","19265","3590","22108","0","0","0","0","0","0","0","0","8061342","8286156","0","0","0","0","90553205","1395454"
"Магаданская область","43498499","43369391","1326","205691","205691","4111047","191","12390","12390","260191","15","27366","27366","390945","6","0","0","0","0","0","0","0","0","936355","912587","9125871","199","618","618","6803","1","-22","33141397","33082548","165413881","1047","7","0","0","0","0","10215","9767","58602","19","0","0","0","0","0","0","0","0","242937","243090","1215451","18","5068915","5017186","30493446","404","3699683","3708343","220","7693","7693","5","3845483","3850991","461","5087","26048","149","0","0","0","18","0","0","2468","2468","2","0","0","0","0","0","0","49674596","49604885","1155","39574393","39499440","1128","1927801","1927911","32","2836","2836","3","3012027","3012840","173","243090","243090","18","4895161","4900889","347","18895","17914","37","0","0","0","0","0","0","3172154","3185867","87","10552975","10505310","1253","0","0","0","0","0","0","19889585","19893826","282","517596","521514","25","228088230","0","1151983","230398","85325","17065","21530","191803","268","54","0","0","0","54","2","0","3238769","647754","87","17","18","647719","0","0","0","0","0","0","0","0","0","0","4390752","878152","85412","17082","21548","839522","153038","30607","2083","417","1716","28474","0","0","0","0","0","0","0","0","1337430","1490468","0","0","0","0","228088230","3185867"
"Сахалинская область","80322745","80284366","3565","731746","731746","14635876","749","24019","24019","503178","47","53782","53782","768312","23","93","93","1426","1","0","0","0","0","6230422","6230411","62304466","613","5414","5414","59553","4","237","58012650","57971797","292273503","2636","0","0","0","0","0","513913","513913","3083448","49","58","58","390","1","1360","1360","19059","2","160341","160341","801703","36","12086183","12088681","80474447","1496","2173104","2173104","494","127420","127420","4","2454172","2454159","955","118564","117611","287","0","0","0","39","39","2","23","23","1","1131","1131","4","115","115","2","77354263","79356577","2815","60834650","62833794","2721","1669004","1669004","184","93738","97107","40","2754201","2754087","447","209729","209729","36","11699939","11699690","1302","93522","93686","94","0","0","0","0","0","0","8258069","8290378","53","21998799","22000264","3588","0","0","0","0","0","0","27144233","29219654","211","1154356","1192929","65","105332067","0","25262547","5052511","4011406","802282","531939","3718290","1648379","329676","0","0","54","329622","2","0","3275234","655048","189458","37891","38957","578200","0","0","0","0","0","0","0","0","0","0","28537781","5707559","4200864","840173","570896","4296490","2211545","442309","249550","49910","9310","383089","1003867","200773","0","0","0","200773","10","0","4361480","6573025","8","0","1","0","105332067","8289877"
"Забайкальский край","66789816","66356526","3752","462612","462612","9252240","509","20376","20376","427896","34","50291","50291","718443","16","0","0","0","0","0","0","0","0","3205543","3141433","31414330","464","5271","1727","19000","6","1515","47428046","47272164","236360818","3010","0","0","0","0","0","277505","272341","1634046","83","0","0","3033","0","0","0","0","0","694702","687814","3439070","53","10177923","10123681","61473949","1386","4020211","3931342","616","43905","43905","3","4388350","4244890","1112","151974","149801","789","0","0","0","61","49","4","171","171","2","210","210","1","0","0","0","67224652","67011744","3081","49349791","49028274","2971","1949916","1946504","233","39509","37980","14","6742980","6734621","548","692096","690844","51","8313943","8460602","1187","136417","112919","84","0","0","0","0","0","0","11424052","11429760","77","11227650","10950198","4105","0","0","0","0","0","0","22888168","22844273","395","979729","979742","40","186738780","0","19628877","3925775","8482128","1696424","152816","2076535","644","129","0","0","0","129","2","0","31369228","6273846","445613","89123","1661","6183062","0","0","0","0","0","0","0","0","0","0","50998105","10199621","8927741","1785547","154477","8259597","4512266","902452","1370595","274119","1569","626764","2929","586","19","4","461","121","4","0","21050","4533316","27940","0","2","0","186738780","11429744"
"Еврейская автономная область","8171310","8164471","418","65342","65342","1306845","70","5504","5504","115587","8","4309","4309","61563","1","0","0","0","0","0","0","0","0","395594","394297","3942971","92","0","0","0","1","0","7132198","7127382","35634071","300","0","0","0","0","0","8648","8631","51788","8","89","89","1780","1","0","0","0","0","30547","30547","152734","7","431157","430924","2689190","156","83422","82901","55","0","0","0","97794","97317","96","51388","51340","155","0","0","0","217","217","3","0","0","0","2170","0","0","217","217","1","2834502","2831005","343","2219137","2217767","323","153506","153542","27","988","988","2","83537","83563","54","30547","30547","7","295703","293518","133","51835","51832","15","0","0","0","0","0","0","1211224","1199142","7","5544529","5535174","539","0","0","0","0","0","0","1361786","1346167","36","11436","11436","7","12619271","0","1140155","228032","431229","86246","22959","118827","347785","69557","102295","20459","3","49095","4","0","305158","61032","0","0","0","61032","0","0","0","0","0","0","0","0","0","0","1445313","289064","431229","86246","22959","179859","105426","21085","9586","1917","0","19168","0","0","0","0","0","0","0","0","1250","106676","650","0","1","0","12619271","1177354"
"Чукотский АО","24558979","24544693","382","128782","128782","2575630","91","9207","9207","193133","13","9284","9284","132627","2","0","0","0","0","0","0","0","0","244015","240939","2409389","55","10411","10411","114516","2","0","13495029","13475263","67383608","272","0","0","0","0","0","12357","12106","72636","8","2212","2212","44248","1","0","0","0","0","595226","595226","2976128","21","6600916","6605093","39717875","132","2979176","2983559","59","89","89","1","3453755","3458385","108","19803","19342","441","0","0","0","0","0","0","0","0","0","101816","101816","1","0","0","0","37293436","37267704","302","24303897","24343867","292","816630","816630","6","5987","5987","3","8201992","8175229","54","576781","538633","19","3369915","3363239","116","24030","24119","53","0","0","0","7786","7786","1","681169","681169","8","6160431","6144940","666","0","0","0","0","0","0","19458877","19432436","95","653553","653553","19","99169414","0","467473","93495","85023","17005","31459","45031","716","143","366","73","598","-528","2","0","111158697","22231739","3789","758","758","22230223","0","0","0","0","0","0","0","0","0","0","111626170","22325234","88812","17763","32217","22275254","251610","50322","100259","20052","99324","-69054","672","134","935","187","0","-53","1","0","0","251610","0","0","0","0","99169414","679597"
