GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67
Республика Адыгея;1 289;0;0;3;0;10 503;11;3;1 334;1 396;402;260;200;14;35;0;7;611;33;310;1 326;207;439;1 102;1 656;10;22;7 662;2;2;0;0;1;2;0;0;1;1 208;3 909;3 123;3 890;10 956;2 498;2;0;19;1 693;431;365;4 697;1 594;5 586;28 027;9;120;65 499;1;30;0;0;23;233;0;0;0;0;0;47
Республика Башкортостан;15 246;0;0;127;0;137 311;463;40;14 328;13 298;4 316;3 149;2 114;103;88;16;59;7 252;2 394;2 995;21 040;6 361;7 038;15 249;21 136;866;615;99 692;237;89;2;1;8;20;8;25;21;26 568;50 969;33 614;46 986;105 077;18 419;10;7;211;43 093;51 411;5 978;97 830;45 169;98 243;394 452;726;2 335;999 616;460;1 457;11;24;60;724;10;390;3 628;0;0;12 802
Республика Бурятия;2 878;0;0;14;0;23 988;503;31;2 444;3 024;535;359;335;10;30;7;6;1 863;233;449;3 428;553;1 165;2 160;4 277;141;138;16 591;232;100;0;2;1;7;6;38;0;1 624;5 990;2 209;2 745;8 076;681;2;2;19;5 315;2 716;492;12 096;3 045;9 398;39 649;36;178;93 380;65;1 106;0;140;6;149;9;517;0;0;0;1 364
Республика Алтай;1 098;0;0;24;0;8 959;127;19;733;1 273;271;149;160;4;4;1;4;604;61;142;1 198;185;410;707;1 573;50;168;5 902;38;16;0;0;1;1;6;7;10;457;2 035;860;1 351;6 501;688;0;0;6;1 973;501;150;2 517;611;2 345;7 913;19;386;27 221;53;217;0;0;0;8;69;116;535;0;0;1 788
Республика Дагестан;4 185;0;0;0;0;28 279;215;14;3 826;3 382;858;499;588;28;12;5;22;2 495;235;1 411;2 971;386;1 177;2 612;3 220;17;13;20 618;146;40;0;2;0;3;0;4;8;2 251;3 595;4 834;4 987;20 891;3 450;1;1;38;5 164;1 639;1 380;6 531;1 636;9 539;35 157;8;40;97 658;148;898;0;573;0;103;0;579;2 913;0;0;0
Республика Ингушетия;635;0;0;0;0;4 371;12;0;607;578;94;55;107;5;9;0;1;707;24;71;263;55;176;767;567;0;4;3 514;1;2;0;0;1;8;0;0;0;227;452;212;334;1 996;387;0;0;1;1 051;145;40;412;133;703;4 974;0;3;10 681;0;12;0;0;1;86;0;0;0;0;0;0
Кабардино-Балкарская Республика;1 703;0;0;36;534;13 138;6;14;843;1 326;406;316;281;16;9;2;1;774;69;324;1 421;158;410;836;1 349;9;7;7 176;2;2;0;0;0;0;0;0;14;397;1 675;1 836;3 240;10 064;2 272;0;0;0;850;294;95;1 558;345;1 157;6 692;3;10;28 202;1;35;0;0;0;0;0;0;251;0;0;428
Республика Калмыкия;1 023;0;0;5;0;9 312;50;24;1 748;1 628;199;77;57;0;32;0;1;564;22;232;1 134;89;314;436;609;1;5;6 533;28;3;0;0;0;0;0;1;24;1 457;3 582;1 467;1 094;2 508;0;3;0;4;2 817;433;373;3 512;509;4 035;9 850;1;21;31 642;49;47;0;0;0;0;0;108;392;0;0;48
Карачаево-Черкесская Республика;1 197;0;0;6;0;9 978;13;1;1 264;1 157;218;225;178;11;9;0;2;705;35;222;1 161;131;368;1 356;1 156;41;27;7 031;1;2;0;0;0;0;0;0;1;676;1 828;999;2 467;7 889;2 031;0;0;2;1 321;246;180;2 167;404;2 333;22 123;8;27;42 637;0;86;0;0;0;0;0;0;18;0;0;16
Республика Карелия;2 924;0;0;2;0;23 034;918;7;2 041;2 470;737;517;217;6;17;1;7;815;165;494;3 770;499;620;2 440;4 967;360;293;14 810;479;98;10;2;1;0;90;79;7;1 523;9 761;5 801;7 800;9 873;833;2;0;24;4 662;4 005;985;17 271;3 877;8 723;73 605;334;990;147 911;282;4 335;35;270;23;0;869;3 486;4 646;0;0;1
Республика Коми;3 016;0;0;37;0;37 117;734;47;2 801;2 888;635;472;328;7;47;5;1;1 843;774;794;5 260;922;3 188;4 867;7 671;611;353;24 824;363;97;0;0;1;3;40;64;12;3 383;9 895;5 092;7 742;16 160;1 433;5;3;3;8 842;14 038;1 260;17 842;7 235;45 940;135 608;103;345;273 051;56;983;0;0;10;90;419;786;1 395;0;0;3 393
Республика Крым;4 743;0;0;3;0;47 934;537;21;5 334;6 171;1 456;762;664;27;83;12;17;3 284;716;1 803;7 412;1 045;1 662;4 364;5 458;12;11;34 784;93;110;9;1;12;47;39;113;15;2 005;4 824;6 763;11 416;21 608;2 897;4;2;18;8 452;4 048;2 022;22 200;4 968;12 649;56 017;12;95;156 995;83;1 440;9;237;100;1 547;841;3 269;2 450;0;0;173
Республика Марий Эл;2 416;0;0;51;0;19 306;106;5;1 521;2 126;606;439;247;13;15;3;8;1 212;55;401;3 045;333;820;1 643;2 579;61;44;12 473;46;14;1;0;0;3;3;3;5;2 847;8 246;4 720;6 476;12 538;2 110;2;1;38;7 158;1 314;804;13 972;2 516;11 383;44 876;53;167;116 891;48;322;6;0;0;110;2;125;147;0;0;9 359
Республика Мордовия;2 582;0;0;0;0;26 323;78;0;2 481;2 321;755;458;258;7;20;4;9;1 519;131;551;3 931;484;1 258;3 178;3 301;75;75;17 357;30;6;0;1;1;2;0;0;0;3 131;7 711;5 834;7 067;12 484;1 010;2;2;32;8 870;3 145;1 147;17 879;3 728;17 674;90 955;64;318;179 661;59;364;0;524;14;194;0;0;0;0;0;0
Республика Саха (Якутия);4 152;0;0;350;0;46 167;2 504;150;1 399;5 323;794;501;702;8;67;9;10;2 039;626;354;5 248;843;3 367;7 384;10 565;484;334;28 579;602;181;1;1;2;0;164;391;39;891;7 987;2 168;6 292;24 511;1 300;3;2;13;11 737;8 230;719;23 344;6 921;48 729;209 723;105;288;351 269;261;573;1;11;9;0;2 094;2 648;1 778;0;0;22 458
Республика Северная Осетия - Алания;1 495;0;1;1;1;11 069;1;0;1 430;1 373;391;189;227;21;5;1;3;806;59;297;1 311;185;406;989;810;9;9;7 670;1;0;0;0;0;0;0;0;0;747;2 324;1 603;1 731;7 858;2 670;0;0;5;1 423;443;238;2 586;625;2 394;13 064;2;12;35 041;1;0;0;0;0;0;0;0;0;0;6;4
Республика Татарстан;22 829;0;0;120;0;192 703;892;105;18 785;23 169;8 731;6 869;4 310;285;89;32;235;6 044;2 675;3 882;20 210;3 069;7 775;33 754;27 663;1 973;644;139 623;332;293;0;1;16;55;24;19;53;33 423;88 386;67 470;102 533;231 948;50 228;9;8;853;35 654;66 384;7 371;87 943;22 176;108 180;913 600;1 530;2 650;1 765 935;691;6 943;0;320;146;2 450;152;456;13 948;0;0;14 689
Республика Тыва;874;0;0;2;0;7 722;95;11;737;1 142;111;52;63;0;19;1;0;771;52;82;821;120;347;738;1 140;36;60;5 056;42;12;0;0;0;0;4;4;0;435;1 630;538;535;2 081;0;1;0;0;2 429;643;116;2 435;663;3 731;16 479;15;176;31 717;27;132;0;0;0;0;27;39;0;0;0;7
Удмуртская Республика;6 642;0;0;117;0;52 259;308;4;4 822;6 434;1 968;1 391;789;30;49;20;48;1 825;763;1 154;7 236;938;2 433;5 640;7 504;344;219;35 510;103;87;1;0;5;5;11;6;3;4 953;20 375;15 013;20 329;37 124;4 535;3;5;102;8 884;15 666;2 243;32 958;6 912;34 043;147 840;264;994;346 449;231;1 256;1;0;46;331;17;75;349;0;0;3 879
Республика Хакасия;1 585;0;0;24;0;15 269;173;8;1 723;2 067;479;271;219;9;31;6;4;753;68;272;1 939;259;592;1 476;2 773;79;110;10 159;69;25;0;0;2;1;13;12;8;765;3 459;2 150;2 709;7 134;730;3;2;10;2 077;691;330;5 701;1 308;5 728;42 478;42;378;74 544;54;356;0;0;18;28;6;150;113;0;0;1 964
Чеченская Республика;1 772;0;0;1;0;19 512;16;6;2 069;2 063;333;433;387;33;5;3;15;1 602;42;204;1 589;204;642;2 487;2 674;0;13;12 078;7;5;0;0;0;3;0;0;6;1 060;2 543;1 142;4 759;14 149;3 604;0;1;37;3 094;317;176;3 186;721;4 098;32 921;0;9;68 203;8;50;0;0;0;93;0;0;256;0;0;1
Чувашская Республика;4 604;0;0;150;0;30 488;187;3;2 426;3 757;1 274;846;469;17;18;4;8;1 721;83;691;5 092;659;982;2 633;4 259;91;90;20 657;85;43;3;0;4;3;2;7;3;2 843;11 595;10 007;12 742;22 462;2 357;1;3;17;5 752;1 262;1 375;22 651;4 800;13 680;68 925;69;326;178 115;152;770;5;0;31;57;1;3;13;0;0;3 644
Алтайский край;8 523;0;0;0;0;85 170;342;18;6 550;8 162;2 293;1 789;1 369;97;68;13;25;4 561;412;2 617;12 801;1 570;3 099;6 994;10 930;326;487;52 321;131;40;0;0;2;7;52;0;13;4 924;17 665;9 036;21 815;59 689;13 567;4;3;84;25 973;10 232;5 281;60 640;12 381;43 188;193 317;297;2 002;464 232;133;711;0;0;13;268;42;0;1 232;0;0;0
Краснодарский край;20 144;0;1;35;0;211 195;1 615;95;20 517;27 937;8 668;5 896;4 209;300;265;49;153;9 537;1 860;5 855;26 841;4 106;6 895;22 863;24 928;73;109;145 650;409;257;8;13;23;100;158;231;77;18 197;75 865;66 497;86 530;234 426;55 582;24;10;589;29 764;24 101;6 975;93 023;31 599;88 115;576 072;67;567;1 331 790;499;17 126;55;8 510;83;1 755;5 926;42 160;10 203;0;114;25
Красноярский край;9 637;0;0;2 351;0;128 254;3 241;182;4 522;9 354;3 785;2 756;2 487;115;74;22;61;3 579;2 197;1 507;13 108;2 445;5 190;16 921;21 667;541;688;68 006;533;301;1;0;13;23;399;381;82;1 635;14 947;16 920;27 737;86 963;14 766;2;2;59;11 095;23 761;1 838;39 375;12 395;64 612;452 092;114;2 854;753 432;287;6 525;5;0;49;308;9 655;12 635;14 828;0;0;88 378
Приморский край;6 492;0;0;4;0;61 255;1 872;44;2 544;6 935;2 153;1 377;1 583;79;35;11;22;2 627;1 313;950;6 933;1 641;2 281;9 565;11 456;150;134;39 970;317;229;16;7;1;12;136;167;28;1 167;9 553;9 302;13 462;63 292;13 871;2;3;60;4 466;7 758;905;18 793;9 817;15 988;203 505;80;264;358 070;480;13 742;81;1 404;8;324;9 071;24 559;3 385;0;0;6
Ставропольский край;7 539;0;0;23;0;98 457;161;25;10 327;10 637;2 770;1 741;1 384;94;74;23;25;4 682;466;3 218;13 174;1 552;3 912;9 942;9 403;21;54;63 856;84;20;2;0;4;10;4;0;25;5 356;17 666;15 743;26 156;60 705;13 507;5;5;44;13 796;5 496;2 637;46 426;9 847;42 035;216 722;11;171;462 639;100;266;8;0;31;346;3;0;1 324;0;0;1 663
Хабаровский край;4 731;0;0;53;0;46 928;3 589;67;1 745;5 153;1 624;1 066;1 164;34;31;4;16;1 448;998;763;6 259;1 458;2 321;7 615;10 321;358;273;31 665;644;281;0;4;2;4;250;251;44;1 158;8 455;6 635;11 460;47 672;5 345;2;2;43;9 059;25 340;1 539;29 524;11 132;30 000;178 457;135;654;360 479;411;7 000;0;339;11;180;2 025;10 036;3 306;0;0;3 775
Забайкальский край;3 259;0;0;4;0;34 478;164;8;2 606;3 700;506;344;390;14;70;4;2;2 148;534;754;5 177;805;1 936;3 716;7 467;35;86;22 692;94;5;0;0;3;3;0;2;3;1 423;4 267;1 556;2 314;8 404;1 080;2;1;2;5 761;4 204;786;11 671;3 344;13 323;61 598;9;111;118 657;35;34;0;0;14;47;0;1;84;0;0;5
Амурская область;3 115;0;0;1;0;38 660;381;25;2 207;3 349;804;455;562;19;30;1;2;1 752;525;448;4 737;875;2 060;4 840;9 173;111;31;22 645;204;72;0;0;0;3;19;5;25;1 885;5 875;3 770;6 922;27 015;3 069;2;0;2;6 390;8 146;534;13 382;4 224;28 816;131 248;93;113;238 212;287;1 543;0;0;0;318;65;77;3 016;0;0;291
Архангельская область;3 609;0;0;7;0;33 730;2 119;20;2 358;3 326;859;585;293;12;50;10;26;2 013;325;669;5 845;688;1 110;4 172;7 078;484;333;22 326;393;194;19;0;3;4;341;344;2;2 463;9 453;6 825;9 043;13 752;1 998;3;3;96;9 159;4 775;1 332;26 812;5 501;15 432;122 776;318;923;227 425;349;3 826;29;0;32;422;11 660;9 537;380;0;0;38
Астраханская область;2 743;0;0;6;0;21 991;4 779;3;3 012;3 550;821;450;350;12;77;6;7;1 455;468;737;3 095;304;877;1 624;2 423;11;7;16 833;1 792;406;4;1;4;12;1 369;348;0;3 123;10 222;6 216;6 584;16 757;2 068;5;2;29;4 918;5 397;856;11 528;1 929;9 823;32 745;7;19;110 132;2 291;7 964;5;730;31;645;9 034;19 721;0;0;0;41
Белгородская область;6 870;0;0;70;0;68 768;59;2;7 799;7 792;2 412;1 677;903;54;37;12;20;3 767;639;1 442;8 831;1 392;2 524;9 676;10 033;49;109;48 922;29;15;0;0;0;7;0;2;2;8 390;21 346;18 556;25 028;46 180;8 920;2;3;80;21 454;13 024;2 916;40 264;10 495;35 203;262 272;46;453;505 210;88;892;0;0;0;525;0;49;832;0;0;8 518
Брянская область;4 064;0;0;17;0;39 947;99;11;4 214;4 563;1 083;667;448;23;103;6;11;1 815;460;715;5 959;615;1 166;6 121;4 625;52;32;27 946;46;14;0;0;1;0;30;4;11;2 829;9 287;6 934;10 038;20 900;3 834;5;1;25;8 709;6 459;875;13 661;3 889;12 594;127 678;50;118;223 883;137;387;0;0;24;0;46;127;720;0;0;138
Владимирская область;5 040;0;0;115;0;41 647;112;14;3 676;5 586;1 571;1 032;591;26;86;5;26;1 561;437;997;6 923;934;1 082;3 939;6 428;162;94;28 445;47;12;1;0;1;2;14;3;14;5 544;18 643;9 725;15 645;28 915;4 045;2;0;38;7 394;7 348;2 057;31 878;7 072;14 015;106 721;142;362;254 998;43;446;15;0;17;205;27;67;4 027;0;0;8 079
Волгоградская область;7 405;0;0;9;0;76 159;782;60;8 406;10 019;2 244;1 421;774;41;90;22;31;3 110;843;2 117;10 967;1 099;3 234;5 589;9 330;45;90;49 961;224;85;3;0;2;5;193;78;60;5 584;21 473;14 235;21 421;39 367;6 303;7;5;60;8 885;8 003;2 754;41 617;8 725;43 844;133 096;22;161;349 073;203;2 297;1;0;26;320;1 024;2 347;708;0;0;743
