GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76
Нижегородская область;8 533;2 565;0;289;0;97 205;2 119;24;7 216;9 930;2 819;1 754;1 468;191;182;225;175;4;227;18;16;5 438;1 433;3 234;16 603;1 521;3 987;4 914;12 630;214;87;61 105;143;527;4;0;0;6;1 213;35;15;11 516;31 733;18 222;25 755;69 045;5 770;6 223;5 284;14 140;452;21;5;33;23 565;29 756;5 600;64 147;10 110;46 936;103 254;33 139;188;343;440 408;282;23 712;2;0;0;163;77 879;676;896;92 142;0;61 567
Оренбургская область;3 250;1 428;0;160;1 987;64 032;128;78;0;4 583;1 410;820;767;93;113;88;61;1;35;7;8;3 055;568;2 804;10 299;946;5 486;3 997;8 097;284;145;35 001;57;7;0;0;2;6;1;4;37;0;7 326;10 097;12 331;34 243;2 732;3 191;1 875;4 445;5;0;0;21;15 721;12 418;4 867;42 242;7 129;64 753;91 834;29 433;250;536;303 070;79;140;0;0;20;208;1;10;3 615;69 578;0;23 332
Пензенская область;3 629;1;0;109;0;29 823;57;8;4 388;2 763;678;396;340;48;41;47;36;6;48;11;4;2 016;366;1 487;6 112;485;1 630;2 096;5 918;79;43;22 822;42;2;0;0;2;5;4;1;8;6 673;8 799;4 357;5 835;15 602;1 678;1 319;1 253;2 571;463;3;1;9;9 190;7 001;2 891;28 310;3 801;21 641;49 277;18 281;69;176;163 170;68;35;0;0;28;219;4;2;88;637;0;18 113
Пермский край;8 738;0;0;248;0;64 101;674;15;6 604;7 587;2 276;1 373;1 624;112;148;142;139;5;80;21;13;4 209;1 334;2 717;10 608;1 184;5 512;5 721;11 564;592;270;50 886;190;169;1;2;8;9;116;147;14;11 825;24 604;16 165;14 953;28 220;1 921;2 849;2 082;4 779;116;7;10;21;22 132;14 822;5 038;47 291;8 708;66 340;96 306;37 866;197;393;356 344;108;1 467;0;111;22;109;1 777;1 248;118;0;0;12 747
Самарская область;10 248;391;2;315;0;110 500;750;43;20 205;14 810;3 147;2 147;1 791;207;269;257;166;6;105;19;20;6 776;1 487;5 129;14 885;1 533;6 860;7 051;14 386;424;322;86 194;305;225;18;4;9;41;46;101;47;23 299;39 240;19 321;31 927;83 327;7 030;8 095;5 908;13 902;1 062;6;4;41;23 699;29 157;9 214;66 080;11 531;88 190;162 609;51 291;365;1 377;589 063;505;4 743;14;804;82;1 609;1 088;920;5 176;32 174;1;74 498
Саратовская область;7 391;26;0;238;0;65 799;472;96;9 672;7 462;1 905;1 218;984;136;131;162;114;8;70;16;16;4 751;582;4 201;12 959;1 176;4 926;3 945;10 205;207;216;53 887;221;111;2;2;7;10;50;69;96;10 183;23 787;13 741;18 122;48 199;4 381;4 218;3 108;9 397;1 300;1;3;38;20 133;10 809;6 536;51 260;9 097;65 095;92 763;27 295;188;1 066;370 615;548;4 160;7;342;104;561;311;863;5 547;4 581;0;28 375
Ульяновская область;3 830;53;0;121;0;28 353;125;148;3 657;3 553;840;451;409;57;56;66;14;3;19;8;3;2 762;83;1 491;5 758;398;1 661;1 546;4 132;76;71;22 961;52;32;3;1;2;2;9;23;143;3 378;10 661;5 180;5 710;13 564;1 433;1 621;1 416;747;189;1;2;3;8 369;959;2 786;25 374;2 789;21 154;35 708;10 050;55;155;135 742;47;491;1;326;7;57;42;432;11 510;6 555;0;14 398
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;35 261;5 726;0;1 158;16;472 043;4 433;615;27 523;40 105;12 271;8 805;9 507;886;868;873;673;62;444;185;161;22 612;10 256;16 520;60 178;10 276;49 567;49 063;84 063;4 363;1 782;319 702;1 809;415;22;1;36;72;1 072;228;402;16 930;67 386;70 133;103 313;336 947;23 804;25 735;18 431;44 955;8 534;15;49;348;99 746;174 250;23 817;211 710;66 187;605 911;1 153 397;280 860;2 661;5 687;2 939 963;1 946;7 172;17;16;237;2 149;1 975;1 611;61 973;163 341;0;196 805
Курганская область;2 724;148;0;81;0;23 175;66;22;3 333;2 005;464;258;254;43;27;23;10;1;42;6;5;1 940;108;1 493;3 976;313;1 173;831;3 808;152;55;16 321;61;1;0;0;1;0;0;1;22;2 438;5 825;3 234;3 874;10 983;751;1 007;753;1 171;20;1;0;10;6 330;1 386;2 787;17 273;2 352;14 298;18 419;6 745;131;208;89 160;78;10;0;0;9;0;0;1;682;9 483;0;7 713
Свердловская область;10 234;3 971;0;338;16;116 097;340;37;50;15 813;4 606;2 940;2 858;331;348;324;281;29;168;71;75;4 751;1 191;5 067;18 286;2 195;7 667;9 088;17 620;565;275;74 712;177;49;2;1;6;14;22;19;34;14;15 541;21 630;28 278;90 515;7 233;8 412;4 824;16 126;3 351;1;20;137;18 157;18 621;3 023;24 799;5 106;30 532;151 840;36 744;335;725;406 726;191;556;1;16;34;414;76;120;5 261;30 171;0;69 159
Тюменская область;4 728;1 472;0;194;0;65 454;485;189;3 490;3 949;1 546;902;1 246;72;92;100;98;2;25;4;12;1 863;649;1 927;7 237;975;4 289;5 118;10 446;766;221;33 467;219;28;0;0;3;11;74;36;186;2 480;12 171;8 534;9 584;37 135;1 987;2 386;1 824;5 809;324;2;1;20;6 176;5 463;3 592;31 830;7 402;56 423;123 890;35 922;380;515;306 123;218;265;0;0;10;293;417;148;21 011;94 666;0;20 177
Челябинская область;10 084;92;0;320;0;90 692;663;57;10 517;9 076;3 098;2 193;1 943;219;231;292;171;17;120;45;24;5 220;965;4 482;14 241;2 632;5 887;6 463;14 319;275;215;66 104;261;19;19;0;17;18;268;36;63;6 264;19 858;22 134;32 441;85 304;6 951;7 391;7 825;13 862;3 735;6;7;77;28 165;17 128;8 593;65 771;18 065;76 323;152 738;60 630;256;758;530 777;231;298;15;0;158;643;181;106;1 663;25 258;0;77 689
Ханты-Мансийский АО - Югра;5 445;24;0;188;0;122 177;1 788;249;7 769;6 182;1 846;1 873;2 437;203;144;105;96;8;59;44;29;5 950;4 554;2 538;12 690;2 442;19 803;20 045;23 791;1 821;506;90 925;785;179;1;0;8;20;261;68;37;2 969;5 222;11 664;23 673;95 614;6 515;5 867;2 727;7 134;834;4;15;62;33 670;105 674;3 892;55 468;19 462;276 355;508 375;88 615;1 150;2 181;1 153 632;860;4 595;1;0;21;521;806;781;14 135;3 187;0;21 328
Ямало-Hенецкий АО;2 046;19;0;37;0;54 448;1 091;61;2 364;3 080;711;639;769;18;26;29;17;5;30;15;16;2 888;2 789;1 013;3 748;1 719;10 748;7 518;14 079;784;510;38 173;306;139;0;0;1;9;447;68;60;2 765;8 769;2 937;5 463;17 396;367;672;478;853;270;1;6;42;7 248;25 978;1 930;16 569;13 800;151 980;198 135;52 204;409;1 300;453 545;368;1 448;0;0;5;278;495;455;19 221;576;0;739
СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;51 050;4 941;0;1 254;0;526 535;6 961;248;50 763;54 336;12 892;7 252;8 350;801;812;885;603;41;513;145;177;34 906;8 519;22 389;82 036;10 018;38 136;37 428;97 321;2 859;1 530;367 330;2 041;1 404;7;8;40;82;1 464;768;221;28 787;82 119;56 365;74 470;277 153;22 072;23 468;20 035;36 718;4 564;6;13;217;114 873;101 130;33 706;290 359;59 711;405 582;819 660;324 691;1 143;4 027;2 345 190;1 209;25 967;14;630;182;1 697;25 434;12 375;29 264;155 438;3;127 183
Республика Алтай;899;94;0;28;0;7 342;52;16;900;956;225;99;139;9;8;4;11;0;8;2;3;570;45;265;1 082;189;653;443;1 519;45;33;5 537;39;11;0;0;0;0;1;0;14;524;1 353;585;790;3 160;225;184;87;419;0;0;0;0;1 659;274;244;2 100;503;3 005;3 373;1 712;7;17;17 570;49;92;0;0;0;0;2;0;165;6 175;0;1 095
Республика Бурятия;2 464;2;0;35;0;20 280;368;3;2 819;2 461;412;221;207;27;24;19;6;0;33;18;9;1 849;111;854;3 413;468;1 519;1 457;3 908;126;37;15 863;184;55;2;1;3;9;50;42;3;1 879;4 863;1 619;1 817;4 991;420;577;393;277;0;1;3;23;4 759;1 254;914;11 463;2 504;11 837;25 326;11 294;24;44;73 262;64;623;2;126;16;174;352;285;12;11;0;1 321
Республика Тыва;830;16;0;9;0;5 852;48;0;869;943;100;34;59;1;2;1;3;0;12;4;2;581;35;161;615;97;391;483;1 085;11;19;4 391;22;7;0;0;0;0;0;6;0;496;1 222;418;310;1 949;36;111;38;328;0;0;1;4;1 496;401;196;1 516;486;3 564;9 022;3 391;4;48;21 185;19;61;0;0;0;0;0;21;0;415;0;1 197
Республика Хакасия;895;491;0;28;0;12 284;89;14;905;1 059;326;154;183;15;10;10;14;0;4;5;2;559;55;375;1 504;190;700;677;2 332;52;32;6 716;46;12;0;0;0;1;5;3;14;402;1 698;1 103;1 238;3 709;279;294;108;517;0;0;0;1;975;384;279;3 467;740;4 761;8 034;4 631;20;93;26 826;25;114;0;0;0;16;2;31;1 256;6 268;0;1 754
Алтайский край;6 992;0;0;197;0;56 118;171;6;6 866;5 466;1 361;653;767;82;84;84;53;4;70;13;15;5 423;507;4 216;13 074;1 103;3 881;3 036;8 618;274;134;46 349;127;22;0;0;2;4;13;3;6;5 568;12 257;4 844;7 647;28 146;2 566;2 656;2 020;3 613;604;1;0;30;28 860;12 701;7 922;61 375;8 859;51 029;73 935;25 587;250;522;303 197;136;306;0;0;12;134;12;49;299;0;0;27 523
Красноярский край;6 384;2 757;0;215;0;94 747;2 003;74;5 177;6 993;2 220;1 375;1 490;136;161;138;98;6;71;21;29;4 009;2 075;2 077;9 971;1 628;6 806;7 352;15 167;493;339;51 399;449;447;1;0;6;13;495;112;50;1 941;11 129;9 247;13 615;44 226;3 135;3 690;2 610;5 039;624;0;0;23;11 475;21 261;2 369;29 330;8 178;82 152;180 170;29 831;98;1 233;416 395;241;13 479;0;0;12;176;11 734;2 441;13 635;59 100;3;17 386
Иркутская область;7 602;0;0;193;0;79 787;1 120;31;6 868;8 237;1 891;1 147;1 319;164;160;214;113;7;102;23;65;5 810;1 141;2 632;13 108;2 226;7 026;8 685;18 177;401;222;60 145;343;299;3;4;17;16;220;218;31;4 252;11 942;9 440;11 728;43 172;4 223;4 660;4 681;6 277;666;2;4;83;13 365;10 491;3 022;37 936;12 163;71 793;215 118;45 939;139;478;444 550;107;3 103;11;236;65;255;2 253;2 912;3 897;0;0;28 169
Кемеровская область;5 309;676;0;102;0;63 941;214;14;5 461;7 151;1 678;987;1 132;78;72;83;64;3;37;7;12;4 014;2 401;2 224;8 215;933;4 138;3 972;13 733;296;240;42 346;142;19;0;0;3;12;9;17;14;3 015;11 666;11 080;13 266;44 569;2 638;2 660;2 106;4 868;458;1;3;21;11 874;28 869;4 219;36 474;7 350;55 637;98 702;131 827;214;844;326 679;66;131;0;0;12;293;6;14;1 300;29 766;0;5 016
Новосибирская область;8 464;431;0;182;0;77 305;965;50;8 196;10 666;2 370;1 263;1 522;156;158;179;146;15;54;27;21;4 517;779;3 735;11 584;1 051;3 641;3 982;11 817;469;208;53 058;249;199;1;2;4;16;226;104;50;3 994;12 066;9 453;13 838;65 455;5 795;5 687;5 486;11 174;1 668;0;0;8;24 403;17 473;7 091;52 566;7 787;47 427;101 569;37 361;165;311;362 716;114;2 156;1;256;45;308;3 879;1 434;1 335;45 674;0;25 945
Омская область;5 635;30;0;124;0;49 275;1 277;16;6 838;4 773;1 138;601;730;82;81;89;50;3;58;20;13;3 460;497;3 418;9 377;807;3 462;3 153;8 205;246;95;38 378;123;255;0;1;0;1;299;171;16;3 800;7 972;4 951;5 519;20 001;1 664;1 913;1 556;2 282;222;1;2;18;7 492;3 328;5 068;33 071;5 297;34 904;53 727;12 818;129;194;185 087;164;5 065;0;12;0;30;6 317;4 229;3 521;5 232;0;10 727
Томская область;2 673;441;0;71;0;31 710;593;20;2 382;2 532;832;471;556;37;35;42;33;3;23;1;2;1 662;607;1 125;4 870;569;3 533;2 478;6 676;433;171;21 654;268;70;0;0;3;8;146;92;20;906;2 279;2 563;3 103;12 862;812;740;585;1 391;322;0;0;1;2 699;2 572;1 073;9 539;2 625;23 457;24 786;6 257;90;243;88 521;206;784;0;0;8;280;877;959;3 755;2 796;0;4 103
Забайкальский край;2 903;3;0;70;0;27 894;61;4;3 482;3 099;339;247;246;14;17;22;12;0;41;4;4;2 452;266;1 307;5 223;757;2 386;1 710;6 084;13;0;21 494;49;8;0;0;2;2;0;0;3;2 010;3 672;1 062;1 599;4 913;279;296;365;533;0;0;0;5;5 816;2 122;1 309;11 522;3 219;16 016;25 898;14 043;3;0;79 202;18;53;0;0;12;31;0;0;89;1;0;2 947
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;19 679;273;1;415;0;207 427;7 089;197;14 919;24 985;5 227;3 089;3 303;208;204;174;121;19;188;51;114;11 115;4 441;6 285;27 291;5 437;17 740;21 566;50 979;2 174;815;146 576;3 588;1 170;21;17;12;20;801;946;134;11 849;46 113;23 144;33 720;117 507;7 178;8 718;4 486;8 131;1 780;3;11;176;46 244;64 183;9 559;103 099;36 870;209 928;486 274;191 845;1 067;2 410;1 189 626;3 913;32 120;78;2 540;76;759;6 834;87 220;17 390;85 677;186;35 131
Республика Саха (Якутия);3 965;84;0;48;0;39 151;1 208;74;2 788;5 776;629;451;470;27;12;11;3;4;36;6;10;2 203;533;729;4 228;846;4 555;4 442;9 428;411;48;27 554;495;346;0;1;1;0;166;144;16;1 868;9 007;1 725;2 880;8 010;485;296;166;55;5;1;1;25;11 217;6 731;1 367;19 595;6 953;62 687;120 336;51 939;78;44;252 321;207;1 883;0;5;4;0;1 582;749;1 451;73 935;0;1 597
Приморский край;4 609;75;1;115;0;42 021;1 080;19;3 015;6 030;1 413;843;948;50;62;76;60;4;50;13;17;2 146;1 342;1 326;6 584;1 118;2 900;4 192;8 935;88;42;31 926;392;223;14;11;4;10;96;320;19;1 382;8 234;5 392;6 957;35 038;2 265;3 204;2 067;4 540;462;1;2;24;3 554;9 001;1 198;16 944;5 796;20 695;77 709;18 746;47;111;191 959;577;18 210;67;1 501;22;303;1 565;59 778;4 393;2 155;186;12 520
Хабаровский край;3 232;41;0;76;0;39 778;1 884;31;2 493;4 567;1 189;638;648;42;38;40;19;3;32;2;21;1 882;1 065;1 442;5 279;1 230;3 036;4 580;9 159;363;97;28 823;1 082;239;0;1;1;4;245;196;29;2 485;8 604;5 493;7 845;27 725;1 396;1 533;967;1 388;211;0;0;20;11 026;24 543;2 806;25 387;9 902;39 136;93 501;30 601;130;228;258 717;508;3 361;0;16;2;64;1 381;5 427;2 709;3 452;0;8 413
Амурская область;2 513;0;0;73;0;28 808;319;14;2 946;2 935;542;243;306;26;28;12;4;0;34;7;3;1 850;372;1 042;4 420;659;2 523;2 504;7 283;106;24;20 459;152;61;0;0;0;3;62;40;14;3 410;6 902;2 538;3 857;13 481;1 031;1 290;553;434;0;0;1;3;6 352;5 163;1 226;12 587;3 240;33 444;61 784;22 633;91;118;154 284;296;1 671;0;0;0;255;650;936;1 292;0;0;7 818
Камчатский край;1 462;0;0;17;0;12 608;1 165;13;958;1 279;363;193;223;8;15;10;9;4;5;9;23;586;217;407;1 857;355;977;832;3 470;473;276;8 293;700;108;1;1;0;0;151;74;13;780;4 652;2 609;3 058;10 371;461;833;223;656;786;0;5;39;2 976;4 803;707;8 863;2 855;13 327;19 779;13 193;326;1 085;75 029;1 255;3 779;8;30;0;0;1 166;5 906;1 840;0;0;537
Магаданская область;842;14;0;26;0;11 537;235;28;657;1 140;216;159;218;17;18;11;7;0;4;7;5;407;210;337;1 128;249;951;1 420;3 592;139;68;7 242;151;44;0;0;0;0;10;16;25;337;1 164;426;612;2 475;210;245;103;92;0;0;0;5;847;1 771;544;4 159;1 639;10 633;31 785;23 268;65;125;56 462;153;473;0;0;0;0;18;231;3 875;2 023;0;2 045
Сахалинская область;2 284;24;0;52;0;23 900;886;5;1 338;2 380;702;486;431;30;26;11;14;2;15;4;29;1 640;532;767;2 818;649;1 862;2 911;6 233;358;147;16 563;437;76;6;3;6;3;65;113;5;1 220;6 447;4 223;7 790;19 070;1 291;1 284;382;920;283;1;2;57;8 864;10 627;1 519;13 177;5 265;25 632;72 959;26 789;287;619;176 872;824;2 481;3;988;48;137;461;13 507;1 327;2 351;0;1 278
Еврейская автономная область;414;35;0;7;0;4 040;42;1;373;451;108;50;39;5;2;0;0;0;7;1;1;227;45;105;594;108;172;259;865;6;3;2 541;31;4;0;0;0;0;1;0;1;221;760;627;627;1 129;30;22;0;0;0;0;0;1;1 199;1 002;140;2 011;842;2 132;6 050;2 750;5;11;16 818;27;30;0;0;0;0;1;0;21;1 761;0;903
Чукотский АО;358;0;0;1;0;5 584;270;12;351;427;65;26;20;3;3;3;5;2;5;2;5;174;125;130;383;223;764;426;2 014;230;110;3 175;148;69;0;0;0;0;5;43;12;146;343;111;94;208;9;11;25;46;33;0;0;2;209;542;52;376;378;2 242;2 371;1 926;38;69;7 164;66;232;0;0;0;0;10;686;482;0;0;20
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
