GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76
Орловская область;1 922;894;0;123;0;23 216;20;4;4 179;2 618;614;328;225;37;39;25;16;0;26;4;5;1 364;68;1 226;4 085;397;1 160;1 236;2 968;43;24;16 918;12;6;0;0;0;1;0;0;4;4 223;9 155;4 491;4 831;10 605;1 009;1 198;664;1 879;0;1;0;12;6 088;1 543;2 208;17 182;2 978;13 244;21 424;7 506;29;75;92 439;8;44;0;0;0;15;0;0;19;25 088;0;15 112
Рязанская область;3 422;880;0;186;0;35 129;179;93;3 834;3 182;976;593;536;72;59;91;76;6;45;11;8;1 443;152;1 437;6 145;746;1 679;1 995;4 822;132;35;22 715;101;24;0;0;1;4;22;23;93;2 962;6 900;6 351;8 562;25 626;2 209;2 518;2 525;5 986;776;0;2;8;5 096;1 968;2 600;22 835;4 726;21 580;51 894;15 225;109;151;153 160;192;495;0;0;10;136;383;121;5 565;30 541;0;19 387
Смоленская область;3 946;259;0;410;0;34 467;104;15;4 075;3 487;882;457;412;38;38;53;29;7;49;6;5;1 849;366;1 534;5 523;552;1 249;2 682;4 513;221;61;23 092;76;11;0;0;3;1;9;0;15;2 911;7 666;5 220;5 512;12 379;747;1 069;1 217;1 474;523;1;2;3;7 208;5 085;2 349;19 586;3 366;12 207;38 145;7 751;154;188;121 881;102;179;0;0;19;24;3;0;330;20 327;0;82 606
Тамбовская область;2 918;3;0;149;0;29 384;34;12;4 829;3 024;770;414;334;44;45;38;31;2;31;10;10;1 660;183;1 727;6 297;469;2 588;1 867;4 548;37;48;24 194;21;2;1;0;1;0;2;1;12;7 124;9 541;5 427;6 424;14 312;1 515;1 323;996;2 120;466;1;6;22;8 991;4 256;3 341;28 801;3 581;33 575;39 697;13 093;32;156;165 040;76;39;4;0;20;0;2;2;814;74;0;15 385
Тверская область;3 898;1 177;0;175;0;37 454;500;62;3 275;3 353;999;500;478;65;76;52;35;3;106;19;27;1 614;448;1 779;6 811;763;1 797;1 790;6 457;437;104;23 690;202;82;2;1;14;14;95;46;59;2 546;7 715;4 451;4 438;12 286;873;1 347;578;1 744;234;1;7;22;7 886;5 876;3 461;30 819;6 003;23 950;41 535;16 521;370;452;151 053;94;1 538;1;689;142;570;83;361;7 356;24 105;0;33 040
Тульская область;3 878;371;0;227;0;37 913;58;4;3 987;3 704;1 292;668;572;56;71;87;52;7;79;8;4;1 978;468;2 044;6 721;761;2 203;2 559;6 961;64;90;27 086;41;3;0;0;3;0;2;2;4;2 971;10 134;9 273;9 749;26 096;1 728;2 150;1 790;3 650;1 067;3;1;5;6 922;7 200;4 004;30 669;5 870;29 049;59 905;20 342;61;376;201 922;55;46;0;0;24;0;5;4;65;10 142;0;23 870
Ярославская область;4 564;250;0;210;0;39 235;346;3;4 166;4 819;1 333;672;640;86;88;94;63;1;45;19;7;2 045;1 088;1 785;7 324;776;1 825;2 208;6 248;396;82;28 612;154;81;2;2;9;2;31;62;3;4 444;14 383;8 775;9 051;28 925;2 942;2 694;1 541;5 116;244;1;5;11;10 232;13 859;3 436;30 275;5 586;22 103;43 535;14 187;330;305;194 382;220;1 961;1;78;24;22;1 284;255;2 869;12 703;0;16 452
город Москва;49 463;48;2;1 409;0;557 727;1 351;372;46 575;143 247;45 545;23 132;28 631;2 342;3 284;2 651;5 058;549;135;52;443;15 845;2 494;21 669;63 857;8 251;15 999;36 064;72 150;538;562;453 999;291;295;23;3;29;50;326;316;373;38 502;394 042;302 413;320 071;1 524 482;84 112;111 904;63 155;404 146;90 820;5;18;1 504;41 026;33 018;24 823;179 524;46 082;175 354;703 564;242 293;473;2 280;3 790 244;1 281;23 627;98;776;486;3 592;16 035;17 708;256 282;97 771;59;329 255
СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;45 340;2 787;9;3 021;20;469 819;7 899;366;42 957;63 282;19 691;12 662;11 409;1 320;1 768;1 700;1 662;111;530;85;188;23 065;9 326;18 767;68 837;8 519;21 963;41 655;77 173;2 924;1 344;342 902;2 468;1 149;71;25;14;36;1 750;1 575;368;54 313;198 161;131 572;177 676;535 701;39 695;55 375;37 176;131 047;17 708;29;25;468;114 949;153 781;33 306;284 440;60 646;264 417;865 823;230 661;1 726;3 311;2 869 876;2 048;34 573;148;7 564;123;1 341;74 557;109 874;31 144;181 714;515;568 189
Республика Карелия;2 458;55;0;120;0;19 225;660;12;2 308;1 825;504;307;204;22;34;23;16;0;15;5;4;921;152;868;3 332;348;951;1 845;4 084;288;107;13 608;337;60;7;3;0;1;72;52;12;1 097;5 894;3 485;4 517;8 730;577;1 200;404;1 598;0;0;1;3;5 200;3 648;1 620;15 213;2 615;12 449;48 164;19 796;193;358;112 895;106;1 387;17;157;0;28;313;708;2 592;3 506;0;12 122
Республика Коми;2 739;847;0;85;0;39 863;824;19;2 554;2 238;530;423;380;34;27;22;24;0;26;4;4;2 271;963;1 256;4 518;825;4 979;4 458;7 707;468;203;25 517;301;115;0;0;2;0;179;81;19;2 715;7 033;3 828;6 470;17 022;1 159;1 105;713;2 054;0;3;2;12;8 905;16 252;1 909;15 125;6 550;65 929;103 369;29 728;83;354;255 110;79;1 349;0;0;21;0;2 609;702;2 342;22 307;0;8 927
Архангельская область;3 497;49;1;154;0;29 849;1 538;3;2 680;2 858;678;381;292;42;40;34;15;0;60;14;10;2 332;210;1 382;5 845;546;1 940;2 463;6 673;495;172;21 683;388;237;21;1;1;1;421;448;6;2 801;7 500;4 859;5 496;12 120;1 186;1 157;832;1 130;0;3;4;21;9 249;2 969;2 686;26 304;4 005;25 745;60 275;24 339;307;464;164 119;316;3 679;36;44;5;41;15 288;13 153;442;1 510;34;11 407
Вологодская область;4 536;173;0;207;0;41 747;359;3;3 972;4 068;1 097;590;440;46;54;79;20;0;152;14;3;2 001;605;1 545;6 840;676;2 471;2 359;8 088;508;75;26 991;210;52;1;0;1;8;18;35;3;7 126;14 942;7 861;8 562;17 515;1 178;1 715;1 934;1 159;0;10;3;1;8 522;8 283;3 021;30 335;5 019;31 102;54 551;22 290;424;294;198 037;105;1 134;2;0;11;337;215;868;536;20 574;0;20 266
