GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182
Республика Коми;768190;10544048;0;6566372;0;2260;7046;481056;0;2966;15283228;144786;133236;13007799;0;0;0;0;0;3761088;469173;0;3483079;0;0;284873;1458043;0;0;0;0;0;-48487;0;73862;0;0;35915;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;165521;0;0;0;17913;20902;6560180;7229639;263501;693052;1649;0;196143;0;0;3;20100;21599;0;43976;0;0;28;15003;9124;64313765;727182;654578;58226;133926;0;0;246206;0;0;0;0;15890;3068;0;195;0;0;0;0;11;0;0;0;0;0;0;0;3;0;0;0;0;0;0;-218;-112;1063;28;0;0;4;0;0;0;7;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;37381;0;567;6785;5;981;0;0;297;1575;0;0;0;1531;207;1037;55;130;0;72;0;0;0;30;0
Республика Марий-Эл;246375;2942500;0;399722;0;2705;1717;3276;0;1;4580916;81892;80068;5965692;1340;0;0;0;0;0;278;0;0;0;0;149651;8903;0;0;0;0;0;0;0;317;0;0;50649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41562;0;0;0;20362;16581;1371255;167913;92161;385877;2325;0;59273;0;0;0;12426;22682;0;22930;0;0;0;13697;7687;0;0;0;11566;0;0;0;0;0;0;0;0;11452;1277;0;59;0;3;0;0;20;0;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;209;134;0;0;0;0;0;0;216;19;0;0;0;6;177;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;21;0;6;0;0;35;0;0;0;0;59;0;958;7450;0;397;0;0;90;683;-10;0;0;1320;182;454;177;3;0;0;0;0;0;0;0
Республика Мордовия;175925;2815322;0;137036;0;225;7022;610;0;389;5466870;55240;107570;7188242;-6221;0;0;0;0;0;0;0;0;0;46;2803889;9574644;0;0;0;0;0;0;0;0;0;0;81937;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;34688;0;0;0;15212;13624;2224539;192785;156019;580816;2237;0;381293;0;0;0;72984;63810;0;31618;0;0;0;72056;15144;0;0;0;7682;16456;0;0;0;0;0;0;0;12470;179;0;0;0;-2;0;0;-2;0;0;0;0;0;0;0;-39;0;0;0;0;0;0;0;0;-255;26;0;0;19;0;0;0;53;2;0;0;0;4;-22;16;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;376;0;15327;5026;1;651;0;0;447;425;0;0;0;292;90;0;61;80;0;0;0;0;0;0;0
Республика Саха (Якутия);4023632;37941652;0;7594937;0;3086;14811;242;662142;3439;20114413;154691;91431;-2247257;0;0;0;0;0;389317;502;0;23144;0;0;19159;732368;0;0;0;0;0;-306160;0;-89006;0;0;60672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158508;0;0;536;30771;144231;12782405;9880;183591;683474;1173;0;93854;0;0;831;60537;301612;0;65858;0;0;332;61556;70759;42839830;139998;49685;294570;3744044;0;17169335;520980;0;0;0;0;13363;6631;9;4973;0;9;0;0;19;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;83;41;0;0;-1;0;0;0;76;1;-14;0;0;63;45;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;8;0;0;0;0;116712;0;0;7576;15;392;0;0;280;1884;0;0;0;787;326;106;0;0;0;1;0;0;0;0;0
Республика Северная Осетия-Алания;54936;1162466;0;102251;0;3800;13655;0;0;0;3812928;21261;34316;2028092;-1131;0;0;5;6334;10;0;0;0;0;421342;241215;6188788;126;0;0;0;0;0;0;0;0;0;32568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65734;0;0;0;19221;8590;723125;166355;24401;285155;6698;0;84769;0;0;7840;11004;44741;0;44589;0;0;35;33661;26159;37;0;0;17297;998;0;0;0;0;0;0;0;25706;11;0;0;0;36;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;58;57;0;0;283;0;0;10;8;31;0;0;4;853;-8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;4;0;5;3562;0;31;0;0;0;1417;0;0;0;13;0;2;0;0;0;0;0;0;402;0;0
Республика Татарстан;4493234;46378642;2566296;26479116;0;86731;2310088;119692;334;465761;39393425;330170;1294983;59030728;18658;-34921;0;0;19;5436086;-9264458;251605;9033231;5048;10389;7215672;23253051;2;0;38090;0;-1766187;-374990;0;6311606;0;0;2129542;71;0;0;6548;0;0;0;120;0;0;1433;0;0;0;0;0;0;0;681980;1;0;0;112272;270666;21686343;247895;1258616;3773473;17185;0;3828871;0;0;0;1119366;1822675;0;511321;0;0;0;336854;249274;147590758;0;0;75335;11415;0;0;-7;0;0;0;0;31327;512;17;370;0;462;0;0;53;0;0;0;0;0;0;1;200;0;0;0;0;0;0;0;1;13825;496;4;0;-121;0;0;0;868;778;0;0;0;56;563;1;1;0;12;0;0;1;0;0;0;0;0;13;0;0;50;0;133;0;0;361;0;0;0;0;18266;2;16778915;86649;18;3602;0;0;2733;4619;0;0;0;3919;3426;2874;1055;15;1;0;0;0;94;0;0
Республика Тыва;19652;368663;0;15581;0;0;0;0;0;0;2024004;40907;9018;21179;0;0;0;0;0;0;0;0;0;0;0;0;11215;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20775;0;0;17;17664;10498;350519;0;16340;95464;342;0;50040;0;0;18;10093;4804;0;39956;0;0;6;12824;6879;0;0;0;3170;331668;0;0;49293;0;0;0;0;4962;207;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2674;0;0;1724;1;115;0;0;-8472;1897;0;0;0;772;15;194;91;0;0;20;0;0;0;0;0
Удмуртская Республика;2034170;20729908;0;1070827;0;200;55969;6761;439;5819;13080058;239224;296867;31915382;7259;0;0;0;0;0;0;298083;0;0;0;395405;4138229;0;0;51039;0;0;-53724;0;-4086;0;0;138866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212262;0;0;0;42843;640;4019403;587222;265835;908348;2346;0;1464191;0;0;0;55739;370;0;110926;1;0;0;97268;145;48941428;0;0;17091;95;0;0;0;0;0;0;0;16265;1991;0;11;0;176;0;0;3;0;0;0;0;0;0;0;6;0;0;0;0;0;0;5;1;1;371;0;0;1189;0;0;0;210;0;0;0;0;0;59;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;12;0;0;0;0;13146;0;12516;55423;0;2342;7236;0;272;3082;0;0;0;920;190;448;688;0;1;340;0;0;0;0;0
Республика Хакасия;226495;4696014;0;12759;0;25941;2010;30900;0;201;4608808;171204;66084;955830;0;0;0;0;0;0;0;0;0;0;0;1437367;0;0;0;0;0;0;0;0;0;0;0;129180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53741;0;0;2;9318;1509;2134511;0;37289;302362;603;0;418472;0;0;171;22149;7524;0;95173;0;0;66;30221;4702;0;0;0;9028;521873;0;0;481385;0;0;0;0;14519;643;0;201;0;1;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;10;0;0;5;0;0;0;113;2;0;0;0;20;-19;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;16;0;3;0;0;34;0;0;0;0;596;0;13;1451;0;141;0;0;0;331;0;0;0;449;150;14;0;0;0;64;0;0;0;0;0
Чеченская Республика;30595;519892;0;32662;0;0;5;0;0;4;5224289;13462;448285;-1380740;0;0;0;19;0;1;0;11816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62260;0;0;14;42139;26042;1734315;74833;44321;509788;6;0;93711;0;0;2746;30068;1948;0;38828;0;0;1;44919;5077;718735;1289;0;4589;2;0;0;0;0;0;0;0;8209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;420;0;0;91;0;0;0;661;2;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;16;0;0;7;0;0;0;0;279;0;0;2344;2;17;0;0;0;1343;0;0;0;90;4;1;18;0;0;0;0;0;0;0;0
Чувашская Республика;480473;7198169;0;352212;0;6185;57095;58864;0;1021;7163474;76622;132478;13280756;0;-14747;0;0;0;0;0;0;0;0;0;1272239;1123359;0;0;0;0;0;0;0;-2235;0;0;107787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135353;0;0;0;32704;7839;2628520;184005;167681;752539;3099;0;445703;0;0;0;32505;20352;0;61611;0;0;0;108642;12406;0;0;0;22338;41;0;0;0;0;0;0;0;4502;124;0;34;0;0;0;0;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-114;0;0;0;29;0;0;0;241;5;0;0;0;1;84;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;22;0;0;0;0;60;0;41504;12650;0;1588;0;0;8;3840;16;0;0;2803;942;1243;587;26;0;315;0;0;1;8;9
Алтайский край;841143;12711638;0;669812;0;207;24280;22475;0;173;13642497;250737;151129;16965744;2914;0;0;0;0;1098;0;0;3;0;17711;4398634;3076037;63647;0;0;0;0;-3662;0;-1958;0;0;1475419;0;0;0;0;0;0;0;0;12;0;2190;0;0;0;0;0;0;0;613795;0;0;0;105640;17599;4544482;116819;369823;1868370;27149;0;1120569;0;0;0;256859;55926;0;276591;0;0;0;371515;18267;0;0;0;18356;366658;1;0;0;0;0;0;0;26489;2136;6;2749;0;17;0;0;19;0;0;0;4;0;0;0;5;0;-3;0;0;0;0;0;0;108;88;0;0;142;0;0;0;668;0;0;0;0;8;665;0;3;0;7;0;0;0;0;0;0;0;0;6;0;0;14;0;25;0;0;13;0;0;0;0;1432;0;127626;9765;60;410;0;0;56;3676;0;0;0;2685;625;308;78;0;0;0;0;0;0;0;0
Краснодарский край;4653094;45470288;0;3775324;0;2336212;169870;822303;0;94069;48288837;798549;1180410;59461589;8041;0;0;0;30656427;0;50517;0;18573;0;2536615;2280080;926821;9850;24591;0;0;0;-1830;0;909786;0;0;4036456;0;0;0;0;0;0;0;0;0;0;222;0;0;0;0;0;0;0;1209311;0;0;0;526363;331943;21501908;3990310;1068839;5937155;259083;0;3096257;0;0;0;844103;784203;0;1009963;0;5;0;1147296;519101;3850648;1853570;305621;112144;77460;0;0;0;0;0;0;0;223611;1023;2758;233;0;110;0;0;598;0;0;0;0;0;0;0;11;0;0;0;0;0;0;2;61;365;328;68;0;182;0;0;0;419;46;0;1;1;445;-374;21;40;0;9;0;0;0;0;0;0;0;0;36;0;0;16;0;335;0;0;-832;0;0;0;0;7327;1247;220440;52516;126;1971;2;0;1132;18209;0;0;0;5708;1797;1320;976;656;0;566;0;0;527;4;0
Красноярский край;5968205;49943144;154786;29791997;0;7833;58993;642975;0;17906;39056066;402174;1301159;58793651;5688;-14;0;0;0;9975926;-3118;0;8808070;0;0;372480;1171192;387;0;15235;0;0;-823080;0;871354;0;0;475624;612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;630408;0;0;617;72053;57781;19392785;0;550921;2108395;4836;0;910519;0;0;2389;178750;67802;0;241091;0;0;686;304083;67650;105541067;209117;57960;590894;14352125;0;0;556546;0;0;0;0;94362;25097;40;2623;0;-1;0;0;-21;0;0;0;2;0;0;0;3;0;0;0;0;0;0;23;0;170;-840;1;0;168;0;0;0;1029;15;0;9;0;9;0;147;0;0;11;0;0;0;0;0;0;0;0;7;0;0;34;0;55;0;0;218;0;0;0;0;224375;0;1704;17851;2;2489;22667;30;329;7343;0;0;0;7623;529;1562;190;224;0;75;0;0;0;4;9
Приморский край;1462528;16544501;0;1848533;0;61213;49901;132178;0;38929;25921525;346110;794026;10634230;0;0;0;8;0;7;0;612184;0;0;2;1683960;2325719;666;0;0;0;0;0;0;-136631;0;0;226612;0;0;0;0;0;0;0;0;0;0;1139;0;0;0;0;0;0;0;333714;0;0;107;39828;21770;7751627;1419697;317224;1726294;129427;0;2028145;0;0;2868;127564;101252;0;266738;0;0;295;51134;22862;0;0;0;56242;196408;0;0;115632;0;0;0;0;14880;10240;391527;362;0;95;0;0;14;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;305;229;1;0;234;0;0;21;11;64;1;1;0;24;453;9;7;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;15;0;0;15;0;0;0;0;1905;0;1131793;10402;0;2270;0;0;545;7470;0;0;0;1333;351;674;394;8683;0;532;0;0;274;3;20
Ставропольский край;588014;11203011;0;1897804;0;4108;16702;37036;0;2204;16499782;384924;222397;21479353;13369;0;0;4082;17595;141;-4322761;0;21;0;849507;745076;5142057;1544;0;0;0;0;0;0;0;0;0;780345;0;0;0;0;0;0;0;0;11;0;-4;0;0;0;0;0;0;0;486663;465;0;0;138855;86894;6087173;1477533;329748;1556310;17192;0;937275;0;0;0;300424;186274;0;339701;298;0;0;489719;85283;4358345;143376;6354;22995;42455;0;0;0;0;0;0;0;49565;88;0;48;0;20;0;0;23;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;119;51;1;0;82;0;0;0;112;17;0;0;0;2;163;5;0;0;7;0;0;0;0;0;0;0;0;3;0;0;7;0;14;0;0;58;0;0;0;0;15177;0;150;23777;1;1077;0;0;749;9849;28;0;0;563;1690;112;517;247;0;0;0;0;0;0;0
Хабаровский край;1086489;15207871;0;896044;0;3153;19364;59622;0;359;22067244;235351;156170;15983039;0;0;0;7;0;10244301;451;0;7691728;0;0;3620824;1865517;5871;0;0;0;0;-32952;0;898315;0;0;108585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;356698;0;0;2;43233;79849;9930965;1717773;335512;1355083;1683;0;892542;0;0;34316;79419;73000;0;165285;0;0;81;41038;15030;0;0;0;27010;3335500;0;0;115660;0;0;0;0;20499;14806;188316;39474;0;2;0;0;3;0;0;0;0;0;0;0;47;0;0;0;0;0;0;4;11;2;-3;2;0;158;0;0;54;0;7;0;0;0;2;62;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;6;0;0;0;0;37807;64;0;5489;5;557;0;0;40;4136;0;0;0;2439;0;574;15;299;0;0;0;0;0;0;0
Амурская область;602227;8707185;0;1779739;0;221312;3932;0;0;161040;10013344;215488;89099;505978;0;0;0;0;0;0;0;0;0;0;0;7804;0;219;0;0;0;0;0;0;0;0;0;307027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255704;0;0;3;26850;15302;6488026;0;200151;841165;526;0;442366;0;0;828;159086;27033;0;193850;0;0;41;62802;10018;0;0;0;34342;2790635;0;0;61912;0;0;0;0;10534;7008;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;7;16;5;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12176;0;27;15000;1;1378;0;0;250;874;0;0;0;1580;645;30;75;0;0;0;0;0;0;0;0
Архангельская область;562739;7681515;0;964491;0;21690;77031;129018;0;4;14916899;289665;159459;3569307;0;0;0;0;0;0;0;0;0;0;0;67970;3240286;0;0;0;0;0;-127656;0;-45065;0;0;141411;0;0;0;0;0;0;0;0;0;0;1143;0;0;0;0;0;0;0;111491;1;0;0;13095;17276;4088408;1627892;242929;966292;1348;0;477124;0;0;0;56805;79274;0;68812;0;0;0;80017;53807;0;0;0;36133;28232;0;2056994;0;0;0;0;0;7547;7069;64553;223;0;7;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;50;8;39;0;0;16;0;0;0;33;12;0;0;0;4;0;26;0;0;3;0;0;0;0;0;0;0;0;1;0;0;-1;0;12;0;0;148;0;0;0;0;2785;0;0;6617;0;534;0;1;964;2021;0;0;0;3040;145;1080;147;87;0;802;0;0;0;8;0
Астраханская область;359974;3599412;0;3490367;0;103875;1864;40000;1;20219;7377391;112326;126277;9859737;0;0;0;0;0;8922215;-170893;0;3121755;0;0;1782;70350;0;0;0;0;0;0;0;-7773;0;0;82619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142915;0;0;0;28856;11268;2230655;1663094;130851;726132;4211;0;237852;0;0;0;329839;131429;0;81626;0;-3;0;121448;29444;4650594;10460499;23219454;6525;18075;0;0;0;0;0;0;0;533;3;2609;1782;0;8;0;0;10;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;12;8;0;0;10;0;0;0;416;7;0;0;0;0;121;0;0;0;15;0;0;2;0;0;0;0;0;1;0;0;2;0;3;0;0;11;0;0;0;0;3533;16046;0;5646;10;480;0;0;2;3082;0;0;0;498;260;0;0;191;0;0;0;0;0;0;0
Белгородская область;1003398;12044012;0;1857263;0;8317;26052;72040;0;15315;13919175;137268;3309896;12183375;14102;0;0;0;21356;0;3299;0;15112;0;0;83963;4946276;182;0;0;0;0;0;0;0;0;0;553163;0;0;0;0;0;0;0;0;0;0;530;0;0;0;0;0;0;0;382793;0;0;0;162004;126142;6957798;25541;387679;1417808;4130;0;2586074;0;0;0;291162;325556;0;412778;0;0;0;254367;126447;0;0;0;191396;717462;0;0;0;0;0;0;0;42369;384;0;0;0;7;0;0;3;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;179;13;0;0;67;0;0;0;85;10;0;1;0;28;25;1;-8;0;9;0;0;0;0;0;0;0;0;0;0;0;5;0;10;0;0;0;0;0;0;0;90;0;110570;19234;6;951;0;0;15;3828;0;0;0;848;2379;440;511;100;0;74;0;0;0;0;0
Брянская область;325959;4501606;0;1031949;0;5968;1728;134;0;0;7754468;120424;97819;18957885;43084;0;0;0;1157760;0;0;0;0;0;0;667728;848594;23941;0;0;0;0;0;0;0;0;0;3157559;0;0;0;71;0;0;0;0;0;0;17996;0;138;0;0;0;0;0;170494;0;0;0;30653;36330;2617997;47207;206636;765670;8158;0;339706;0;0;0;81573;121680;0;106006;0;0;0;96270;79015;0;0;0;7524;15739;0;0;0;0;0;0;0;17706;482;0;0;0;5;0;0;29;0;0;0;0;0;0;0;2;0;15;0;0;0;0;35;0;1;83;0;0;3;0;0;0;30;38;0;0;0;43;16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9;0;3;0;0;-1;0;0;0;0;124;0;1473357;3093;0;954;0;0;94;1589;0;0;0;2666;500;274;345;30;0;646;0;0;2;0;0
Владимирская область;1133374;11874768;0;422979;0;342390;367771;432897;47;1152;11612693;202777;304468;21231635;0;0;0;0;0;0;0;0;0;0;0;258015;739423;230440;0;0;0;0;0;0;0;0;0;397141;0;0;0;0;0;0;0;0;0;0;6929;0;52;0;0;0;0;0;94562;0;0;0;34163;51251;3279379;247041;220501;1420348;2441;0;1032404;0;0;0;309852;430124;0;227284;0;0;0;345398;229016;0;0;0;66547;4390;0;0;0;0;0;0;0;31791;1447;0;0;0;4;0;0;254;0;0;0;0;0;0;0;42;0;0;0;0;0;0;1;0;-79;-342;0;0;4;0;0;0;2953;-52;0;0;0;70;538;56;0;0;0;0;0;1;0;0;0;0;0;0;0;0;66;0;0;0;0;97;0;0;0;0;81;0;28827;3689;17;197;0;0;722;1633;0;0;0;4357;6;114;10;38;0;0;0;0;6;0;10
Волгоградская область;1055243;14673062;0;4002305;0;2666;21465;532248;0;15225;18227651;284600;626142;11381315;0;0;0;0;19734445;14845313;-92993;0;4888090;229010;47;2632411;45463;24039;0;0;0;0;0;0;118582;0;0;1274880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;640167;0;0;0;29990;38649;6783321;552764;324987;1738744;5192;0;2263854;0;0;0;257565;126746;0;256923;0;0;0;355531;111159;10213230;224109;296569;23989;56500;0;0;0;0;0;0;0;11966;373;0;618;0;4;0;0;-2;4703;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;12224;2164;0;0;22989;0;0;0;-65;104;0;0;0;16;326;82;-3;0;0;0;0;0;0;0;0;0;0;19;0;0;-1;0;39;0;0;-36;0;0;0;0;26477;0;144312;41056;12;2873;14180;50;-12;3921;0;0;0;3541;47;1643;346;57;75;315;0;0;0;0;5
Вологодская область;840664;9274664;786614;4632333;0;290742;209487;1455280;3;56827;11406943;404417;134766;5004943;0;0;0;0;0;0;0;0;0;0;0;47176;6623152;0;0;0;0;0;-36958;0;-4786;0;0;1040902;0;0;0;0;0;0;0;0;0;0;2530;0;40;0;0;0;0;0;574369;11;0;0;136972;128678;5780924;3261731;255169;1248285;1982;0;1049619;0;0;0;125275;43119;0;96897;0;0;0;121084;30576;0;0;0;15143;15454;0;0;0;0;0;0;0;4716;6552;0;288;0;12;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;38;15;0;0;14;0;0;0;9;3;0;0;0;-1;37;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;-2;0;4;0;0;1;0;0;0;0;513;0;186485;6218;0;804;0;0;397;1610;0;0;0;47;2;365;53;22;0;631;0;0;0;0;0
Воронежская область;1137156;17492251;0;1556407;0;81558;48942;4188;0;8687;17924452;433624;240411;16476467;1644;0;0;42;0;0;0;0;0;0;0;2227363;447340;698;0;0;0;0;0;0;0;0;0;1450438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355885;0;0;0;95865;107100;7784438;429743;422065;2531083;6359;0;1399831;0;0;0;481162;555433;0;273581;0;0;0;511363;207757;0;0;0;140088;22174;0;0;0;0;0;0;0;60362;750;0;0;0;69;0;0;426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;515;1280;0;0;55;0;0;0;334;34;0;0;0;58;495;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;4;0;2;0;0;1;0;0;0;0;507;0;15750;90918;5;677;0;0;813;1978;0;0;0;299;7305;356;543;0;0;0;0;0;1;0;0
Ивановская область;220434;3696810;0;421887;0;1301;15423;11667;0;2545;5875976;156338;84170;5942496;8380;0;0;0;0;2106;14;0;716;24293;0;1316161;374612;0;0;0;0;0;0;0;0;0;0;563630;0;0;0;0;0;0;0;0;0;0;6409;0;43;0;0;0;0;0;110536;0;0;0;7243;18075;1915903;275917;140072;715695;1617;0;754563;0;0;0;81154;62504;0;160327;0;0;0;77603;32226;0;0;0;18157;38;0;0;0;0;0;0;0;10241;622;0;11;0;61;0;0;-2;0;0;0;1;0;0;0;62;0;0;0;0;0;0;2;0;223;149;0;0;199;0;0;2110;0;0;0;0;0;127;405;111;0;0;21;0;0;0;0;0;0;0;0;6;0;0;41;0;45;0;0;437;0;0;0;0;3;0;0;8768;2;396;0;0;94;992;0;0;0;457;0;146;54;-7;0;13;0;0;10;0;0
Иркутская область;4169532;41981247;0;2460230;0;12826;68664;96663;10;220;27736243;393810;272302;46675351;0;-1908;0;0;0;6128084;383352;0;6693700;125840;0;1503482;0;0;0;0;0;0;-186454;0;501825;0;0;439790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;924113;0;0;-647;75191;168886;13054564;320155;539958;2067691;1743;0;1684029;0;0;1644;157362;245825;0;329733;0;0;202;204508;120200;65417865;3620;44649;86113;3436076;0;0;260747;0;0;0;0;39481;10677;0;284;0;6;0;0;0;0;0;0;0;0;0;0;0;0;-2;0;0;0;0;0;0;33;58;0;0;0;0;0;0;918;13;0;4;0;12;807;1;0;0;5;0;0;0;0;0;0;0;0;3;0;0;5;0;37;0;0;14;0;0;0;0;296866;0;5;83088;72;1558;0;0;570;3919;0;0;0;1458;1;24;20;0;0;0;0;0;0;0;60
Калининградская область;476442;6667688;0;520396;0;29423;188181;553381;280;21761;9587069;135452;205897;46264493;11441;0;0;0;8866367;6;-62;1019647;0;7;1912;329306;1897265;0;2290;0;0;0;0;0;-700;0;0;763183;8160;0;0;0;0;0;0;0;64;0;18119;0;188;0;0;0;0;0;203768;0;0;0;2402;12644;3376698;207747;485961;1154521;11722;0;666119;0;0;0;14527;47513;0;216844;5;0;0;19643;21045;1619706;0;0;58560;203952;1981205;0;0;0;0;0;0;15633;1276;7774;34;0;60;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233;474;0;0;221;0;0;0;0;44;0;0;0;24;270;27;4;0;22;0;0;0;0;0;0;0;0;12;0;0;0;0;90;0;0;1;0;0;0;0;3032;608;4743798;10068;43;207;0;0;129;1634;1;0;0;1173;390;200;43;0;0;0;0;0;0;0;0
Калужская область;688230;8612549;0;168356;0;243594;34222;76409;0;13004;11218809;77073;382227;18320376;0;0;0;0;3483592;0;0;1730382;0;82069;7704;5442374;75721;0;0;0;0;0;0;0;0;0;0;744088;0;0;0;0;0;0;6;0;0;0;775;0;0;0;0;0;0;0;107052;0;0;0;43038;40193;3635892;240748;133319;910444;2131;59;523386;0;0;0;289332;260394;0;126103;0;0;0;392715;102616;0;0;0;126266;39352;0;0;0;0;0;0;0;22845;998;0;0;0;9;0;0;5;0;0;0;1;0;0;0;-114;0;0;0;0;0;0;2;0;-5408;-5941;0;0;-2085;0;0;0;841;70;0;0;0;15;0;-162;0;0;0;0;0;1;0;0;0;0;0;-12;0;0;15;0;-505;0;0;215;0;0;0;0;278;0;7073960;4473;3;134;0;0;0;868;0;0;0;534;21;21;25;6;0;0;0;0;5;0;16
Камчатский край;299363;3401539;0;69774;0;15043;10205;1;0;6498;10146097;99890;78171;3664866;0;0;0;0;0;0;0;0;0;0;0;189689;0;0;0;0;0;0;-18159;0;-3247;0;0;8165;0;0;0;0;0;0;0;0;0;0;907;0;0;0;0;0;0;0;72186;0;0;979;9582;14593;1259897;674394;84539;623521;441;0;181718;0;0;2426;38296;25271;0;37225;0;0;2909;10569;10652;0;31468;7480;20845;573268;0;0;371;0;0;0;0;23187;6076;517510;28419;0;81;0;0;1;0;0;0;0;0;0;0;0;0;-60;0;0;0;0;0;0;0;443;0;0;0;0;0;5;9;0;0;1;0;150;91;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;116;0;0;2;0;0;0;0;3775;0;0;2465;0;55;-21;0;0;782;0;0;0;220;106;0;0;35;0;-5;0;0;0;0;0
