"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67"
"Псковская область","2610","0","0","62","0","24391","316","18","2501","2598","678","432","246","16","67","6","6","780","65","582","3915","515","688","2960","3500","81","70","16039","86","24","0","0","3","6","14","5","9","3281","8444","5488","6732","13255","2385","4","2","14","3464","1009","1100","16910","3727","9303","92457","61","235","165190","93","397","0","0","33","165","2","73","15","0","0","9536"
"Ростовская область","15704","0","0","1234","0","157692","1672","79","14260","21030","6264","4228","2394","195","113","23","83","6158","1483","4699","20676","2877","5016","16809","18726","35","40","106106","488","172","11","1","4","14","158","336","75","10896","34235","44212","62334","129815","31861","5","3","348","14455","9770","5493","59628","13401","37504","305436","33","179","727537","634","4016","101","60","32","540","2010","21468","3110","0","0","33200"
"Рязанская область","4925","0","0","301","0","46262","147","17","3702","4390","1499","1213","604","48","58","7","18","1891","166","900","6247","884","1391","4232","5781","141","144","27201","66","30","0","0","2","2","15","3","14","2766","9756","10776","18151","33013","7979","3","1","76","6735","2374","1609","22836","5428","17865","122222","124","594","253613","142","1252","0","0","41","150","22","125","1403","0","0","41104"
"Самарская область","14974","0","0","51","0","133597","1021","46","17731","18617","5076","4292","2342","147","113","47","174","5297","1251","3139","18188","2494","5207","16707","17252","395","587","100668","400","325","2","4","10","52","15","62","45","21010","56507","33805","64081","124918","26427","15","27","686","19407","23598","5795","83030","18857","71879","472613","359","2321","996228","828","7286","3","1167","138","3820","208","710","509","0","0","18789"
"Саратовская область","8268","0","0","2","0","83232","497","13","8541","8822","2501","2172","1028","56","32","11","35","3775","785","2169","12315","1638","3572","8410","12010","198","291","55806","218","137","0","4","5","15","15","7","13","9265","30211","19933","33207","53517","9240","1","14","151","18146","15828","3874","52997","12589","49812","241357","179","1217","540900","478","6134","0","546","88","1203","17","100","542","0","0","132"
"Сахалинская область","2484","0","0","59","0","29769","3342","26","872","2612","743","617","587","19","17","5","6","1510","546","454","3256","773","1338","4104","7513","384","384","17438","563","93","3","4","5","6","42","259","14","636","4572","2998","7000","19917","2063","1","1","6","8869","12882","918","15298","6153","18929","115136","335","1551","213314","1090","2176","5","1476","48","328","155","7559","1324","0","0","6250"
"Свердловская область","19367","0","0","8733","0","165339","584","49","0","24314","8126","6784","4726","333","182","76","262","3273","986","2922","16723","2506","5363","13287","22323","521","721","89960","203","88","2","0","24","51","8","25","35","0","24329","41188","65940","167229","36958","10","17","623","12820","15254","1830","22523","5750","22096","242754","302","1954","622408","269","1121","0","0","129","1792","5","288","4493","0","0","258933"
"Смоленская область","5245","0","0","53","0","43310","150","6","4609","5158","1448","1075","552","21","46","5","22","1451","258","780","5774","848","1001","11813","5202","167","143","34834","83","18","2","0","4","3","10","0","5","3483","11178","9082","14772","27406","3739","2","1","45","6094","3408","1250","20385","4919","9717","229045","148","551","340788","269","807","0","0","40","139","20","0","448","0","0","8722"
"Тамбовская область","3371","0","0","10","0","42513","42","8","4276","4057","1027","783","400","25","30","7","7","1731","103","990","6055","681","1937","4362","5204","36","96","26380","23","11","0","0","2","3","0","0","8","6403","13366","8417","11911","21780","4810","3","4","29","9743","2356","2013","28263","5467","26583","122714","30","411","259052","82","358","0","0","40","375","0","0","140","0","0","2796"
"Тверская область","4938","0","0","784","0","46538","601","120","3468","4493","1514","1084","514","25","138","16","38","1312","694","1001","6954","1082","1353","4330","8667","476","354","27990","202","120","6","0","18","14","38","74","98","2508","10308","7162","16334","25868","3966","3","2","28","8158","16196","2001","32026","8282","18936","125878","404","1220","273688","80","2515","7","0","183","649","10","54","8162","0","0","16141"
"Томская область","4073","0","0","6","0","45443","764","20","4084","8345","1469","1092","738","29","35","3","14","2139","588","721","5785","706","2622","5412","6940","484","456","33749","272","57","0","0","7","11","78","28","20","2553","12381","6548","10349","26840","3240","2","0","14","7296","5902","1161","20324","4426","31024","127557","255","1284","256376","233","621","0","0","38","366","157","311","4839","0","0","136"
"Тульская область","5130","0","0","446","0","50535","118","8","3792","5112","2210","1506","788","32","64","7","28","1778","336","971","6699","1005","1510","5367","8210","61","149","31158","37","7","0","0","1","3","26","2","8","3261","15908","17353","21759","36603","4133","5","2","73","8118","6044","1905","30673","7910","21160","154367","54","562","325041","70","165","0","0","9","150","32","67","84","0","0","28731"
"Тюменская область","7139","0","0","1131","0","81476","787","39","3840","5867","2391","2181","1749","111","54","20","50","1757","878","1013","8777","1505","3084","10143","14073","847","393","43307","262","92","0","0","6","6","70","19","17","2766","19568","14326","23715","63724","12468","3","4","113","6459","8535","2001","39843","11593","42666","283689","430","898","519005","312","913","0","0","43","193","78","209","4483","0","0","109133"
"Ульяновская область","4463","0","0","109","0","35185","143","301","3034","4288","1152","975","513","29","22","3","5","2320","118","744","5429","604","1138","4327","4131","72","116","24672","58","37","5","0","1","2","3","0","268","2779","14434","8260","13376","21847","3742","1","1","10","7845","1557","1495","24899","4134","14999","127878","53","329","243513","60","1003","3","0","4","76","16","0","12417","0","0","31405"
"Челябинская область","15030","0","0","167","0","114147","714","7","10643","13713","5296","4660","2422","141","95","31","128","4018","1025","2661","15811","2297","4253","14406","17143","298","322","81873","206","43","5","0","15","32","201","19","7","4089","20299","42110","71927","126904","24414","3","3","295","23365","26582","5398","71502","17466","56512","415483","261","1372","882091","229","841","4","0","139","1348","135","70","2209","0","0","21034"
"Ярославская область","6010","0","0","163","0","45715","276","2","3804","5693","1910","1501","739","57","58","12","22","1756","1158","920","7597","1067","1286","4313","6995","347","201","31836","115","62","3","1","6","6","3","21","2","4337","18029","13833","21622","40733","8914","5","3","54","9549","19452","1831","32964","7321","16706","109171","298","742","295625","254","2043","5","973","72","358","3","229","119","0","0","11734"
"Г.Москва","80450","0","1","1545","0","838450","2662","1232","55503","238933","61318","39514","31691","3696","230","174","1254","13330","5119","14927","110545","21132","12609","94793","82191","423","866","701054","757","657","40","8","34","136","371","365","913","51505","805355","463761","572407","1989725","634511","19","60","5251","37588","69815","16665","322550","119425","142846","2198459","347","3953","6795456","3263","38987","227","3540","515","12493","7195","17440","1067540","0","Х","1210440"
"Г.Санкт-Петербург","39032","0","2","47","0","289824","3924","251","19743","57952","19883","17879","10542","908","98","74","610","6913","7301","5490","38871","7128","6540","39654","37924","304","542","235724","759","577","113","33","18","64","800","577","243","33710","214757","155616","265088","597548","146457","11","33","2088","44159","121446","10434","176594","52452","76027","924906","258","2077","2674881","1547","34599","104","27627","352","5863","40713","108131","61090","0","202","33341"
