"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67"
"Ставропольский край","7846","0","0","24","0","102290","163","32","10822","11414","3006","2139","1499","109","86","22","30","4799","464","3229","13684","1690","3859","10251","10079","30","69","66994","87","21","2","0","4","11","4","0","32","5685","18878","17233","30985","65531","15310","5","5","49","13866","6370","2561","47191","10693","41271","252050","16","210","512379","104","282","8","0","31","343","3","0","1367","0","0","1662"
"Хабаровский край","5029","0","0","42","0","49995","3511","67","1687","5189","1709","1185","1272","53","31","7","19","1491","1055","742","6661","1601","2379","9087","10797","373","303","34115","733","264","0","3","3","5","207","243","47","1121","8375","6959","12563","53672","8129","2","3","51","9104","26705","1466","30469","12098","30197","219272","143","774","412056","423","6395","0","107","26","263","2047","10996","3709","0","0","3745"
"Забайкальский край","3309","0","0","5","0","36284","177","8","2538","3784","548","384","439","22","73","4","3","2358","570","693","5304","854","1936","4218","8149","38","111","23706","100","5","0","0","5","3","0","3","3","1385","4350","1718","2580","9610","1570","3","1","3","5908","4388","724","11804","3441","13106","73476","10","171","132497","41","34","0","0","27","70","0","1","84","0","0","16"
"Амурская область","3262","0","0","1","0","40573","381","30","2155","3348","828","518","582","36","30","3","3","1914","620","443","4689","960","2044","5289","10061","112","37","23427","203","76","0","0","0","5","19","3","30","1855","5901","3966","7904","30665","5763","2","1","5","6689","9614","515","13260","4478","28363","149201","97","178","262419","287","1625","0","0","0","480","37","35","3097","0","0","Х"
"Архангельская область","3495","0","0","14","0","34016","2110","21","2372","3359","905","627","300","9","52","6","14","1936","396","613","5790","709","1055","4321","7141","492","365","22452","413","135","18","0","3","4","369","455","3","2412","9456","7346","9806","14749","1881","4","2","53","9070","5633","1217","26084","5598","14694","125167","321","1041","231291","383","2205","26","0","40","422","11500","11907","486","0","0","63"
"Астраханская область","2781","0","0","15","0","22710","4727","3","3050","3758","853","513","365","14","81","7","6","1434","468","694","3170","322","844","1806","2502","14","6","17371","1810","400","5","1","4","14","1259","427","0","3264","11057","6536","7720","17235","2093","5","2","29","4889","5762","796","11509","1993","9272","39310","9","19","119378","2365","8271","7","609","31","707","10055","19793","0","0","0","179"
"Белгородская область","7028","0","0","86","0","68790","64","6","8126","7927","2571","1948","919","61","45","12","29","3693","726","1347","9071","1512","2492","10642","10119","32","61","51059","31","18","0","0","0","6","0","2","6","8914","21894","19981","29298","47305","8409","2","3","89","22127","13771","2759","41230","11353","33947","304319","27","259","556990","105","831","0","0","0","448","0","66","843","0","0","13122"
"Брянская область","4136","0","0","6","0","41122","114","10","4274","4424","1118","767","460","38","99","6","13","1993","446","683","6054","667","1116","6592","4873","45","35","28712","54","19","0","0","1","0","30","5","10","2916","8972","7341","11679","22396","5006","4","1","27","9537","6321","831","14032","4102","11777","140754","38","122","240668","183","496","0","0","24","0","46","147","682","0","0","20"
"Владимирская область","5157","0","0","103","0","42437","117","13","3652","5608","1640","1213","633","33","89","6","24","1587","490","934","6742","1059","1062","4353","6825","154","94","29088","47","13","1","0","1","3","14","2","13","5466","18153","10477","18436","30640","4714","2","1","35","7578","8664","1886","31085","7752","13388","121999","135","369","275561","44","478","15","0","23","233","27","61","3954","0","0","8194"
"Волгоградская область","7437","0","0","17","0","77711","737","58","8291","10309","2375","1595","818","36","101","21","44","3043","793","2035","10930","1145","3139","5950","9856","46","105","50589","212","74","3","0","1","6","160","93","58","5728","22653","15381","24731","42369","6646","7","5","75","8532","9538","2552","41052","9022","41910","148057","23","200","371613","197","2075","1","0","11","366","983","2777","1404","0","0","1265"
"Вологодская область","5720","0","0","104","0","51215","431","33","3724","5718","1720","1335","579","25","80","7","22","1512","727","736","7127","986","1568","5657","9956","526","335","31498","213","67","4","1","5","10","13","10","6","4039","21325","13611","20129","27728","3341","8","2","52","7104","10627","1436","32062","7642","21754","167353","446","1234","334870","114","1468","6","30","36","425","12","110","981","0","0","14398"
"Воронежская область","8680","0","0","2091","0","106944","308","45","9428","10999","3429","2867","1537","112","53","8","49","1980","481","1627","10492","2179","2331","12669","10927","105","202","60126","78","59","0","0","3","26","5","2","45","14220","36412","27535","43375","83209","16821","3","1","217","11818","11792","3192","47635","15710","28286","341161","84","747","664565","80","1238","0","0","14","580","4","64","14380","0","0","148123"
"Ивановская область","3702","0","0","198","0","25278","163","0","2382","3089","1092","857","455","31","6","4","15","976","52","564","4076","578","658","2038","3688","89","84","16840","59","19","5","0","2","12","1","0","0","1779","6756","5956","9876","18946","3704","0","1","16","5984","478","913","10181","2288","6041","37627","59","249","106843","65","347","1","0","7","580","1","0","0","0","0","3197"
"Иркутская область","9907","0","0","46","0","97661","1569","94","5579","9468","2695","2393","1935","128","112","24","69","5442","1553","1245","13682","2755","5290","15569","22097","554","739","67810","389","269","5","3","17","26","142","292","42","3363","13102","14292","24487","68839","14949","4","3","64","13186","15043","1533","40532","15246","56979","459681","197","2221","726355","100","2722","17","142","76","557","759","3643","5381","0","0","1264"
"Калининградская область","6344","0","0","16","0","38966","684","29","2604","5042","1577","1277","611","40","22","5","34","1316","804","1302","4686","881","734","7914","5557","9","22","28809","166","82","11","2","1","4","18","37","8","508","8301","8571","16783","33242","7022","1","1","64","4320","20367","2485","21871","6785","10151","257218","7","74","390665","468","2621","37","1157","17","171","1008","4859","285","0","0","5464"
"Калужская область","4361","0","0","748","0","45186","76","3","3446","4927","1706","1265","693","32","47","4","56","1232","480","696","6412","749","986","6758","6011","59","59","29457","9","7","1","1","1","2","2","0","3","2306","11988","13100","18758","35036","5833","6","2","207","5308","8075","595","14041","2717","7213","129028","51","180","248379","25","258","4","1040","23","165","170","0","339","0","0","15817"
"Камчатский край","1622","0","0","18","0","15852","6617","66","547","1639","390","235","338","15","5","6","9","527","366","198","1795","375","931","1642","4129","401","461","9003","663","74","1","1","1","13","25","68","11","432","3706","1881","2637","15593","3073","0","3","16","2945","8854","370","8842","3037","13268","43326","286","1913","104909","652","3332","7","1217","10","360","6524","9379","1579","0","0","2143"
"Кемеровская область - Кузбасс","7028","0","0","506","0","80404","309","25","5202","8259","2923","2257","1540","55","64","8","35","3281","2486","959","9112","1491","2692","8538","19183","313","554","48847","151","56","1","0","8","14","15","31","23","2790","13333","21165","31061","69242","9132","4","2","100","9832","28772","1980","41891","11387","37217","237717","229","1998","506494","64","199","1","0","35","465","7","95","744","0","0","26303"
