GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158
   Республика Адыгея;27572242;27541960;2342;2770938;2770350;27703504;320;26752;26022;286237;10;1008;19102290;19086059;95430101;2206;0;498190;505315;3031890;99;0;0;0;0;0;0;0;0;48626;48626;243129;43;4331443;4317667;27912020;1197;669089;666831;531;0;0;0;793008;786925;780;12106;10205;148;0;0;0;570;570;11;472;0;0;0;0;0;22859883;22885183;2212;17293673;17334411;2183;624336;623540;117;13397;14285;24;649292;652887;471;47931;47931;35;4224843;4207619;1141;6411;4509;21;0;0;0;0;0;0;81433;81433;21;5389257;5339646;2374;0;0;0;737366;745709;76;26702;26702;3;1828222;0;5011367;1002274;317436;63488;48238;890548;3110;622;0;0;0;622;0;0;444377;88875;8624;1725;6823;80327;0;0;0;0;5455744;1091149;326060;65213;55061;970875;402988;80597;4;1;0;80596;234;4;1;0;233;1;0;147;403135;5430;0;1;0;1828222;81423
   Республика Башкортостан;863122468;859251333;44086;32489066;32464007;324611432;3984;3962;3961;43579;25;619029;593588742;589941859;2949724380;42705;1;5263039;5244820;31468923;752;7615;7988;57099;24;544;544;2720;1;875556;858561;4292809;283;190758895;190994720;1167079516;19724;36129266;35964441;9561;386295;373418;84;39523408;39369065;13906;1031043;1019390;5033;214;214;3;1387;1386;39;371660;339575;31;1256;1256;11;807845915;804216072;42374;578346171;574961016;42083;6845342;6819492;807;2044168;2044074;366;41847906;41800449;9134;979414;975763;278;176844032;176671770;18167;923110;918965;558;20543;21881;6;3917;348;7;17064079;17064613;205;88660370;88193783;47169;0;0;0;48923872;48787059;584;22951131;23018432;100;637983377;5;71375702;14275142;24962031;4992401;1441223;7841518;164978;32996;39528;7906;250;24840;23;0;118477804;23695559;94703252;18940650;14619;4740290;0;0;0;0;189853506;37970701;119665283;23933051;1455842;12581808;93299598;18659917;649920;129983;19455;18510479;137339;47039;9408;14144;113787;25;0;3325624;96625222;117219;89;25;0;637983377;17023918
   Республика Бурятия;56047872;55984816;3612;5578280;5576524;55764768;709;-139;0;4;2;63;35543293;35496270;177484086;3349;0;95050;95536;572952;64;0;0;7;0;11;11;53;1;111478;111478;557392;36;12233797;12242633;74405946;1246;1910629;1900613;633;334248;387410;5;2486046;2462310;1154;138153;137858;476;0;0;0;440;186;10;7385;2423;3;0;0;0;54077967;53937415;3436;39168833;39120428;3391;817547;817239;107;103384;103384;25;3621613;3556695;570;109691;109691;35;10065002;10052285;1137;191839;177695;69;0;0;0;1504;1504;1;3948670;3966759;157;7894417;7838604;3741;0;0;0;9713696;9604545;336;240637;240637;7;131170983;0;14018289;2803657;3218936;643787;358017;1801853;72058;14412;1110;222;1110;13080;6;0;2088819;417764;3958;792;204;416768;0;0;0;0;16107108;3221421;3222894;644579;358221;2218621;1785634;357127;13485;2698;195;354234;0;0;0;0;0;0;0;435803;2221437;0;0;0;0;131170983;3961206
   Республика Алтай;26808304;26764769;1099;2880256;2877613;28776153;170;54;54;594;2;91;17569642;17558331;87804402;1046;0;198817;198817;1192900;41;0;0;6377;0;0;0;0;0;186;186;930;4;4774087;4773082;32926238;462;1263337;1259750;226;0;0;0;1380803;1352226;375;19014;19002;64;0;0;0;88;88;5;2587;2587;3;0;0;0;25238995;25243424;1020;19079391;19088664;1015;79544;79544;13;73545;73545;12;1778235;1776692;207;186;186;4;4221143;4217840;421;6952;6952;16;0;0;0;526;526;1;199645;199645;27;3369498;3324062;1073;0;0;0;1986797;1980855;63;0;0;0;10354471;0;1464722;292942;133204;26641;8052;258249;0;0;0;0;0;0;0;0;1277848;255569;170925;34185;2242;219142;0;0;0;0;2742570;548511;304129;60826;10294;477391;299482;59897;3569;714;26;59157;0;0;0;0;0;0;0;363;299845;0;0;0;0;10354471;199645
   Республика Дагестан;45340495;44971812;5675;3405974;3286477;32864774;604;28152;28213;310344;15;-4382;34909885;34745607;173728029;5328;-1151;238650;236345;1418069;97;8108;6334;43813;12;46;46;230;2;32129;32126;160632;32;5151276;5107882;31227457;1632;1421966;1387144;959;0;0;0;1579944;1532645;1312;26156;25722;88;0;0;0;0;0;0;289;273;1;0;0;0;38585618;38401210;5325;31587853;31470404;5248;631190;645179;203;159533;159074;48;1657155;1603972;1048;27602;27599;31;4512526;4485206;1316;17420;17439;27;0;0;0;0;0;0;31749;34419;22;7649071;7458869;5540;0;0;0;905244;901128;90;2354;2354;2;7856035;0;11018796;2203758;3392842;678569;123025;1402164;168873;33775;671474;134295;54;-100574;14;0;2378480;475697;4792;958;265;474474;0;0;0;0;13397276;2679455;3397634;679527;123290;1876638;1658227;331646;372658;74532;61905;195209;27957;12844;2569;500;24888;29;0;31220;1689447;16737;0;5;0;7856035;34419
   Республика Ингушетия;9188053;8707663;1040;521936;522997;5229975;57;22;22;240;4;12;7533744;7129291;35647731;981;0;158434;157278;943670;21;337;337;1695;1;832;832;1308;3;1180;1180;5899;2;671772;596317;3577898;158;288940;282278;126;0;0;0;300955;293406;162;2938;2938;14;0;0;0;2556;2556;3;0;0;0;0;0;0;8264967;7773284;995;7397762;6944625;990;73431;73075;14;547;547;1;312097;292626;138;1180;1180;2;479911;461191;130;40;40;1;0;0;0;0;0;0;8060;8047;3;1011596;1001737;1006;0;0;0;101299;72467;11;24910;24910;5;51810;0;207583;41516;28452;5691;412;35413;33779;6756;6525;1305;0;5451;7;0;2398;480;0;0;0;480;0;0;0;0;209981;41996;28452;5691;412;35893;109788;21958;0;0;0;21958;21958;0;0;0;21958;3;0;0;109788;0;0;0;0;51810;8047
   Кабардино-Балкарская Республика;26147212;25969625;2836;2486434;2496510;24964552;719;39697;39697;436670;17;26;19228745;19076683;95383570;2392;0;57400;47365;284189;69;1126;1126;2031;2;0;0;0;0;37184;37173;185867;21;3401228;3390148;21423188;884;804814;792656;452;300;300;1;896497;882022;621;5284;5284;90;0;0;0;-348;-348;5;94;0;0;0;0;0;23379328;23387087;2663;18756675;18764194;2635;666481;669840;110;52986;52986;16;1010972;1000183;481;37134;37123;20;2851822;2859544;740;3260;3215;10;-1;0;0;0;0;0;4088;4051;9;3611304;3429589;2780;0;0;0;828693;827750;60;747;747;1;1236438;0;5712921;1142582;687636;137527;11462;993593;136;27;0;0;0;27;2;0;556424;111284;9153;1831;7722;101731;0;0;0;0;6269345;1253866;696789;139358;19184;1095324;3141511;628302;1284255;256851;29013;342438;31135;22486;4497;0;26638;4;0;102281;3243792;20393;1123;6;0;1236438;4105
   Республика Калмыкия;4873449;4866286;688;401983;400749;4007490;144;33174;29407;319773;18;2;3716235;3715629;18578170;596;0;14028;13893;83337;38;0;0;0;0;0;0;0;0;4491;4491;22453;6;546364;545415;3491718;215;150409;149947;133;0;0;0;157172;156699;183;28620;28598;119;0;0;0;553;553;4;30;30;1;0;0;0;3030160;3033100;596;2449780;2452267;589;167;167;1;9311;9311;5;150928;151378;112;4491;4491;6;415348;415350;200;136;136;8;0;0;0;0;0;0;9852;9852;6;2072015;2056245;789;0;0;0;169301;169429;9;22423;22423;4;140318;0;897528;179505;212236;42445;1055;136005;3627;725;3627;725;0;0;2;0;105729;21146;2591;518;0;20628;0;0;0;0;1003257;200651;214827;42963;1055;156633;25049;5011;1981;396;396;4219;0;0;0;0;0;0;0;20814;45863;0;0;0;0;140318;7956
   Карачаево-Черкесская Республика;20855320;20885406;1749;1350098;1348887;13488871;225;2920;2920;32119;8;38365;15476953;15538633;77704674;1616;0;132974;131473;788091;50;-217;0;19225;0;0;0;458;0;55690;55645;278223;11;3076732;3070851;18860288;554;677680;651703;259;0;0;0;721589;699026;413;4505;4456;51;0;0;0;137;137;7;0;0;0;0;0;0;18463606;18928768;1605;14850095;15322075;1589;224175;223461;38;58939;58821;19;586401;592530;268;58465;58418;12;2683304;2671254;478;2226;2209;8;0;0;0;0;0;0;703;703;4;2806597;2351834;1758;0;0;0;407808;388171;13;29026;29026;6;1136317;0;903430;180687;211577;42316;11028;127343;18479;3696;2730;546;0;3150;11;0;1140462;228093;1011307;202261;273;25559;0;0;0;0;2043892;408780;1222884;244577;11301;152902;303960;60792;165704;33140;20479;7173;0;0;0;0;0;0;0;27027;330987;0;0;0;0;1136317;702
   Республика Карелия;60394334;60303622;4716;2754861;2752645;27526441;522;17;17;191;1;40;47795173;47734159;238670564;4561;0;149088;146990;881940;72;2334;2334;11729;4;0;0;0;0;174465;168776;843881;90;7777806;7781348;48413611;2273;1348917;1340209;963;174734;174734;7;1743873;1720849;1506;107673;106560;1064;0;0;0;206;206;5;873;30;2;220;0;0;50815667;50781830;4514;40233788;40215096;4472;1255937;1257143;180;483583;483583;47;1751411;1752819;873;173803;168115;88;6852557;6840589;2112;65514;65410;153;0;0;0;102;0;0;2232136;2230399;173;14852018;14790978;5275;0;0;0;7447484;7366928;439;385347;429598;15;93262582;1;8607869;1721576;2502750;500550;315702;905324;0;0;0;0;0;0;0;0;5142329;1028467;685601;137120;21383;869964;0;0;0;0;13750198;2750043;3188351;637670;337085;1775288;1480582;296117;62682;12537;2551;281029;5885;27459;5492;409;-16;4;0;4978878;6459460;0;0;0;0;93262582;2229748
