GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158
   Республика Адыгея;10975724;10948597;801;955170;954581;9545819;113;9891;9160;100763;5;5;7772554;7758301;38791504;754;0;153446;160570;963421;36;0;0;0;0;0;0;0;0;20969;20969;104847;13;1749322;1735504;10927298;411;277767;276730;187;0;0;0;314367;309505;283;4346;4346;50;0;0;0;263;263;4;472;0;0;0;0;0;9238015;9246678;752;6924044;6946114;741;242160;241364;39;2650;3538;8;323320;326310;171;20732;20732;11;1722034;1705544;397;3076;3076;9;0;0;0;0;0;0;24910;24910;8;1931332;1902675;816;0;0;0;210566;218171;23;1309;1309;2;516466;836;2116149;423227;75861;15172;43627;364428;0;0;0;0;0;0;0;0;94586;18917;1352;270;865;17782;0;0;0;0;2210735;442144;77213;15442;44492;382210;208469;41694;4;1;0;41693;0;4;1;0;-1;0;0;0;208469;5430;0;1;0;516466;24899
   Республика Башкортостан;317458763;314015000;15512;11107695;11084005;110840008;1377;1943;1942;21362;11;883133;221114131;218157203;1090713092;15078;0;2488049;2467786;14806713;255;4770;5161;37402;9;0;0;0;0;366229;350053;1750263;119;66996234;67241064;414154122;6703;13593751;13438151;3258;125226;112263;31;14501894;14357099;4885;367225;365386;1815;53;53;1;551;550;14;234280;202518;13;77;77;4;293542761;290324669;14885;210818083;207814250;14785;2654963;2655283;289;774076;759972;122;17369573;17334820;3255;441666;445307;121;61155513;60982446;6448;334908;330697;209;-1307;30;1;3831;262;3;5686608;5687370;76;33202647;32837337;16634;0;0;0;14321870;14241980;181;18759896;18828432;38;188886347;16827;26849045;5369808;16839906;3367984;395283;1606541;82104;16421;26553;5311;108;11002;9;0;37633819;7526764;31284814;6256963;5788;1264013;0;0;0;0;64482864;12896572;48124720;9624947;401071;2870554;34602825;6920566;212570;42513;4876;6873177;33166;18265;3653;3714;25799;6;0;1535366;36138191;42377;0;8;0;188886347;5668858
   Республика Бурятия;21545943;21547329;1277;1808013;1808020;18079718;238;22;20;218;1;38;14141541;14130161;70649714;1189;0;57339;57803;346816;25;0;0;0;0;0;0;0;0;39005;39005;195028;14;4667267;4696658;28547601;422;707462;698167;218;-10040;43123;3;832718;815625;414;6757;6462;167;0;0;0;284;31;2;5651;1616;1;0;0;0;20421904;20333268;1205;14132677;14072045;1183;215593;215090;40;25414;25414;7;1397403;1376393;214;37218;37218;13;4597539;4604964;428;15987;2145;20;0;0;0;1504;1504;1;1224628;1242795;63;2410445;2411956;1321;0;0;0;2492324;2427816;127;145510;145510;4;32376892;1387;6093483;1218695;1135930;227187;143639;847869;186;37;0;0;0;37;1;0;1074571;214914;892;178;34;214702;0;0;0;0;7168054;1433609;1136822;227365;143673;1062571;1078159;215632;10;2;58;215572;0;0;0;0;0;0;0;192449;1270608;0;0;0;0;32376892;1242143
   Республика Алтай;10153869;10110941;395;1215495;1212852;12128520;58;54;54;591;1;83;6574087;6562595;32812972;377;0;68230;68230;409382;15;0;0;2087;0;0;0;0;0;116;116;578;2;1757077;1756513;12721715;170;473603;470016;81;0;0;0;538728;510499;136;8587;8575;23;0;0;0;34;34;2;2377;2377;2;0;0;0;9621350;9613916;361;7126023;7123434;359;29933;29933;5;30983;30983;3;808804;807261;84;116;116;2;1624534;1621232;152;959;959;6;0;0;0;526;526;1;48445;48445;10;1095619;1062653;388;0;0;0;609350;603408;20;0;0;0;2873179;409;455323;91064;55551;11110;10081;69873;0;0;0;0;0;0;0;0;430391;86078;146182;29236;640;56202;0;0;0;0;885714;177142;201733;40346;10721;126075;97325;19464;1495;299;26;19139;0;0;0;0;0;0;0;363;97688;0;0;0;0;2873179;48445
   Республика Дагестан;18854318;18497735;2074;1380860;1279408;12794084;233;9623;9684;106519;5;-3687;15113438;14907082;74535414;1948;-1151;67844;65545;393271;37;5796;4022;20147;5;0;0;0;0;23252;23250;116249;13;1727905;1715728;10476001;578;465975;434788;321;0;0;0;535923;494475;446;14453;14019;36;0;0;0;0;0;0;289;273;1;0;0;0;15909001;15681377;1943;12969262;12814158;1913;222644;226511;76;43233;42773;15;709622;658058;403;18725;18722;12;1939103;1914577;481;5974;6004;12;0;0;0;0;0;0;7167;9837;6;3244112;3108549;2028;0;0;0;302170;282410;27;2347;2347;1;2918290;2087;9061657;1812332;1447498;289500;60858;1461974;7449;1490;285939;57188;24;-55722;5;0;1061173;212235;2653;530;128;211577;0;0;0;0;10122830;2024567;1450151;290030;60986;1673551;664374;132874;12884;2577;39745;90552;13819;2010;402;149;13268;11;0;24897;689271;5864;0;2;0;2918290;9838
   Республика Ингушетия;4505376;4115851;405;50256;51318;513175;20;1;1;15;1;17380;3991580;3694462;18472320;389;0;69406;68250;409500;6;0;0;0;0;147;147;737;1;915;915;4576;1;287319;218884;1250151;55;84946;79334;40;0;0;0;88520;82021;53;750;750;4;0;0;0;646;646;1;0;0;0;0;0;0;4151115;3740177;388;3792934;3403699;385;37595;37240;6;547;547;1;175844;157290;68;915;915;1;143278;140485;48;0;0;0;0;0;0;0;0;0;5367;5354;1;403474;403734;393;0;0;0;61496;32664;3;1430;1430;2;28331;409;257524;51506;194865;38973;10;12523;6598;1320;6525;1305;0;15;2;0;814;163;0;0;0;163;0;0;0;0;258338;51669;194865;38973;10;12686;30880;6176;0;0;0;6176;6176;0;0;0;6176;1;0;0;30880;0;0;0;0;28331;5354
   Кабардино-Балкарская Республика;10151866;9989800;1016;855802;870218;8702041;263;11914;11914;131054;6;8;7942699;7790536;38952808;849;0;19326;17328;103967;28;720;720;0;1;0;0;0;0;7456;7445;37226;6;1009456;998597;6309573;285;260197;251063;160;0;0;0;305205;293756;223;2493;2493;32;0;0;0;62;62;1;0;0;0;0;0;0;8518973;8471268;948;6862111;6813347;934;352525;355211;35;19552;19552;4;357431;347976;162;7456;7445;6;918057;925940;260;1841;1795;4;-1;0;0;0;0;0;1171;1134;5;1946789;1835077;999;0;0;0;300973;299132;15;747;747;1;422560;1032;3312570;662516;536704;107342;3043;552131;0;0;0;0;0;0;0;0;131448;26290;7513;1503;7325;17462;0;0;0;0;3444018;688806;544217;108845;10368;569593;373930;74786;104467;20893;16545;37348;815;6844;1369;0;-554;1;0;61102;435032;19843;1123;5;0;422560;1187
   Республика Калмыкия;1718501;1712207;248;162962;161731;1617307;50;22660;19960;215963;8;2;1325953;1325478;6627387;217;0;5195;4946;29674;16;0;0;0;0;0;0;0;0;1071;1071;5354;2;169490;168325;1092527;75;28461;28000;46;0;0;0;31168;30695;66;21156;21137;40;0;0;0;292;292;1;0;0;0;0;0;0;1026760;1027978;211;838572;839421;209;0;0;0;3088;3088;2;53045;53413;45;1071;1071;2;130930;130932;77;53;53;2;0;0;0;0;0;0;3318;3318;3;771338;758161;277;0;0;0;42796;42924;2;5477;5477;1;49608;266;334419;66884;58924;11785;189;54910;0;0;0;0;0;0;0;0;38761;7752;1873;375;0;7377;0;0;0;0;373180;74636;60797;12160;189;62287;3254;652;0;0;0;652;0;0;0;0;0;0;0;1065;4319;0;0;0;0;49608;3318
   Карачаево-Черкесская Республика;7550230;7597863;625;464575;463364;4633637;87;620;620;6817;3;37865;5742007;5821980;29109898;574;-38;81051;79550;476551;18;-217;0;0;0;0;0;0;0;19778;19733;98663;3;941799;936220;5840722;184;254758;227591;91;0;0;0;262575;239096;141;1725;1676;16;0;0;0;64;64;3;0;0;0;0;0;0;6579372;6832803;569;5392581;5653986;562;122823;122012;15;16544;16426;5;240957;245813;94;19779;19733;3;789759;777924;169;933;916;3;0;0;0;0;0;0;297;297;1;1227626;927608;630;0;0;0;253313;159144;3;1173;1173;2;314747;635;304288;60859;147471;29495;4050;27314;7783;1557;1076;215;0;1342;4;0;274822;54964;202300;40460;94;14410;0;0;0;0;579110;115823;349771;69955;4144;41724;139093;27820;66937;13387;8141;6292;0;0;0;0;0;0;0;27027;166120;0;0;0;0;314747;297
   Республика Карелия;20277917;20059490;1652;1079168;1076953;10769519;188;17;17;191;1;34;15685635;15491978;77459887;1602;0;46030;43932;263590;27;0;0;0;1;0;0;0;0;58650;57715;288575;31;2736988;2740725;16718348;775;447634;438903;339;102362;102362;4;671068;648021;553;46615;45495;389;0;0;0;43;43;1;278;0;0;220;0;0;17944638;17777902;1547;14156567;14000013;1532;691390;692596;64;176679;176679;12;517155;518564;313;58507;57572;30;2304705;2292947;753;40562;40459;52;0;0;0;12;0;0;1072678;1070850;68;4260978;4205686;1870;0;0;0;3019129;2938467;143;95447;139698;6;38442056;1861;2883804;576760;906615;181322;114625;280813;0;0;0;0;0;0;0;0;1608896;321780;136701;27341;279;294160;0;0;0;0;4492700;898540;1043316;208663;114904;574973;645288;129058;7496;1499;1031;126528;720;4539;908;186;-374;1;0;3272463;3917751;0;0;0;0;38442056;1070851
