"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29"
"Республика Адыгея","34","0","0","6","0","0","107 143 919","97 865 687","79 374 967","1 732 225","120 865","0","0","226 615","0","13 167","0","0","628","6","0","1","0","3 285","25 536 313","23 180 037","460 112","944","0","X"
"Республика Башкортостан","154","0","0","2 593","0","0","890 154 711","901 517 488","566 222 468","12 203 696","1 709 911","0","0","5 302 498","0","238 234","0","1 973","1 166","5","0","8","0","3 071","106 424 431","102 258 710","2 202 312","12 036","0","12 997"
"Республика Бурятия","36","0","0","83","0","0","412 549 518","368 129 461","279 827 699","4 934 815","278 271","0","0","1 143 385","0","874 102","0","498 118","801","39","0","2","0","3 291","23 345 645","20 715 786","422 578","3 930","0","1 385"
"Республика Алтай","11","0","0","30","0","0","103 339 991","93 550 783","36 312 452","745 315","155 701","0","0","1 156 946","0","0","0","0","338","0","0","2","0","973","7 060 100","6 495 638","121 570","0","0","7 417"
"Республика Дагестан","27","1","0","656","17","0","206 837 893","201 868 935","148 845 420","3 182 553","388 103","X","0","547 584","0","81 143","0","0","972","0","0","0","0","4 761","36 987 650","34 413 536","339 601","0","0","0"
"Республика Ингушетия","10","0","0","12","1","0","57 711 178","57 320 865","49 206 266","1 081 178","120 344","0","0","43 684","0","678","0","0","140","4","0","0","0","656","5 816 970","4 566 823","87 006","3 323","0","0"
"Кабардино-Балкарская Республика","26","0","0","2","2","0","93 403 707","83 605 555","64 884 445","1 420 898","277 640","0","0","10 098","0","6 449","0","0","689","10","0","0","0","2 284","17 780 552","15 503 605","320 374","4 069","0","0"
"Республика Калмыкия","33","0","0","8","0","0","74 532 860","71 624 736","56 584 469","1 235 515","235 540","0","0","73 267","0","9 292","0","0","460","26","0","0","0","901","2 781 128","2 338 066","34 057","918","0","0"
"Карачаево-Черкесская Республика","33","0","0","12","0","0","95 292 608","89 394 052","59 358 314","1 275 998","617 519","0","0","35 639","0","262","0","0","308","30","0","48","0","1 573","10 759 850","9 118 536","145 696","14 227","0","18 595"
"Республика Карелия","61","0","0","32","5","0","228 741 391","221 657 524","136 221 071","2 726 930","908 011","0","0","754 739","0","180 521","0","21 272","1 275","47","0","428","0","3 223","35 599 806","33 262 550","531 637","5 683","0","158 943"
"Республика Коми","30","0","0","18","0","0","1 107 000 420","1 110 095 406","1 079 385 388","23 409 259","56 007","0","0","680 177","0","244 565","0","0","717","0","0","0","0","1 727","18 059 204","17 455 206","346 919","0","0","0"
"Республика Крым","249","0","0","94","0","0","718 052 039","685 645 271","397 593 358","5 806 140","3 522 602","0","0","992 996","0","0","0","141 713","1 827","93","0","0","0","5 537","78 158 034","75 202 834","646 974","96 110","0","0"
"Республика Марий-Эл","53","0","0","9","0","0","96 819 985","95 561 054","80 874 286","1 769 421","104 507","0","0","149 136","0","5 619","0","0","1 043","26","0","1","0","4 769","36 417 961","31 971 238","633 188","5 048","0","X"
"Республика Мордовия","113","0","0","115","0","0","227 674 327","219 225 846","160 379 427","3 473 333","267 639","0","0","1 012 457","0","54 193","0","0","150","0","0","122","0","249","17 883 121","17 341 373","177 592","0","0","169 236"
"Республика Саха (Якутия)","39","0","0","89","0","0","2 485 248 690","2 440 290 741","2 255 009 521","23 170 668","1 482 865","0","0","4 521 146","23 677 312","143 291","0","217 758","344","0","0","248","1","870","28 613 709","26 739 466","309 342","0","0","233 763"
