GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31
Республика Адыгея;14670464;15008340;2227;44564;41310;228;2059;873;2;12942706;13291922;2026;164;164;1;50284;50043;48;1977673;1963832;2335;902151;5612721;1010287;312572;56264;29840;924183;330545;0;901256;49496
Республика Башкортостан;516981981;495018420;46137;785820;652885;8145;104285;38367;63;458710376;433825979;43623;48778;9377;23;39008980;30427279;690;52110110;52155617;51765;324526075;117332860;21119917;53411262;9614033;1277852;10228032;14319523;1694023;198117494;19787134
Республика Бурятия;25363208;25445139;3644;35237;33869;674;1631;128;3;22122569;22220273;3240;113;113;1;2411620;2410309;253;3710043;3668326;4064;46049433;12452445;2241440;1824713;328447;179991;1733002;3276593;368622;46049331;2405888
Республика Алтай;20849097;20908373;1747;4769;4739;86;5897;0;0;18776821;18944628;1635;0;0;0;547034;553790;31;1859209;1746357;1739;5784392;7839581;1411125;3123642;562254;32189;816682;1147832;0;5793156;545834
Республика Дагестан;24953491;25106245;4545;75847;44743;118;716;457;1;21622291;21648073;4163;107;0;0;67323;72990;34;3734487;3829420;4469;2443260;13304445;2394801;1966359;353946;325389;1715466;1376142;864763;2443261;70276
Республика Ингушетия;5416404;4393163;798;5141;6740;4;0;0;0;5280500;4290041;731;0;0;0;0;0;0;389731;358548;777;3587;396423;71355;324582;58424;0;12931;464932;0;3587;0
Кабардино-Балкарская Республика;19830915;19146900;2532;1747;1655;126;2297;2228;5;18089095;17615312;2340;418;418;1;22771;24556;24;1947911;1738726;2545;731839;4624799;832463;346557;62382;16006;754075;222975;0;731839;24303
Республика Калмыкия;4044360;4194744;848;1208;1159;106;0;0;0;2738823;2947823;698;0;0;0;567;567;3;1342033;1328624;906;16190;603627;108649;267027;48062;12809;47778;23083;36;16190;567
Карачаево-Черкесская Республика;20970544;20916648;1680;3030;3030;62;111;3;2;19573006;19544112;1532;0;0;0;77854;77907;33;1577828;1552974;1667;1060435;4343338;781800;483086;86956;16872;677972;31929;0;1038695;74621
Республика Карелия;34647010;34677382;5956;61901;61609;1793;1146;73;3;28942082;28946325;5490;1500;18;2;2750168;2749159;312;5849909;5836778;7150;37961826;10355526;1863996;1971471;354865;137226;1371905;1751185;64502;36894275;2577863
Республика Коми;104313059;104206668;5317;326831;326889;3552;1163;197;1;78620893;78596920;4864;30702;29940;2;17541136;17345153;171;19908440;19862511;8471;236142259;27665028;4979708;2089006;376019;129392;4474297;3718473;11174;108949646;7477860
Республика Марий-Эл;53553495;53016545;6245;16192;15900;681;3618;37;3;46785437;46381323;5838;371;2;1;589158;589031;112;7402790;7266089;6721;7025947;15297668;2753590;5328245;959085;513006;1281499;2214903;617650;7034584;587341
Республика Мордовия;50287598;50490536;6902;43107;41996;783;387;15;2;43957171;44241216;6334;197;0;0;328000;329494;103;7337444;7267909;7247;8259208;30730855;5531561;20642889;3715720;203575;1612266;1065274;640;8257429;329477
Республика Саха (Якутия);69694727;69601396;4319;218108;211866;982;168453;4247;1;58502798;58540297;3872;74647;1411;2;13222848;13139496;148;14319370;14145715;4922;256962521;48592905;8746721;8699329;1565883;925066;6255772;32666596;538707;256962520;13044943
Республика Северная Осетия-Алания;13120477;12998679;2037;5839;3798;225;6422;2941;4;11221167;11212551;1847;3477;3215;5;80555;83663;81;2014913;1900368;2150;1298613;2902791;522503;456604;82189;29413;410901;652694;152;1264589;77319
Республика Татарстан;805323690;807803564;72593;1597700;1572243;1691;100928;10582;72;717061755;720742043;69973;63138;4157;23;43419025;43058565;843;84393522;83435616;71128;583360477;777156743;139888209;303834654;54690241;1433147;83764821;23791862;4291217;354668571;32642093
Республика Тыва;4714359;4697495;387;10064;10046;82;0;0;0;3667219;3663262;313;0;0;0;549060;569046;14;976865;967427;426;8467802;727741;130994;101895;18340;3122;109532;14739;0;7754073;537346
Удмуртская Республика;148067334;147839845;22513;133855;136925;1112;2700;584;27;121649271;121464997;21763;1184;463;8;2659883;2650910;333;25610563;25648179;22921;90273312;59919834;10785574;20620430;3711681;587164;6486729;4047983;285674;62981320;2065518
Республика Хакасия;33372024;33134830;3164;327285;336948;631;373;97;1;29289865;29086301;2809;240;87;1;3432766;3411113;60;3877307;3879288;3659;35575796;7345704;1322228;1979540;356317;135326;830585;920667;225;35575795;3410759
Чеченская Республика;16156031;16133512;1952;20844;8556;35;35;35;1;17295498;17277705;1808;0;0;0;6035;6035;4;1221251;1200817;1886;76207;1565813;281847;680604;122508;48082;111257;351782;32852;76207;6035
Чувашская Республика;60077015;59608092;11397;116976;116853;1428;1436;26;7;50815797;50415699;10750;279;4;1;288901;288541;231;10113353;10074610;12150;5419452;26598579;4787743;6064200;1091560;265362;3430821;1112262;62007;5417232;287893
Алтайский край;156037953;156540806;27675;182675;177895;2263;36127;19949;38;140290682;141001297;26398;17915;13712;15;2838172;2867371;792;16367679;16085345;28383;36956244;38465320;6923757;15359902;2764783;921938;3237036;6271901;139557;34844858;2644521
Краснодарский край;673400357;665502722;57365;1405421;1616934;2664;194938;179278;37;600909743;593548902;54176;150345;147205;17;35597399;35597496;1126;86293776;86191684;57170;394175873;346302660;62334477;188763013;33977344;4876074;23481059;64211194;4627775;394583919;34988595
Красноярский край;413853879;414593468;40186;850514;841982;3558;103652;29327;16;319959792;321459483;38143;25738;12160;8;35719998;35864042;781;103607804;103013837;41354;510154930;129097406;23237531;34900537;6282097;2520651;14434783;17892188;1146686;509736308;35717245
Приморский край;208140680;205705810;27197;368180;365869;2400;7022;2457;23;192181894;189767148;25843;1570;1451;14;9412085;9384717;930;23347710;23278980;27847;128978820;80574002;14503318;22925363;4126569;856416;9520333;15906199;5834251;128434954;9334154
Ставропольский край;186786883;187799851;20168;216719;214625;1202;32415;3292;25;166255116;167620877;18867;1479;1078;10;3585863;3587255;258;22779599;22348660;20608;39048311;67423631;12136255;17564711;3161654;532683;8441918;6333094;2023918;37275181;3332601
Хабаровский край;158094821;158001596;17952;275534;255071;2957;34872;19949;15;138946258;139217461;16959;4887;4198;7;6488776;6762513;366;23288526;22787027;19827;88736737;41728006;7511041;16662323;2999221;1387056;3124764;6206458;2342813;88294152;6645041
Амурская область;51194454;49374072;6476;97195;95326;1474;38;38;1;51992891;50488405;5993;0;0;0;5305202;5267048;228;8905862;8795879;7280;61229792;112321999;20217964;55579247;10004258;1133055;9080651;154350657;23570;61135966;5252301
Архангельская область;74925853;74798340;7565;197052;184755;2464;3595;360;1;59042348;58874700;6968;660;0;0;3186917;3172616;174;20263953;20332971;9526;42542887;24854790;4473860;4533164;815971;503771;3154118;3901356;5085548;42529228;3163936
Астраханская область;42770910;42095886;5021;268788;268343;601;8251;889;2;31002158;30892383;4614;-3382;465;1;6703574;6699723;457;15683705;15107468;5052;71315342;12080513;2174493;4787477;861744;203878;1108871;1094465;2130611;45843694;5590498
Белгородская область;230074828;230858922;25969;418821;416906;2483;30147;9740;18;209563550;210263059;25291;10333;2841;7;8592425;8608922;620;26178342;26215734;26360;117595044;148120536;26661697;38181843;6872731;828376;18960590;54590635;413766;117415540;8598941
Брянская область;78121177;78230638;11211;202263;190854;1527;4151;840;18;71253836;71435251;10428;987;439;11;818782;808812;613;10226594;10122285;11839;16022000;14548288;2618694;6928262;1247088;281744;1089862;882727;400714;15399997;754269
Владимирская область;114555598;115016493;14620;772920;767675;1921;23883;18808;27;98647199;99316443;13845;12979;920;16;1034149;1040222;529;18049751;17880891;15928;22636589;22560671;4060927;8806027;1585090;471541;2004296;5425206;7174103;22653995;1011772
Волгоградская область;207304789;208367869;21125;382697;379338;3196;10500;2816;22;179493545;180727924;19700;10862;4026;10;20174926;20176686;349;26176310;26039765;23289;152163417;60387242;10869701;28785862;5181455;1494549;4193697;5237204;171757;111079038;14421403
Вологодская область;168984174;168544127;19425;226609;226697;1643;153335;15574;11;148746999;148530327;18572;69682;-244;3;21524797;21468289;358;13545217;13310535;20169;150935769;1308712807;235568310;1255940061;226069208;481653;9017449;2220031;830787;121883713;15588230
Воронежская область;298368328;296757319;38368;396396;395276;2422;26944;18245;35;281975492;280565106;36874;17900;13601;9;3031069;3030306;454;22860924;22623202;39023;35061273;62907649;11323375;18026349;3244746;447953;7630676;6185914;1103208;35564775;3534332
Ивановская область;74047421;73273077;16463;82605;83627;752;2584;225;10;69119571;68411084;15427;1378;13;2;562478;562625;285;5466564;5401899;16571;6659031;45821173;8247811;17041561;3067483;243355;4936973;2048485;180073;6658670;561673
Иркутская область;302439597;300008879;26276;1715458;1696824;3643;16180;2221;13;249677477;247252525;24061;4979;1088;10;11453048;11489852;966;58421217;58269992;27154;189434249;64736758;11652615;21701291;3906236;865779;6880600;3137490;220017;188303288;11157680
Калининградская область;129233022;129310970;10533;256185;260405;923;5045;774;7;86568587;86576263;9774;1056;128;2;2186590;2179022;474;45561293;45521360;10593;80832122;60112884;10820320;18318141;3297267;219412;7303641;15976236;2026213;72357951;1947338
Калужская область;173052568;173841125;13783;1620890;1573617;1290;133127;19490;18;154960343;154960018;12911;75021;9716;3;4038905;4046585;392;21444465;21927128;14097;50124530;112220807;20199747;76147182;13706494;573455;5919798;5153040;832960;50108203;3992651
Камчатский край;22503829;22394842;2249;69064;65915;231;161;0;0;18276932;18239253;2029;0;0;0;1935131;1935122;68;4619826;4552067;2247;31350563;8736207;1572519;5705678;1027021;465760;79738;299565;949964;31232839;1926463
Кемеровская область;307660502;308298614;21217;214066;214052;1765;274083;13957;23;254112383;255081586;19671;107832;6329;10;42766360;42770355;345;49089795;48604987;21637;462648217;135490600;24388308;74465250;13403746;1283627;9700935;11408974;147432;412732001;35636427
Кировская область;60535416;60980449;13388;100875;98929;3724;9333;1985;18;51580125;52098420;12633;2444;473;4;735973;729649;245;9691840;9611928;16614;13796740;59800319;10764058;52073969;9373314;550123;840621;1952946;12965;14282297;718688
Костромская область;40231679;39753834;6627;89314;90659;931;13935;2491;14;35789616;35343434;5782;2063;303;7;1373877;1371895;207;4335077;4296547;7301;13701956;465433509;83778035;111745460;20114183;577564;63086288;763819;748;13532124;1345119
Курганская область;38352805;38111083;5494;33093;33228;699;142;136;1;32257241;31924160;5075;0;0;0;4471;150636;139;6509552;6472721;5862;3706526;10072613;1813071;3120207;561638;80154;1171279;850301;235792;3706513;148758
Курская область;102767580;102423921;11860;43498;43536;934;2108;646;7;93474852;93156388;11035;1528;554;4;881944;884246;187;13475724;13423566;11874;22077897;30334918;5460288;9101950;1638352;461889;3360047;2744574;31774;21477744;858540
Ленинградская область;280452989;279159566;17482;3009311;3002921;3845;77534;56106;24;230884584;229629944;16440;59489;44192;17;34184613;33560620;821;57067531;56914763;19715;296619518;55457737;9982397;15084132;2715146;795086;6472165;14167841;54566720;294898519;33183715
Липецкая область;125302400;125483566;12857;348019;331782;1059;2686;1237;13;113112446;113223159;12429;-733;-1576;1;26595115;26624025;136;9151579;9146286;13170;203858349;21582050;3884772;7875986;1417680;134485;2332607;1136387;216493;203857686;26501508
