"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32"
"Республика Адыгея","1459","1387","52","48","0","0","4","0","64798536","3178070","62700151","2640636","6437336","45640","65829742","53237963","12591780","1381474","1154727","41896","227471","58310","42689","0","0","15621","3651","2848","0","0","803","0","0"
"Республика Башкортостан","11367","8254","2873","278","0","0","2596","0","579157988","125058480","559149206","124678483","89211091","7117928","524815827","427691990","97123837","10332407","9182593","580615","1163500","2753037","404274","0","0","2348763","82822","14512","0","0","68310","0","0"
"Республика Бурятия","2090","1905","137","82","0","0","54","0","253640197","27645770","244467799","26718196","5081017","1577","224500402","217074118","7426285","3763755","3657088","1604730","106697","585187","234967","0","0","350220","53989","3414","0","0","50575","0","516030"
"Республика Алтай","1005","624","34","34","0","0","0","0","42109772","7284797","44492820","6754701","1384730","0","36076867","34532771","1544095","515949","489406","0","27569","148746","148746","0","0","0","1287","1287","0","0","0","0","0"
"Республика Дагестан","3252","3022","24","16","0","0","8","0","173855620","6330313","167423726","5553204","8027476","110376","169787622","161870522","7917100","3638308","3558564","184065","79744","122363","27695","0","0","94668","1224","871","0","0","353","0","0"
"Республика Ингушетия","461","438","11","5","0","0","6","0","39825440","8129244","34082377","3235117","49092","0","32299962","30706755","1593207","698511","667139","2908","28431","70902","35433","0","0","35469","16304","6965","0","0","9339","0","0"
"Кабардино-Балкарская Республика","1502","1393","49","37","0","0","14","1","74560898","8923092","65946720","7464159","6584876","108078","62360513","54406782","7953731","1317159","1179165","21416","149759","151220","148269","0","0","2951","8022","5266","0","0","2756","0","0"
"Республика Калмыкия","725","674","38","28","0","0","12","1","77254315","15039818","61568698","14355635","676888","1464","47983721","46966362","1017358","1043958","1029826","8602","14143","315430","120726","0","0","194704","226","88","0","0","138","0","0"
"Карачаево-Черкесская Республика","1189","1084","61","44","0","0","17","0","66769051","27479060","64454561","26323950","3116280","897934","37951006","35179100","2771906","805679","764202","5357","40525","576710","562062","0","0","14648","18616","18616","0","0","0","0","0"
"Республика Карелия","1802","1353","435","73","0","0","376","27","152653015","34595363","148605130","34024390","15388063","872","131638083","114185860","17452222","2245293","2087957","535815","157444","974219","735597","0","0","238622","153212","2243","0","0","150969","0","0"
"Республика Коми","2215","1777","421","85","0","0","391","0","944159697","18539999","938696403","15153079","15457005","0","939895864","921851097","18044766","20287429","20044748","624323","241487","334633","29576","0","0","305057","76135","1297","0","0","74838","0","0"
