"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32"
"Республика Крым","3088","2525","437","316","0","0","125","0","437084706","122726104","432116699","116742984","11662049","3095873","325497251","315373737","10123514","3227354","3132285","190868","96371","1775580","1463720","0","0","311860","32282","32282","0","0","0","0","1554874"
"Республика Марий-Эл","2560","2305","247","148","0","0","99","0","77821230","4841007","76364395","4632322","11109395","62262","81817415","66588966","15228448","1687855","1437210","13675","250568","119695","95823","0","0","23872","10213","8664","0","0","1549","0","4019"
"Республика Мордовия","2014","1851","146","124","0","0","22","3","146495378","42015685","143794845","42622174","5410034","1447747","106262593","101067736","5194857","2248112","2153021","111775","95091","939137","190472","0","0","748665","33183","346","0","0","32837","0","0"
"Республика Саха (Якутия)","3154","2950","140","43","0","0","97","13","1548247200","148508442","1410936260","144797662","7265","0","1250551997","1250513576","38420","26715520","26716994","159598","765","3892867","1376004","0","0","2516863","0","0","0","0","0","9234406","0"
"Республика Северная Осетия-Алания","1539","1459","36","32","0","0","4","0","132012605","26316325","117327609","26665427","2240970","0","80609128","77761782","2847346","1582641","1539410","12242","41517","586722","585232","0","0","1490","291","291","0","0","0","0","0"
"Республика Татарстан","9488","8622","733","377","0","0","364","0","1406261323","183246030","1365064780","182748899","109043265","16791","1288508466","1178713233","109795233","26666831","24745218","503584","1922943","5011691","2370503","0","0","2641188","9639","9639","0","0","0","0","0"
"Республика Тыва","751","710","18","16","0","0","2","1","25702624","1703318","25855866","2021837","759405","0","22593043","21450276","1142767","484622","471895","0","12682","31386","12851","0","0","18535","0","0","0","0","0","0","0"
"Удмуртская Республика","5446","5064","344","173","0","0","170","10","244713690","25481829","236098495","22449234","51126453","466095","274675950","209848275","64827675","5420856","4484428","311639","925702","492195","71878","0","0","420317","26877","6602","0","0","20275","0","3674"
"Республика Хакасия","1593","1418","175","69","0","0","107","0","126796778","1569350","127954505","1595935","10734286","538209","120841514","108893206","11948308","2426711","2291169","238345","136824","33283","27890","0","0","5393","13456","4208","0","0","9248","0","0"
"Чеченская Республика","1404","1216","116","16","0","0","101","8","174853497","23832251","168014114","21391296","69399","0","152321724","146258621","6063102","2766930","2653784","6120","111174","889938","371289","0","0","518649","6091","2355","0","0","3736","0","674"
"Чувашская Республика","2938","2650","258","89","0","0","170","3","150891962","28440901","149174019","28392884","19322261","42698","141744217","117060246","24683972","2722251","2533967","93289","188861","625198","395810","0","0","229388","21121","2435","0","0","18686","0","0"
"Алтайский край","6464","6182","164","157","0","0","5","0","203509489","13725307","194525932","10110667","51039745","37810","242683788","184258366","58425423","4681651","3888205","425437","795333","223852","214289","0","0","9563","8529","8529","0","0","0","0","2364"
"Краснодарский край","18002","16275","1307","469","2","0","740","5","2563423567","527310733","2532037184","536091589","161801626","921090","2103828960","1895421935","208407024","36972094","33762612","1885703","3209607","18300819","8135095","1763285","0","8402439","565437","56992","0","0","508445","0","727980"
"Красноярский край","6809","3062","3736","88","0","0","3648","54","1375035513","245808198","1323679347","236978571","101250","0","1036538401","1036435995","102405","18482812","18480787","1153704","2031","9000475","360643","0","0","8639832","0","0","0","0","0","0","80171"
"Приморский край","5042","3553","1264","150","0","0","951","77","579216455","23414101","568311493","23800316","44936549","4119601","588623942","542574766","46049176","10647018","10229834","774232","413684","1717415","367373","0","0","1350042","158915","1948","0","0","156967","0","10209"
"Ставропольский край","6487","6055","388","214","0","0","173","0","374361903","43827535","363483242","46133191","37961950","24058","351676274","314681002","36995271","7418113","6718829","172436","698676","1047825","145450","0","0","902375","27585","7629","0","0","19956","0","5"
"Хабаровский край","3077","2841","123","83","0","0","40","0","656047818","22975141","616909094","21358735","17923596","0","610020792","593105442","16915351","11900555","11584218","1793276","312253","1187024","374771","0","0","812253","412","412","0","0","0","0","61264"
"Забайкальский край","2624","2080","471","75","0","0","417","0","334729360","21590451","305916354","21953687","10023396","943819","293513187","283912004","9601184","5061052","4886704","1895169","174346","1092663","446226","0","0","646437","26121","2074","0","0","24047","0","35717"
"Амурская область","2514","2319","149","61","0","0","82","28","763813606","40579078","750523399","38535596","19265318","66840","719384628","695889802","23494826","12506380","12287827","2248638","211050","1048106","620842","0","0","427264","6561","1256","0","0","5305","1710968","42356"
"Архангельская область","3107","2912","88","88","0","0","0","27","380293238","30824486","379884688","29408270","13449996","135508","363947824","349460069","14487754","7973193","7264251","547818","165169","651929","651929","0","0","0","1378","1378","0","0","0","0","0"
"Астраханская область","2420","1508","821","88","0","0","738","0","432951714","27058995","445995380","27200002","11584636","627227","435462000","418788958","16673042","7009819","6789883","266607","219386","2818292","135212","0","0","2683080","28007","12191","0","0","15816","0","7163"
"Белгородская область","4885","4226","500","170","0","0","338","0","350139926","13709226","340071672","3047840","48772720","605969","387803761","333639570","54164191","8043734","7129696","158441","998297","62976","62976","0","0","0","14295","6810","0","0","7485","0","16"
"Брянская область","2862","2604","230","123","0","0","112","1","162938942","44300111","153599006","42896015","26734705","5052483","140655456","110534679","30120777","2745877","2271309","90024","481551","918263","121918","0","0","796345","149497","10412","0","0","139085","0","2991"
"Владимирская область","3610","3380","177","128","0","0","46","0","249912324","27080318","253262638","38978321","37182","0","195994287","195957106","37182","4095646","4094885","373540","744","923981","443258","0","0","480723","0","0","0","0","0","0","0"
"Волгоградская область","5327","4873","411","166","0","0","246","3","529088398","160089922","497801323","152094391","5812833","1095181","374838678","368710259","6128419","7020004","6915978","523135","97890","3609077","246501","0","0","3362576","22039","968","0","0","21071","0","51438"
"Вологодская область","4738","4135","482","214","0","0","283","109","664485952","78737717","594344633","78814635","27524317","919628","527463377","496108337","31355041","11069491","10667614","574680","401288","1567236","907719","0","0","659517","49376","7161","0","0","42215","0","2610"
"Воронежская область","6377","5577","758","227","0","0","531","29","601618246","35424009","589606832","35833050","9765842","121225","562363915","546670045","15693871","10598358","10432875","339001","166258","2150077","160485","0","0","1989592","19351","2152","0","0","17199","0","256001"
"Ивановская область","2215","2089","92","56","0","0","22","0","104132516","1647599","103771168","1636927","5267544","312","97719951","90640240","7079711","2098186","1977394","34466","120577","37044","12272","0","0","24772","17278","213","0","0","17065","0","0"
"Иркутская область","5464","3173","2291","174","0","0","2116","1","894243567","78266283","843876365","72963215","46824277","62536","808921306","757177479","51743828","15382633","14801462","2033484","577430","2650870","483725","0","0","2167145","14607","2464","0","0","12143","11512","42264"
"Калининградская область","2904","2327","577","243","0","0","340","0","270678541","40210897","264776340","37009424","67342820","3468354","294758166","227766916","66991249","5923766","4747037","99398","1126505","1029336","1012610","0","0","16726","174663","65098","0","0","109565","0","0"
"Калужская область","5176","3331","1740","192","0","0","1559","0","366972714","161210725","358125209","157304568","14213820","1636842","220524335","200003216","20521119","4593730","4332635","129310","352015","3482181","884551","0","0","2597630","58319","28914","0","0","29405","0","0"
"Камчатский край","1045","917","99","27","0","0","91","1","119874235","2243601","116185441","2269342","3654192","15218","117114725","112188267","4926458","2396469","2326569","0","70001","168765","5517","0","0","163248","27821","7147","0","0","20674","0","0"
"Кемеровская область - Кузбасс","5746","5240","422","155","0","0","272","42","554229576","14083854","527102995","13695531","36630531","47022","532916450","488944777","43971673","10642238","10019318","630159","622969","664266","65537","0","0","598729","69415","2743","0","0","66672","0","83132"
"Кировская область","5854","4375","1471","166","0","0","1327","11","189841542","28784459","186544114","28025416","27767267","59880","172866609","146947984","25918626","3136558","3062795","291131","276585","685990","40456","0","0","645534","167583","3079","0","0","164504","0","0"
"Костромская область","2137","1939","163","59","0","0","104","0","73015280","5051778","72512327","5483606","16969137","183442","78597298","59610669","18986629","1531349","1218269","239648","314329","122116","12310","0","0","109806","26268","6188","0","0","20080","0","0"
"Курганская область","2339","1894","324","67","0","0","257","0","113538769","4013466","109232548","3033754","4705341","7723","108614648","102931990","5682658","2206044","2137750","349002","67799","68547","19588","0","0","48959","35835","643","0","0","35192","0","0"
"Курская область","3442","3305","136","124","0","0","12","0","255616825","30891710","235804891","30149542","6745609","92275","208587812","201594842","6992970","4553774","4419206","119483","134430","750366","112420","0","0","637946","1862","1829","0","0","33","0","0"
"Ленинградская область","5595","4839","668","172","0","0","491","0","1415707896","403206272","1337022847","398719915","14115693","893968","947966199","928907474","19058724","19636736","19439301","2304575","195735","8713310","3344000","0","0","5369310","185436","2618","0","0","182818","319","62931"
"Липецкая область","3750","3183","501","217","0","0","268","0","296366648","67771154","286173557","63875190","25972249","418910","248927075","220850736","28076338","5105046","4692823","157275","412095","1482983","537633","0","0","945350","140871","5635","0","0","135236","0","0"
"Магаданская область","736","711","25","22","0","0","3","0","142281026","7208391","137148144","7411414","2665430","0","132657720","129557553","3100167","2876713","2816750","0","59962","196568","163261","0","0","33307","336","182","0","0","154","0","0"
"Московская область","21638","20219","934","622","0","0","313","0","2372549327","549050421","2245181746","473874085","588512805","1069355","2399722427","1754029573","645692854","52790542","37630768","1164706","9954459","8875885","3252985","0","0","5622900","339580","55766","0","0","283814","0","265883"
"Мурманская область","1943","1655","283","58","0","0","231","1","338779365","129342728","308649318","108487559","17878798","118392","219658416","200082688","19575727","4515742","4239890","196670","275997","2463675","1757431","0","0","706244","92684","402","0","0","92282","0","111"
"Нижегородская область","11350","10009","1181","498","0","0","690","0","579218160","109015816","564890391","126114022","75092943","2196608","502174699","423737006","78437694","10631654","9166028","313034","1464184","2191486","201048","0","0","1990438","73335","17612","0","0","55723","0","0"
"Новгородская область","2218","1837","359","133","0","0","231","24","192568240","11506025","189221996","11490346","6002982","51819","179897888","171510819","8387069","3425710","3319345","404939","106506","274656","231959","0","0","42697","31564","1809","0","0","29755","0","4266"
"Новосибирская область","7964","7636","224","178","0","0","47","0","503571398","58644067","474524257","51944825","83187900","374350","512758157","413349127","99409030","10817367","8935395","377090","1744156","1162321","628929","0","0","533392","21512","9358","0","0","12154","0","0"
"Омская область","3687","3555","90","81","0","0","8","1","243863107","3396653","233218512","3399571","21315094","829468","241304118","213636479","27667639","4343380","4159484","222834","184252","78459","30654","0","0","47805","7278","2079","0","0","5199","0","29"
"Оренбургская область","4322","3970","307","110","0","0","190","0","532070987","13751975","512932568","18196058","13222934","968623","511336439","497156924","14179514","10801568","10601303","378347","199916","457058","68208","0","0","388850","63400","106","0","0","63294","0","4130"
"Орловская область","2269","2128","77","56","0","0","24","0","130880957","22193806","122284818","17866552","6351","0","104269030","104262679","6351","2198783","2198278","141592","127","428487","103538","0","0","324949","0","0","0","0","0","0","0"
"Пензенская область","3055","2846","183","159","0","0","12","0","192100244","12141983","184120438","11581870","17109670","72466","190395316","172404700","17990616","3673060","3396657","107912","276403","609880","216928","0","0","392952","2934","1775","0","0","1159","0","0"
"Пермский край","7696","6734","567","252","0","0","327","38","750866373","112067223","704410885","90770372","81141389","957161","703668802","621893601","81775201","10999971","9888770","541216","1110150","1914918","353795","0","0","1561123","131338","12714","0","0","118624","0","0"
"Псковская область","2098","1777","292","135","0","0","161","0","92093231","10820458","92493683","10288719","9710676","58128","91783422","82204964","9578458","1475571","1305174","125007","170208","597073","161026","0","0","436047","11479","3917","0","0","7562","0","0"
"Ростовская область","8655","8216","289","210","0","0","79","0","836769059","114758782","825676513","111606809","45988","0","710172609","710126621","45988","15109636","15108758","654467","878","2345965","241915","0","0","2104050","0","0","0","0","0","0","1955"
"Рязанская область","4702","4050","609","371","0","0","306","0","233001279","41557464","220807780","39483228","38492894","1392575","220010026","180335222","39674804","4266990","3797433","256976","595820","940316","336034","0","0","604282","110075","5774","0","0","104301","0","0"
"Самарская область","9117","8608","473","377","0","0","96","0","751118796","87997200","730636023","88240155","108315758","558963","775720845","637011593","126070906","16435039","13838153","461608","2600703","1888145","423328","0","0","1464817","23833","18028","0","0","5805","0","0"
"Саратовская область","5090","4740","302","198","0","0","104","1","378961246","16357513","373872514","17336294","19211824","714821","377024864","356480329","20544535","7739792","7452910","504483","286877","576367","323891","0","0","252476","92653","7964","0","0","84689","0","3387"
"Сахалинская область","2113","2016","69","44","0","1","17","12","965034062","594472195","980673751","620245744","16219703","0","377284230","360426916","16857315","6999234","6892576","620655","107338","13624170","482193","0","13058230","83747","798","798","0","0","0","0","0"
"Свердловская область","9990","8465","1352","256","0","0","1044","0","1060447668","109131083","1032645167","106276301","120341393","5226646","1067576572","933037437","134539136","21334234","19621552","1214732","1690166","2669288","271084","0","0","2398204","1150665","13775","0","0","1136890","19","2764"
"Смоленская область","2951","2749","199","168","0","0","28","0","202765541","11270118","200626165","10639823","14553382","28625","204511101","189986345","14524758","4516395","3885306","256471","113246","430599","227086","0","0","203513","3197","2613","0","0","584","0","0"
"Тамбовская область","1746","1631","103","59","0","0","44","0","169953718","43037406","164933748","40903780","18848958","415293","148281857","123897933","24383923","2970227","2676495","128442","294293","900229","257031","0","0","643198","20021","5698","0","0","14323","0","309"
"Тверская область","3875","3247","497","115","0","0","383","0","380466332","62787676","369722476","57813505","5201266","9460","309499443","304873058","4626385","6572974","6522606","476342","50513","1270424","613006","0","0","657418","244","244","0","0","0","0","3276"
"Томская область","2653","2380","253","96","0","0","166","0","278484393","14101018","280874979","13997310","19117544","86371","281309375","266562877","14746497","5748041","5525852","28333","220797","627346","52766","0","0","574580","40096","5467","0","0","34629","0","0"
"Тульская область","5419","4927","460","221","0","0","241","13","311510191","21875677","306932695","19592152","27794761","78338","318943871","285045055","33898815","5087980","4750140","170061","283480","1886591","330677","0","0","1555914","95497","3714","0","0","91783","0","395"
"Тюменская область","3217","1751","1445","121","0","0","1341","18","1025467265","243325870","917864840","382364755","33085822","846993","699425444","672629010","26796434","11322651","10813595","910848","509055","8994238","267775","0","0","8726463","15509","937","0","0","14572","0","22712"
"Ульяновская область","3902","2531","1297","130","0","0","1165","33","175000529","44029202","170466787","41678878","27399591","2544159","161959521","132198349","29761172","2820232","2335574","203668","478099","1292700","446651","0","0","846049","98487","16332","0","0","82155","0","0"
"Челябинская область","7448","6931","326","205","0","0","70","69","593739604","29866185","572564605","30654864","47151932","0","590117235","543631488","46485747","11613355","10978270","521804","635085","668853","250286","0","0","418567","49520","2530","0","0","46990","0","1720"
"Ярославская область","3490","3210","269","67","0","0","202","21","332426568","54624515","327223434","52040441","40042117","390837","295103775","257774270","37329506","5292697","4814523","159822","478227","1127323","456799","0","0","670524","53271","774","0","0","52497","0","0"
"г. Москва","33741","29790","2306","926","1","0","1379","0","5365862654","2298387810","4665242395","1803272626","5045918019","210861029","8925650426","2850077752","6075572675","149590174","59528680","765468","89963065","41071650","3054882","666","0","38016102","10445726","1355982","0","0","9089744","0","186597"
"г.Санкт-Петербург","14379","10955","3134","318","2","0","2818","0","1970595253","791351493","1901250556","773764128","709053856","6994858","1996894779","1113393432","883501350","31450671","21623748","387358","9933606","19968096","3918816","62","0","16049218","408582","142433","0","0","266149","0","5"
"г.Севастополь","607","511","72","70","0","0","2","0","56908679","7536323","57715560","7626668","151472","0","50240364","50088892","151472","506122","504607","3375","1515","76637","74911","0","0","1726","0","0","0","0","0","0","0"
"Еврейская автономная область","446","372","62","12","0","0","49","2","102868654","10867038","102166805","10704087","1285474","10897","91574454","90223782","1350673","1690789","1670985","374840","19804","233220","187909","0","0","45311","415","90","0","0","325","0","67"
"Ненецкий автономный округ","270","203","14","2","0","0","6","0","258738137","866981","264451449","893629","0","0","263347683","263347683","0","5793179","5793643","0","0","19666","1613","0","0","18053","0","0","0","0","0","0","0"
"Ханты-Мансийский автономный округ - Югра","5381","4659","673","201","0","0","482","0","3274609489","170285816","3205182119","165283785","86485617","7590130","3109532434","3018030471","91501963","65130515","63896002","1219068","1306530","5628199","257395","0","0","5370804","25386","9982","0","0","15404","0","0"
"Чукотский автономный округ","251","229","21","12","0","0","9","0","54701035","986774","54335678","1052115","0","0","53288381","53283563","4818","1172289","1172211","0","78","8097","3994","0","0","4103","0","0","0","0","0","0","0"
"Ямало-Ненецкий автономный округ","1770","1587","158","33","0","0","124","0","5184641161","1681850542","5099119922","1667991151","3218501","1709624","3446871832","3443960673","2911159","73619176","72866929","694121","56837","39215859","11667","0","0","39204192","36745","482","0","0","36263","0","5457"
