GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69
    Ульяновская область;4298;59;0;0;33621;191;294;3404;4594;1047;686;469;364;169;14;19;7;7;2235;136;848;5434;533;1301;2752;4181;67;98;23472;104;36;4;0;1;1;6;0;277;3063;15092;7093;10698;21828;5664;8070;2228;1;2;16;7320;1471;1687;24978;3642;17720;75188;52;290;189799;80;970;3;0;6;33;110;0;13742;3257;0
    Курганская область;2699;106;0;0;27327;107;12;2667;2340;545;366;260;109;69;11;28;6;16;1584;100;993;3916;339;1064;1499;3762;198;121;16433;65;5;0;0;2;0;14;0;12;1968;6988;4281;6234;14154;1774;4030;1871;1;1;33;6022;1341;1980;18103;2586;13940;39103;162;525;111653;133;52;0;0;27;0;28;0;604;8603;0
    Свердловская область;17808;5111;0;0;145615;638;37;0;21929;6888;5366;4061;1984;1264;160;170;62;169;4188;1202;3872;19282;3098;6425;14994;18109;431;363;91795;178;65;3;1;20;32;7;8;24;0;21520;33629;57579;147231;21837;47830;17893;9;15;421;16869;19190;2204;25663;6860;25832;268442;248;1058;625652;206;761;1;7;98;978;2;53;2271;44060;0
    Тюменская область;6440;1167;0;0;77203;753;75;3554;5295;2200;1642;1597;684;427;69;38;41;110;1759;772;1268;8099;1301;3421;7749;12157;776;294;38861;237;70;0;0;6;7;51;18;49;2541;16983;12587;20054;62533;9496;20161;8675;2;12;242;6386;7427;2503;36064;9753;47921;209398;395;693;434399;274;660;0;0;43;156;77;220;10519;101618;0
    Челябинская область;13720;97;0;0;97743;716;5;9566;12623;4501;3858;2171;1399;733;59;89;22;82;4318;1169;2997;14443;1975;4602;10185;14508;280;326;72303;182;35;5;0;14;21;267;18;5;3585;17730;33432;62182;113375;23687;37495;10559;3;3;181;24142;23900;5988;64779;14940;61439;273449;240;1327;697458;219;607;6;0;123;662;198;32;750;12172;0
    Ханты-Мансийский автономный округ - Югра;6530;45;0;0;125370;2017;491;7423;8013;2397;2422;2774;847;422;51;59;18;31;4755;4420;1462;14537;2478;14261;29064;24279;1486;1037;94116;773;226;3;1;8;20;425;86;20;8190;30949;14789;31567;116608;14686;24716;6969;5;6;58;27745;108788;2357;65647;19365;202469;794871;1009;4394;1423412;770;5616;19;22;87;1024;786;2060;11528;4278;0
    Ямало-Ненецкий автономный округ;2309;47;0;0;45277;1267;262;1928;3334;744;639;800;183;102;10;36;12;22;2050;2102;402;3280;1240;6040;7201;10612;768;901;29817;347;210;0;0;0;7;357;35;259;2241;9378;2975;5416;26882;2931;4866;1230;2;5;102;4854;18409;810;15137;10198;87678;191438;404;2276;375526;432;2789;0;0;0;301;225;211;147635;4358;0
    Республика Алтай;1052;25;0;0;8668;163;14;763;1312;261;122;157;32;34;10;4;1;2;573;40;152;1186;176;471;615;1533;36;105;5835;33;17;0;0;1;2;11;10;14;471;2023;837;1258;7802;524;1927;1565;0;0;3;1833;384;170;2468;531;2528;6227;14;239;26533;47;197;0;0;0;37;6;127;553;2392;0
    Республика Тыва;857;2;0;0;7234;76;11;736;1104;104;51;70;15;10;0;17;0;0;690;47;93;776;112;374;573;1031;24;26;4747;30;9;0;0;0;0;2;0;0;445;1503;488;554;2259;209;494;0;1;0;0;2067;517;134;2282;578;3935;12668;10;93;27432;18;103;0;0;0;0;8;0;0;0;0
    Республика Хакасия;1489;19;0;0;14430;150;13;1610;1799;413;224;196;71;42;1;27;7;8;752;72;326;1913;233;653;1224;2561;64;81;9456;57;21;0;0;2;2;10;8;12;728;3026;1895;2452;6932;822;1951;60;3;2;15;2084;664;404;5569;1242;6351;34406;37;275;65773;41;278;0;0;14;59;7;114;223;2125;0
