GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69
    Псковская область;2721;62;0;0;24760;320;26;2665;2603;629;379;258;122;111;8;68;6;5;886;80;719;4178;497;744;2681;3229;82;71;16397;100;21;0;0;2;2;39;0;12;3442;8450;4958;6562;14411;1746;6295;849;4;3;6;3880;1228;1356;17946;3586;10279;81507;62;222;157611;88;295;0;0;17;44;18;0;21;10125;0
    город Санкт-Петербург;35040;39;2;0;263851;3890;229;17829;52925;18901;16019;10675;7177;5338;702;74;48;404;6893;6212;6434;34356;5594;6422;32317;30559;323;439;205309;728;550;37;15;12;46;695;607;227;30523;184719;137729;264304;614976;107325;260201;107801;8;26;1260;43387;102003;11917;146475;37593;75420;718841;273;1691;2360614;1239;31929;74;12922;231;3705;39163;133635;58876;16650;239
    Ненецкий автономный округ;183;81;0;0;2405;158;5;75;76;26;25;19;7;5;0;0;2;5;46;14;26;136;20;189;118;480;134;101;750;52;32;0;0;0;0;5;0;1;61;133;103;174;288;47;94;0;0;0;1;186;199;29;377;104;1934;2028;5;42;5409;5;115;0;0;0;0;69;0;28;1806;0
    Республика Дагестан;3930;0;0;0;26322;194;11;3623;3004;798;383;590;112;126;10;10;6;14;2357;259;1667;2595;321;1129;1918;2821;17;9;18832;137;26;0;2;0;2;0;0;9;2217;3297;4513;4196;22454;1894;6045;1344;1;1;19;4733;2196;1580;5748;1352;9644;32159;7;29;94123;128;477;0;166;0;63;0;0;3089;0;0
    Республика Ингушетия;612;0;0;0;4019;7;0;635;523;106;60;110;18;10;3;13;0;1;630;18;78;226;56;154;651;491;0;1;3261;1;2;0;0;0;4;0;0;0;250;400;245;483;2093;199;274;241;0;0;0;938;113;45;334;119;610;4625;0;1;10256;0;13;0;0;0;54;0;0;0;0;0
    Кабардино-Балкарская Республика;1660;10;0;544;12732;9;22;900;1402;412;232;272;58;41;6;9;1;0;860;56;406;1411;160;478;664;1248;9;6;7263;7;0;0;0;0;0;0;0;22;424;1755;1795;2851;10214;982;2679;986;0;0;0;985;244;122;1546;344;1333;5349;2;23;26961;2;0;0;0;0;0;0;0;343;185;0
    Карачаево-Черкесская Республика;1163;3;0;0;9675;10;0;1246;1219;193;220;195;42;37;7;9;0;3;605;30;249;1145;114;388;1149;1093;12;16;6764;1;2;0;0;0;0;0;0;0;672;1930;844;2624;8624;820;1871;1211;0;0;7;1144;221;202;2133;349;2537;19918;3;29;41205;0;72;0;0;0;0;0;0;0;14;0
    Республика Северная Осетия-Алания;1368;0;1;0;9336;9;0;1368;1423;364;178;223;57;50;18;4;1;3;716;38;242;876;143;382;688;401;1;1;6879;1;1;0;0;0;0;0;0;0;834;2379;1460;1794;8634;690;2286;2225;0;0;6;1146;273;195;1656;462;2294;9200;0;1;30623;1;12;0;0;0;0;0;0;0;0;0
    Чеченская Республика;1383;0;0;0;15980;11;3;1912;1810;245;295;325;56;30;18;2;0;20;1223;26;193;1173;148;494;1652;1845;0;6;9518;5;3;0;0;0;1;0;0;3;1097;2331;845;3398;12131;588;1459;2140;0;0;59;2380;209;162;2352;445;3194;22933;0;16;51537;7;27;0;0;0;23;0;0;26;0;0
    Ставропольский край;7694;19;0;0;96287;159;33;10296;10668;2703;1795;1459;646;424;89;69;23;30;4782;379;3818;13394;1350;4271;7402;9001;15;45;61914;85;16;2;1;5;11;6;0;29;5364;16943;15142;29852;68619;9615;19597;12353;4;6;52;13671;4983;3070;46312;8261;45635;167394;8;137;425248;103;224;8;24;39;357;4;0;1947;320;0
    Республика Адыгея;1254;3;0;0;11024;7;4;1359;1378;385;258;186;71;69;11;39;0;6;601;34;315;1271;190;482;844;1498;8;13;7412;2;3;0;0;1;0;0;0;4;1226;3732;2979;4379;11797;1283;4415;1879;2;0;18;1701;451;415;4346;1503;6220;22019;7;69;60879;1;18;0;0;23;0;0;0;233;48;0
    Республика Калмыкия;984;1;0;0;8859;46;17;1630;1075;187;69;58;26;8;1;29;0;0;578;20;266;1099;89;349;331;699;3;3;5792;24;3;0;0;0;0;0;1;17;1205;2095;1452;1182;2707;420;400;38;3;0;0;2803;404;424;3230;494;4230;6665;2;7;26997;44;47;0;0;0;0;0;108;294;52;0
    Республика Крым;4453;3;0;0;44211;423;18;5075;5720;1315;649;594;140;130;22;93;16;14;3034;651;1870;7002;938;1678;3104;4868;14;14;31752;95;110;15;1;10;39;35;59;14;1964;4365;6186;10462;21436;1569;5896;2157;5;2;12;7265;4285;2114;21108;4305;12523;40871;10;66;136906;75;1533;9;171;63;1126;900;2583;2406;169;0
    Краснодарский край;19522;2;0;0;193515;1497;71;19847;26042;8046;5517;4140;2573;1844;262;277;50;133;9757;1777;6779;25892;3602;7368;16452;22940;64;53;135642;446;256;9;9;37;81;112;224;51;17470;69570;61717;94441;258228;38619;100676;48296;25;10;425;29958;23758;8030;89111;26867;94565;428142;62;251;1202319;508;16714;58;11213;98;1335;5430;50752;8831;1;0
    Астраханская область;2724;0;0;0;21868;4233;4;2871;3641;816;447;381;139;87;7;85;7;5;1462;422;787;2989;287;931;1257;2414;6;6;16384;1742;381;3;1;5;13;1175;386;0;3043;10729;6060;7162;18868;2291;4731;1108;5;2;20;4819;4976;890;10900;1832;10505;26243;5;26;106050;2216;7704;6;730;35;669;8412;25482;0;0;0
