GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49
  Саратовская область;85 155 345;48 056 123;78 727 576;43 261 940;384 064;95 986;46 446 295;84 368 451;7 162 355;5 068 701;2 735 975;4 929 365;1 063 796;757 354;1 016 977;1 455 630;0;45;1 718 998;3 473 721;919 711;689 378;355 424;137 874;23 658;4 470;69 761;121 318;13 200;4 695;13 765;3 954;10 236;30 266;7 646;4 368;4 260;7 421;2 042;1 050;77;24;77;151;61;25;17;49;90;38
  Сахалинская область;71 802 018;27 111 950;66 112 470;24 267 623;579 163;98 315;37 552 964;45 878 783;6 763 972;2 913 393;2 018 436;2 229 516;827 048;329 347;704 236;571 150;0;0;1 314 200;1 658 441;691 495;274 945;354 821;113 437;17 893;4 431;224 345;462 871;101 388;61 201;39 897;2 181;3 990;8 978;3 502;1 442;1 681;2 576;842;453;105;16;189;510;497;146;30;79;57;30
  Свердловская область;470 789 213;330 996 074;401 071 687;247 598 875;2 297 027;3 180 853;65 749 275;170 264 351;77 443 265;84 654 213;3 966 473;10 101 709;5 171 782;5 389 827;1 402 190;2 829 603;0;0;2 564 285;7 272 106;4 166 935;4 964 738;2 400 302;832 861;57 850;19 599;0;16 773;4 875 500;6 405 617;73 746;117 612;15 851;61 468;36 694;29 822;7 046;16 385;9 036;7 834;281;203;0;31;26 321;20 894;32;45;264;129
  Смоленская область;73 322 338;40 898 119;64 360 073;32 208 770;303 381;157 129;13 659 033;24 424 159;10 717 143;8 873 180;803 970;1 422 492;744 194;609 410;280 464;391 034;0;0;523 506;1 030 561;565 451;539 038;441 701;136 517;5 322;3 969;16 571;15 980;576 476;577 287;29 453;6 876;2 759;8 077;5 945;4 011;1 046;2 204;1 411;1 143;74;38;27;45;3 355;2 076;4;6;48;33
  Тамбовская область;38 657 988;19 664 984;35 741 171;17 927 034;25 006;42 681;18 489 814;28 667 661;3 136 389;1 798 067;1 102 577;1 677 949;462 423;263 543;414 312;501 417;0;0;688 126;1 176 516;403 454;237 681;140 978;57 882;2 070;1 936;17 884;17 419;7 865;749;25 864;7 253;3 357;13 323;2 898;1 757;1 302;3 835;851;448;95;10;53;91;24;8;10;17;35;11
  Тверская область;86 569 376;28 028 274;80 641 396;24 873 717;319 246;90 727;34 584 967;60 564 263;6 965 161;3 328 100;2 064 600;3 616 714;1 056 512;504 343;774 691;974 993;0;0;1 289 909;2 616 080;909 366;481 159;364 282;54 253;28 209;6 904;17 983;35 943;1 513;1 602;0;0;6 593;17 435;6 225;2 254;2 490;3 807;1 431;492;0;0;40;189;13;11;7;22;55;26
  Томская область;95 058 861;34 470 343;86 015 466;29 806 876;241 384;41 748;24 311 809;44 625 175;10 094 778;4 909 551;1 392 539;2 524 091;1 051 893;498 213;491 381;711 564;0;0;901 158;1 803 123;859 996;442 411;459 641;107 728;9 426;3 037;74 749;145 886;360 308;198 007;7 089;2 683;5 318;15 267;7 769;3 696;2 305;3 900;2 130;1 028;49;18;190;1 007;4 886;2 362;8;16;55;20
  Тульская область;71 100 139;35 354 583;67 059 110;31 641 373;223 367;132 590;38 426 085;74 225 512;6 049 152;3 892 308;2 071 753;3 638 637;836 603;546 876;720 958;1 010 732;0;0;1 350 765;2 627 843;701 585;500 553;344 309;105 960;17 049;4 096;247 577;541 180;59 566;24 693;162 744;4 422;6 267;21 017;4 953;2 860;2 278;5 096;1 122;779;243;23;353;1 337;243;136;16;102;69;41
  Тюменская область;184 177 327;131 136 240;152 372 048;93 582 609;674 682;519 440;37 091 578;83 054 941;34 275 215;37 946 980;1 119 046;2 539 160;1 853 773;2 003 507;435 447;957 222;0;0;683 598;1 581 898;1 414 001;1 762 963;1 038 169;433 946;11 330;6 218;1 075 055;2 350 499;2 345 453;3 052 492;20 968;11 371;5 751;21 835;14 494;10 982;2 240;4 117;3 723;2 149;122;87;3 123;15 897;10 228;8 476;17;72;144;84
  Ульяновская область;56 119 519;24 596 175;50 915 870;21 380 119;157 176;56 728;38 541 551;67 219 763;5 611 132;3 259 130;1 606 238;2 257 566;684 464;335 231;556 881;757 891;0;0;1 049 356;1 501 095;599 233;301 796;219 024;66 996;5 418;3 602;645 698;1 755 753;124 177;134 131;2 296;33;5 838;16 856;4 831;2 258;2 388;4 407;1 483;531;28;7;713;3 918;325;280;35;20;28;18
  Челябинская область;191 220 274;93 166 509;173 382 277;98 127 995;856 776;253 978;83 382 160;148 825 235;19 849 694;11 935 745;4 624 550;8 288 180;2 114 396;1 295 449;1 630 327;2 263 162;6;191;2 994 206;6 025 048;1 760 231;1 165 071;914 627;290 018;24 030;11 562;377 528;409 525;652 142;530 555;228 293;59 049;15 671;50 017;15 206;9 035;5 590;14 026;3 446;2 626;604;136;411;978;5 902;3 238;168;238;204;94
  Ярославская область;88 468 375;26 177 620;81 862 864;23 465 940;487 039;139 712;38 618 052;57 098 668;7 777 841;3 015 517;2 108 844;3 125 463;1 056 556;389 702;721 566;858 343;0;0;1 387 278;2 267 092;910 258;353 670;373 377;76 768;30 220;7 618;211 084;293 544;81 129;46 522;12 945;3 494;7 150;16 112;7 116;2 647;2 596;3 630;1 693;654;50;6;247;859;228;107;19;15;54;11
  г. Москва;1 742 958 062;304 386 972;1 593 931 621;268 135 649;8 053 483;2 012 391;1 218 510 545;2 154 091 012;174 597 730;39 245 641;74 275 445;129 722 599;26 559 376;5 907 401;22 921 010;19 662 716;225 931;465 298;51 128 503;109 594 657;24 385 216;5 641 311;5 572 753;611 324;478 568;87 330;188;68 113;62 405;23 861;116 401;16 026;109 569;274 775;93 160;24 580;34 054;50 321;18 984;6 201;434;62;1;112;458;126;893;735;1 641;237
  г.Санкт-Петербург;1 102 634 091;395 021 233;925 385 807;289 748 299;3 744 109;1 736 515;289 965 516;501 731 332;190 555 787;107 838 695;17 512 662;30 161 318;14 129 395;7 875 115;5 729 176;6 917 011;0;0;11 783 489;23 244 232;12 199 790;7 423 101;4 623 998;889 413;118 834;83 850;128 901;65 981;11 344 010;7 317 668;96 905;47 292;33 166;115 087;60 465;31 999;9 254;18 271;9 823;6 397;314;160;85;140;47 215;23 776;206;266;862;245
  г.Севастополь;20 665 632;9 077 392;18 961 701;8 048 830;112 619;15 072;24 548 332;41 326 563;2 175 109;1 074 285;999 205;1 060 363;224 545;108 887;350 370;628 721;0;108;648 834;1 037 155;179 108;88 351;101 529;40 070;1 721;1 363;464 869;803 121;73 703;41 636;8 395;0;4 924;13 931;1 589;781;2 485;4 293;524;243;65;7;2 370;9 318;977;499;15;12;22;8
  Еврейская автономная область;8 775 731;3 427 524;8 069 156;3 101 855;68 055;10 025;3 447 763;4 346 329;748 721;348 356;207 804;260 765;113 254;52 062;61 022;73 297;0;0;146 782;187 470;96 613;49 194;41 182;10 237;2 085;1 214;0;0;1 065;343;0;0;426;1 135;559;275;177;224;153;47;0;0;0;0;13;4;1;1;8;2
  Ненецкий автономный округ;843 973;630 592;778 334;492 799;6 179;0;5 844 596;10 990 684;68 511;137 904;69 723;124 880;4 014;6 993;30 446;56 181;0;0;39 277;68 699;1 726;4 331;7 019;4 148;0;0;282 073;494 781;3 182;8 521;113;0;403;1 073;72;34;144;167;26;10;3;0;254;843;29;21;1;8;1;1
  Ханты-Мансийский автономный округ - Югра;111 244 037;70 638 245;95 738 263;51 490 975;283 287;221 369;42 500 326;68 840 150;16 760 244;19 287 811;2 229 313;3 928 718;975 437;1 049 536;819 608;1 034 168;0;0;1 409 705;2 894 566;684 237;910 573;721 137;262 698;4 764;4 483;313 295;184 608;977 974;1 453 540;18 841;9 037;7 057;22 983;7 452;6 305;3 121;7 084;1 908;1 920;75;34;546;838;4 348;3 741;24;54;102;57
  Чукотский автономный округ;2 710 438;650 071;2 560 424;547 048;18 523;4 959;4 540 129;6 520 943;245 997;103 039;65 178;98 389;11 711;8 881;30 738;35 203;0;0;34 440;63 186;7 244;8 327;22 450;1 956;27;79;193 404;268 309;14 024;6 017;173;903;278;612;114;57;98;103;31;20;8;2;174;456;76;29;6;8;2;1
  Ямало-Ненецкий автономный округ;46 156 592;43 308 814;39 283 312;29 743 604;108 444;199 263;12 251 736;20 257 769;7 993 110;13 869 830;611 981;1 020 846;449 295;729 128;236 953;294 868;0;0;375 002;725 777;340 440;671 565;263 304;126 190;11 034;2 097;121 516;193 944;532 090;1 191 656;2 285;1 194;1 291;5 805;2 559;4 060;510;1 682;576;941;26;19;477;2 693;1 847;2 990;7;23;34;30
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
