GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49
  Республика Северная Осетия-Алания;25 160 128;13 127 424;23 326 779;11 760 206;239 937;11 058;8 351 210;11 515 834;2 175 268;1 393 850;488 389;645 039;304 832;184 183;157 479;174 628;0;-11;330 910;470 422;289 282;175 986;48 824;16 857;1 856;114;8 198;39 344;15 854;19 548;0;0;1 893;6 795;1 750;1 254;848;2 593;502;382;5;1;15;179;55;126;9;12;24;10
  Республика Татарстан;270 946 356;125 977 533;240 476 413;108 222 057;955 828;455 884;97 484 497;160 396 892;33 081 633;18 671 009;5 798 390;9 661 690;3 360 748;1 908 870;2 004 140;2 624 793;0;0;3 794 250;7 036 893;2 883 160;1 749 977;1 142 165;322 705;38 255;19 638;101 350;30 958;1 269 115;753 374;0;0;16 667;59 431;18 982;13 152;6 811;13 146;4 693;3 088;0;0;87;37;13 820;9 674;45;53;197;94
  Республика Тыва;7 793 336;10 856 338;6 753 612;9 541 478;135 075;75 343;3 278 484;6 339 686;966 613;1 299 638;104 117;194 461;73 289;103 943;40 029;72 216;100;0;63 989;122 247;54 749;80 244;40 960;49 559;7 837;3 502;92 630;185 882;51 688;61 963;83;0;621;2 603;649;833;264;502;174;155;14;3;314;1 982;366;596;1;2;7;7
  Удмуртская Республика;122 553 734;59 986 253;109 922 409;50 433 716;665 237;167 652;33 049 201;145 918 986;13 972 059;9 711 041;1 530 925;4 363 618;1 345 941;852 546;510 662;1 361 280;0;42;1 020 757;3 002 779;1 101 731;768 354;603 563;163 873;37 674;2 868;435 528;4 087 692;495 174;441 406;55 559;26 111;5 767;22 908;8 695;5 781;2 245;5 114;2 138;1 529;215;93;420;5 417;1 559;1 121;15;83;100;41
  Республика Хакасия;28 992 347;31 739 679;25 552 405;27 084 295;41 417;41 546;9 804 010;21 086 184;3 716 825;4 938 675;428 814;861 197;321 043;392 428;138 005;315 448;0;0;290 810;545 753;257 216;352 612;137 750;77 484;676;1 592;159 395;393 689;172 137;280 715;2 810;692;1 847;7 765;2 236;1 951;772;2 152;587;519;14;4;923;4 885;1 292;1 217;0;2;16;28
  Чеченская Республика;4 801 077;5 427 966;4 373 964;4 398 717;3 477;26 604;17 742 355;82 819 266;460 571;1 009 361;219 608;946 568;33 552;67 069;68 832;354 939;-355;-3;151 131;591 632;24 358;53 395;30 767;21 268;9;696;818 857;3 903 161;22 080;56 326;769;4;1 515;7 425;614;457;501;1 795;288;122;10;1;984;5 457;234;297;9;30;8;5
  Чувашская Республика;82 679 684;36 094 084;76 572 987;32 747 730;323 876;349 049;23 577 834;47 810 678;6 683 119;3 393 766;1 377 660;2 754 257;953 921;472 745;524 262;880 101;0;75;853 399;1 873 199;780 001;414 465;392 438;109 791;14 494;6 273;48 351;113 071;50 104;31 774;3 073;248;4 497;21 773;5 611;3 517;1 681;5 498;1 320;782;15;2;118;1 220;271;247;9;15;79;24
  Алтайский край;139 092 615;54 487 612;129 341 700;49 733 985;665 821;144 571;43 584 049;77 779 663;10 727 868;5 132 454;2 633 780;4 666 919;1 625 178;778 853;874 714;1 391 473;0;0;1 759 066;3 275 612;1 429 079;719 132;524 743;138 969;26 667;13 950;0;4 297;96;0;782;0;8 971;29 067;9 826;5 084;3 509;6 155;2 150;1 073;3;0;0;3;1;1;11;13;91;38
  Краснодарский край;320 911 589;231 151 663;297 286 571;209 246 009;1 217 593;719 808;183 852 486;486 032 622;28 670 690;23 950 424;11 210 060;29 426 710;4 362 011;3 639 753;3 741 716;7 129 205;0;0;7 468 023;22 292 797;3 881 532;3 390 165;1 231 096;544 951;85 596;36 077;239;23 038;1 355;5 776;3 148;2;29 898;156 320;18 611;15 583;12 547;47 375;4 386;4 174;42;1;3;39;8;16;135;311;353;233
  Красноярский край;192 947 388;96 697 339;179 447 874;87 542 767;772 582;321 688;98 725 930;140 107 148;15 410 301;9 504 720;5 704 638;7 723 752;2 250 224;1 350 385;1 845 518;2 027 431;0;28;3 859 121;5 695 932;1 915 624;1 217 484;843 843;300 285;27 362;0;260 146;411 987;56 551;51 054;240 165;36 423;15 729;40 770;13 278;7 566;6 466;10 156;3 373;2 039;719;82;377;3 813;319;503;69;180;166;96
