GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158
   Саратовская область;195419717;195208847;15456;22733786;22693022;226930028;2279;16899;24405;261222;10;59890;114765028;114691557;573449714;14606;1;6747855;6720442;40322649;292;30;0;480;0;-33;38;381;1;405720;405724;2028623;101;37698765;37705652;236960527;8136;11745207;11709258;3836;641225;643274;37;12992294;12960663;5272;180001;179644;533;0;0;0;180;180;11;4999;1491;8;0;0;0;173532181;173727195;14922;120681080;120865828;14800;3498023;3502784;323;350878;343941;193;10392710;10388832;3516;397674;397374;95;38068090;38085048;7697;141579;141912;117;0;0;0;948;239;3;864230;865896;106;30707611;30366661;15397;0;0;0;9485038;9558023;312;1104595;1185316;20;45104515;8778;21242173;4248433;4009341;801866;719231;2727336;336564;67313;44092;8818;388;58107;10;0;10077509;2015501;759225;151845;2388;1861268;0;0;0;0;31319682;6263934;4768566;953711;721619;4588604;5121445;1024289;256082;51216;27265;945808;1984;1277;255;93;1636;13;0;490396;5611841;7124;0;2;0;45104515;762735
   Сахалинская область;42814330;42070719;2613;3273808;3187290;31872426;500;267;267;2934;3;827;32929086;32504245;162522532;2539;0;255033;292359;1754152;30;0;0;97672;0;0;0;0;0;42276;42110;210548;28;4939962;4706776;30925367;1112;1048297;1028789;397;88592;88592;8;1373072;1336899;779;466395;452062;323;0;0;0;33;33;2;17094;16966;1;0;0;0;40691526;36973445;2458;33517360;29293809;2430;1717291;1730298;200;2307;2307;14;1324436;1324193;362;42573;41791;26;3560582;4138691;1052;526975;442352;120;0;0;0;0;0;0;3216307;3213562;63;12688727;12512133;2616;0;0;0;10874763;10147123;256;161507;161836;8;80020502;1549;13881254;2776250;3608866;721775;145133;1909342;37083;7417;9471;1894;181;5342;8;0;2450068;490014;298570;59714;21005;409295;0;0;0;0;16331322;3266264;3907436;781489;166138;2318637;2127528;425505;850431;170087;140252;115166;181242;100000;20000;0;161242;7;0;3159048;5286576;174147;803;4;0;80020502;3217934
   Свердловская область;1087627837;1077646612;57386;28391363;28382262;283822013;3982;40221;40159;441753;30;-55686;695659633;685381939;3427002526;55926;91;83470074;83430328;500769378;1249;2066;1991;64540;7;26367;26367;131833;3;953212;952139;4760696;328;226366134;226643496;1370215984;31616;49239028;49198950;15769;791460;790716;100;52815175;52745737;20740;960971;939484;2839;5468;5468;12;24715;25026;68;129569;8223;32;74;34;4;991605534;977371183;55769;706152050;692465209;55399;31187065;30415444;2420;7587268;7587764;671;58282188;57895411;14232;933484;931309;314;187056144;187324889;30559;880467;769121;659;-380523;4222;7;21907;856;7;2270051;6013568;480;138392700;138498602;58330;0;0;0;43188161;42367504;694;4194190;4106667;133;442544567;32663;122141001;24428199;28795236;5759048;3493927;15175224;1003229;200646;55676;11135;20963;168548;26;0;396198057;79239612;131004853;26200971;337809;52700832;0;0;0;0;518339058;103667811;159800089;31960019;3831736;67876056;61697536;12339505;2475174;495035;211262;11633208;137387;912825;182565;151988;-197166;44;0;4133967;65831503;530092;240402;26;0;442544567;5942342
   Смоленская область;115473891;115588965;10652;8668470;8665575;86655755;1336;139;91;1005;2;61445;74969714;75683040;378402389;10030;11;3329814;3017608;18105651;250;0;0;0;0;0;0;0;0;42995;41241;206204;55;24411626;24207655;148832117;4457;2885598;2871937;1775;854578;854178;26;3988855;3973546;2647;274630;274335;929;605;600;2;136;136;6;1619;730;10;0;0;0;108757475;109094359;10637;66478308;66871706;10353;4351963;4354805;578;11945935;11940676;2507;3646665;3637975;1631;42178;40424;54;22209950;21999419;4155;249395;249312;295;0;0;0;389;389;4;3627617;3472354;769;11454822;11374549;9478;0;0;0;8069313;8055092;2409;41449;41449;11;95306194;6397;9056509;1811303;1717019;343403;129642;1338258;5966;1193;2293;459;1;733;11;0;3995145;799029;253477;50695;4316;744018;0;0;0;0;13051654;2610332;1970496;394098;133958;2082276;2321544;464310;259604;51921;2572;409817;76918;162724;32545;445;43928;19;0;4881771;7203315;1658742;90950;128;0;95306194;3471554
   Тамбовская область;77917337;77552386;5168;22204183;22204990;222037030;1464;17120;16499;122563;10;215;34372824;34219816;171098973;4655;0;247096;245247;1471485;104;-13;0;11;0;0;0;0;0;126889;119578;597890;54;15766729;15599158;117999316;2342;4651006;4613435;1068;361268;361268;3;5184513;5147910;1592;93843;93831;486;0;0;0;769;769;11;4173;547;3;132;143;3;73133919;72976324;4929;52340979;52265882;4893;964504;964504;64;263376;259939;51;5213537;5177381;987;125765;119534;54;14170351;14133678;2198;53430;53430;89;0;0;0;2637;91;1;369879;369886;3;8685255;8484777;5374;0;0;0;4171917;4176261;87;113690;113657;12;13043404;3056;7693753;1538749;1247622;249525;64356;1224868;11014;2203;0;0;0;2203;2;0;2461224;492244;161955;32391;884;458969;0;0;0;0;10154977;2030993;1409577;281916;65240;1683837;1397036;279406;204764;40952;17517;220937;10;0;0;0;10;2;0;91198;1488234;35305;0;2;0;13043404;369621
   Тверская область;117080229;117054857;9985;6976013;6968648;69686781;1104;1426;910;10009;8;20338;84025074;84055258;420270670;9691;0;6599452;6599430;39596576;224;-237;0;0;0;0;0;0;0;106251;106186;530936;64;16470197;16463506;101696899;4597;2432158;2431871;1949;93473;93305;19;2881726;2839912;2937;188653;186631;1115;0;0;0;328;328;10;1966;711;3;0;0;0;107746240;107729489;9361;82889507;82879656;9288;6302896;6303587;331;429200;428619;144;2896500;2893815;1760;106082;105649;61;14967048;14958355;4427;163043;162984;160;0;0;0;0;0;0;970440;974801;85;14048619;14037955;10653;0;0;0;5484383;5490367;184;243254;243254;24;28753031;5965;16362818;3272566;2325541;465107;138602;2668857;431344;86269;0;0;5;86264;4;0;2757183;551438;109488;21898;3935;525605;0;0;0;0;19120001;3824004;2435029;487005;142537;3194462;2258672;451736;120329;24066;2139;425531;1205;216;43;61;1101;2;0;914066;3172738;706;0;2;0;28753031;974639
   Томская область;181780353;181686671;7598;9967780;9965822;99658247;863;5308;5308;58391;2;-879;143132726;143104853;715529762;7383;14;473938;496809;2980849;122;0;0;2;0;0;0;0;0;163367;163367;816835;50;23370102;23321174;149923625;3630;4292331;4255460;1749;213402;213955;6;4668027;4629312;2483;75722;73317;661;7;7;1;1153;1045;11;6735;65;3;-23;0;0;136381487;136428104;7335;106166059;106314066;7288;1913002;1913930;172;118141;117644;68;5799591;5790545;1585;161596;161596;47;22182649;22096424;3486;33908;33898;97;0;0;0;0;0;0;260624;273518;34;49526667;49379910;7919;0;0;0;4294519;4311198;210;2447103;2451365;41;18935213;4463;17622558;3524514;3331716;666344;316245;2541925;4408;882;3961;792;787;-697;7;0;6783388;1356678;255662;51133;17902;1287643;0;0;0;0;24405946;4881192;3587378;717477;334147;3829568;5159312;1031862;11490;2297;19820;1009745;907;0;0;0;907;9;0;1090877;6250189;90478;0;2;0;18935213;267429
   Тульская область;215084210;213803672;12115;14716628;14701299;147012994;1375;6382;6382;70201;3;9583;147890839;147275296;736375296;11655;0;2623691;2636613;15818600;236;1509;1595;11467;4;0;0;0;0;309485;308661;1543303;122;40865388;40442448;251056547;5866;7430185;7222959;2638;21769;21767;22;8662139;8422573;3691;701370;700817;823;0;0;0;2061;2061;28;16881;418;7;-1;0;0;210362252;208973531;11578;147494010;146527688;11484;15706134;15762212;443;454116;465887;206;11912686;11904340;2385;303877;303054;117;33867227;33387813;5635;622701;622708;191;92;92;1;0;0;0;137501;137122;46;27021631;26883203;12397;0;0;0;20915337;21456643;254;1877178;1899401;63;193479162;7021;22929163;4585834;5535346;1107071;812785;2665978;935;187;844;169;0;18;2;0;5560241;1112048;272909;54582;4105;1053361;0;0;0;0;28489404;5697882;5808255;1161653;816890;3719339;4387763;877551;231543;46309;428675;402567;2359;248;50;987;1322;5;0;1087703;5475466;2480;0;2;0;193479162;131900
   Тюменская область;379743606;379202835;12973;7274429;7260029;72600276;1288;423;411;4523;11;-6730;284813951;284728417;1423641948;12506;365;1236984;1202131;7210315;252;180;180;932;3;0;0;0;0;442512;442844;2214220;83;72803537;72432726;438140576;6313;12264628;12228698;3439;15454;15808;18;13169566;13126247;4954;1580993;1621097;891;0;0;0;1613;1646;23;2030;21;1;13;13;3;301575708;301597300;12446;212884625;212982039;12323;5033877;5045327;203;404742;404282;76;15690029;15611853;3138;439975;440272;79;65729045;65635990;6120;1481898;1563115;188;0;0;0;0;0;0;46886;37130;28;86251334;85733486;13256;0;0;0;6330986;6488318;248;11780142;11762960;32;162700862;7556;50855714;10171144;10345610;2069124;1083224;7018796;143629;28726;12426;2485;352;25889;9;0;13226916;2645384;1544466;308894;254321;2082169;0;0;0;0;64082630;12816528;11890076;2378018;1337545;9100965;29861243;5972250;3088150;617631;469404;4885215;230896;0;0;0;230896;19;0;6625462;36486705;0;0;0;0;162700862;36751
   Ульяновская область;98276244;96524559;9750;8007054;7997119;79971192;1067;3701;3701;40705;11;15716;68972413;67313757;339617888;9407;50;1722456;1722460;10349100;208;94;94;469;2;0;0;1;1;56348;56063;280316;68;15679118;15653251;98992428;4360;3417828;3417030;2026;39039;39039;11;3819388;3777906;2975;173191;172714;593;1599;1599;2;609;609;7;97;6;1;0;0;0;91175402;89436801;9431;67660692;65913688;9373;5382279;5400023;248;216011;213780;103;4308252;4311697;1822;56420;55767;65;13402011;13392513;4163;149734;149332;124;0;0;0;0;0;0;329900;330076;41;10709819;10718940;9866;0;0;0;3939607;3782101;180;37103;37103;9;24219593;5785;15281269;3056255;4097700;819541;426123;1810591;1341;268;0;0;0;268;2;0;3234003;646802;433171;86634;13964;546204;0;0;0;0;18515272;3703057;4530871;906175;440087;2356795;3088806;617761;130479;26096;27205;564460;0;0;0;0;0;0;0;9603778;12692584;2020;0;1;0;24219593;328872
   Челябинская область;584011786;584475687;38879;17776226;17773062;177730762;2319;14567;13704;150742;21;-8479;418549783;418396764;2091948523;37827;539;13676675;13534151;81204903;794;4093;3980;25521;9;43;43;257;2;784249;782921;3914604;217;111948353;112276797;682399298;20074;19162246;19600985;9595;618397;627219;39;21265498;21694003;12781;378233;377086;1646;470;466;6;7838;7766;41;104320;18458;35;-284;78;8;522663893;523416316;37892;370221244;370645951;37614;15735630;15724046;1247;10900486;10918711;518;22344127;22079645;8847;514840;513697;205;102785623;103094539;19234;334226;339066;322;-271196;0;0;9533;457;4;4814347;4821675;463;70785393;70435628;38877;0;0;0;13606536;13622278;1036;3402190;3416175;84;279031215;22230;68808396;13761680;11397319;2279462;799802;10682416;38059;7612;32126;6425;2103;-916;22;0;179103560;35820713;109780791;21956158;112575;13751980;0;0;0;0;247911956;49582393;121178110;24235620;912377;24434396;12672784;2534557;278443;55688;31480;2447389;26416;24201;4840;1422;20154;19;0;2149027;14821811;153474;14197;33;0;279031215;4791119
   Ярославская область;196507955;196249381;16673;6150300;6150507;61505056;1240;12;9;97;5;11627;128023454;128290393;641451206;16342;6;1170043;1154477;6926860;238;0;0;10;0;0;0;97;0;115373;115340;576698;104;50739472;50277833;303588443;7569;8609878;8575405;3153;373771;373790;33;10291993;10258417;4573;251584;251654;603;433;433;5;3374;3374;18;3900;883;6;37;1;1;159708139;160037080;16095;113367304;113825306;16015;6349563;6241035;448;387548;386200;203;8814670;8825173;2860;115278;115241;103;30556554;30517836;7282;128042;128009;168;0;0;0;17;0;0;666447;666350;94;40483735;39918425;16785;0;0;0;4072256;4094213;262;978020;978334;35;52821514;9438;35234736;7046946;6130527;1226101;709625;5111220;65731;13146;32;6;0;13140;10;0;5695183;1139036;880528;176106;1660;961270;0;0;0;0;40929919;8185982;7011055;1402207;711285;6072490;25301458;5060292;196656;39331;6145;5014816;75882;0;0;0;75882;10;0;348838;25650296;113264;5292;8;0;52821514;666293
   г. Москва;11472268279;11356726635;306970;428503720;427912286;4279125813;24907;929023;940786;10348655;97;4373752;7839506018;7733769380;38676399135;298406;18049;58658368;57689652;346140504;3639;1103891;1105102;5524046;34;641793;641667;3235253;83;10143296;10101907;50509538;514;2516092036;2513466398;15300372851;163838;469582244;465993966;66643;91078432;90914171;413;613943819;609652066;92092;59960833;58505111;15546;755425;761379;216;-22555;8954;56;3256526;2664307;422;-2031;8771;33;10407541546;10293496576;297980;6654447935;6551280218;294473;859445550;859183987;30535;58137886;57900010;5836;555226912;553505299;59656;10092932;10056842;494;2222005789;2213789067;158876;47640411;47249029;8338;472925;472963;113;253487;187624;59;478551511;478868694;2909;1593025231;1581752433;304350;87375447;87374140;3134;943518018;935962024;3431;119277148;118996237;405;6760564121;175790;2393658876;478731777;694720101;138944026;51713677;288074074;13633532;2726706;3424594;684919;123140;1918647;371;0;154790472727;30958094545;93928287785;18785657553;81341061;12091095931;3221372;644274;43;0;157187352975;31437470596;94623007886;18924601579;133054738;12379814279;13385245892;2677049180;3329043805;665808762;7434824;2003805594;22794817;8792004;1758401;2002087;19034329;395;0;35404022259;48789268151;5051465;248094;186;0;6760564121;476902592
   г.Санкт-Петербург;3741646082;3726363280;136044;148344702;147883151;1478700991;9726;7741;8566;94231;44;103709;2696789074;2689658745;13446762594;132739;123;13522446;12003564;72132214;1679;5513;4880;26342;14;37647;37661;189343;4;1731806;1642843;8214218;275;711091056;709100588;4320754747;76667;159983827;156367570;35330;1714049;1714618;135;170351266;166310582;46767;11546335;11336228;5222;177586;55746;43;8387;8317;60;248623;86784;105;-2577;54;10;3430319324;3417104146;133005;2435444788;2424813316;131809;157867745;157851194;11306;7158620;7232616;2287;193018489;191596237;31955;1720681;1631856;259;626196624;625221398;74086;8893015;8770514;2141;3237;3237;8;55340;5885;6;231971489;225702035;1592;481793625;479357141;135996;0;0;0;391612636;384171205;1811;129951325;129837506;160;4930119414;76407;467497899;93499579;151792208;30358444;11488537;51652598;962274;192455;610207;122041;22583;47831;86;0;4361849602;872369920;3725162037;745032408;10200939;117136573;0;0;0;0;4829347501;965869499;3876954245;775390852;21689476;168789171;1289390666;257878134;11410318;2282065;1023116;254572953;67487;72990;14598;6710;46179;98;0;399359636;1688750302;244744;15889;70;0;4930119414;225516181
   г.Севастополь;19514504;19436331;2984;1199625;1200788;12007883;400;0;0;0;0;135;13457987;13406382;67031869;2875;0;14550;14659;87953;33;0;0;0;0;0;0;0;0;55245;55245;276227;24;3856816;3823533;23123049;1818;776087;772282;787;0;0;0;930146;935588;1107;14294;14091;225;0;0;0;627;626;7;0;0;0;0;0;0;16343485;16330255;2863;11944911;11931244;2812;12538;12538;11;4348;4362;12;1185118;1177983;722;56113;55147;24;3132878;3141401;1726;7579;7579;14;0;0;0;0;0;0;3399;3399;6;3319451;3253821;3160;0;0;0;127228;126636;21;66575;66575;5;143681;1757;4258418;851685;159946;31992;210870;608823;1139;228;328;66;53;109;2;0;285604;57121;24954;4991;280;51850;0;0;0;0;4544022;908806;184900;36983;211150;660673;10289026;2057805;67331;13467;12263;2032075;5430;17000;3400;102;1928;3;0;18062;10307088;9650;0;2;0;143681;3303
   Еврейская автономная область;3215239;3197830;309;289532;296397;2963972;79;143;254;2798;2;0;1952247;1943433;9717209;280;0;565;305;1832;5;68;68;379;1;0;0;0;0;50578;50578;252888;7;624058;616975;3732782;109;291462;285847;51;0;0;0;298117;289888;91;10280;10408;194;0;0;0;87;87;2;0;0;0;0;0;0;2819843;2815742;289;2044892;2050188;284;71546;71696;23;9084;9084;4;208684;202503;45;50578;50578;7;426356;423651;102;8715;8054;17;0;0;0;0;0;0;957946;957946;8;393751;386927;457;0;0;0;957359;951827;36;0;0;0;16714732;254;533993;106799;153123;30624;11384;64791;124720;24944;42292;8458;1759;14727;3;0;8832;1766;390;78;0;1688;0;0;0;0;542825;108565;153513;30702;11384;66479;277186;55437;18899;3780;0;51657;3;0;0;0;3;1;0;0;277186;0;0;0;0;16714732;957945
