GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125
Волгоградская область;338258766;332563516;24649;14669624;14621958;146214539;3265;45690;45429;499721;63;64440648;60102378;333892336;6792;169089735;169089735;845429300;16721;2218456;2208288;14476548;240;6495330;6495330;38962540;645;0;0;0;0;0;0;0;0;507417;505150;2640925;221;68581252;67301762;421267108;12320;8088320;8070778;4512;321748;320917;92;12210178;12193453;6284;381243;371428;3595;262;258;22;133;133;4;5010;4699;65;44368;31188;17;124;0;3;306790548;301585516;23035;220591435;216658773;22810;7986886;7994387;647;1478361;1487491;289;7297145;7322370;4092;510546;508077;219;68641678;67329680;11685;283563;283522;385;0;0;0;218;36;3;30881942;30876802;279;37522567;37011544;27242;3040423;2893905;108;305975887;35090461;7018093;7359844;1471970;1476869;4069254;61183993;12236799;23795498;4759100;1487287;5990412;4163028;4388325;305975884;30843934
Вологодская область;308566262;295963470;25527;10772077;10775187;107751854;2137;1925;1920;21123;11;63559649;55999853;311110303;7351;178471532;178471532;892357670;17996;75004;187683;1230379;121;1168833;1168833;7013005;263;0;0;0;3;0;0;0;0;286152;243516;1255408;273;44358585;41887992;266637023;8115;6246155;6098352;3409;6955748;402758;23;13773373;7229094;4767;459750;444705;1740;23420;8175;6;0;0;0;1325;1276;35;2959;6510;13;0;0;2;302714293;292635681;24754;239026994;232865291;24622;9464163;8070928;352;1768759;1635753;164;7812307;7823421;3032;276683;234049;264;43992230;41645969;7655;373893;351862;265;0;0;1;25116;809;5;11264805;6045866;303;24683667;23918000;26414;5578748;4478877;69;385619139;19740339;3948068;1815620;363122;318099;3266847;2071311610;414262320;1914518836;382903765;399055;30959500;7961946;2173745;385619141;5844916
Воронежская область;468880653;453289429;51944;50846889;50795972;507959674;7194;4478;5480;60283;34;100416217;85460477;474780439;14300;226370664;226373803;1131868746;36125;1533576;1464133;9598201;204;4278711;4278711;25672230;569;0;0;0;4;0;0;0;0;403911;352853;1819043;296;69613376;69440198;478327192;21339;12380615;12206505;7419;185735;187825;73;15400879;15116557;10015;917138;844584;2576;673;673;16;10;10;1;26226;17892;38;24991;17739;27;-8;0;9;435715598;421369530;50319;349035161;335087877;49994;7788432;7796504;1218;1828437;1816944;653;13720696;13582173;7255;291884;244423;276;62301085;62090528;19896;748420;748782;444;0;0;0;8396;8513;3;2247445;2254728;325;43971911;42534964;52731;695096;709122;108;68947510;70289490;14057895;14750756;2950151;549377;10558367;95866859;19173368;16484404;3296880;558804;15317684;8641964;1864126;68948085;2250958
Ивановская область;103672757;102024876;22011;5217983;5188751;51884551;2209;1729;1729;19019;13;25000136;23178291;128768242;6052;60044831;60044831;300222926;15758;322540;312137;2046225;103;584053;584053;3504081;260;10006;10006;59929;7;0;0;0;0;61815;58088;299540;83;11184720;11155971;69721993;7507;965297;981330;2017;54712;58184;36;1226225;1237513;2934;60436;60059;827;2379;2364;12;249;249;4;4296;4279;15;9004;810;23;62;0;7;95963430;94377139;21032;77602022;76064432;20921;5854990;5854213;834;478379;479338;305;1098458;1130823;2002;61668;57942;80;10815100;10745231;7020;45994;45840;131;0;0;1;6625;52;5;539174;540944;194;8605316;8542017;22109;22393;22393;21;11026164;12885801;2577156;2766160;553233;219852;1804071;27625938;5525184;4734981;946998;228131;4350055;1943413;247999;11026445;527722
Иркутская область;451990990;451016937;32276;12953566;12906856;129068566;3090;12814;6007;66088;29;90208242;89524338;496928068;9359;252237118;252241627;1264208319;21905;281534;275616;1806818;213;679052;679052;4074309;441;2730;2730;21325;13;14;14;69;2;1116668;1116292;5726498;261;74347230;74105084;462107651;13621;19819663;19774164;5740;6858;4502;12;20990640;20919096;7789;2008447;1970921;4150;1104;1104;28;264;183;12;1875;1875;38;63658;10325;23;0;0;9;348294241;347832507;29951;246181602;245953211;29650;7245950;7232793;927;335651;336639;167;19012959;19066906;5380;1107579;1107026;261;72560742;72288417;12805;1852074;1849700;435;28;28;2;54709;32021;56;18864827;18830833;994;117897167;117382519;34205;7768640;7768640;63;370121769;47428989;9485800;12849265;2569855;621581;6294364;79845978;15969197;23230838;4646170;1001736;10321291;3239211;440138;370470391;17359710
Калининградская область;219486613;218919149;12059;22245029;22204110;222041100;1715;10777;10777;118547;25;38670618;38154327;211968473;3324;113876189;113876189;569380963;8275;201251;202587;1328075;98;643587;643587;3861519;257;1263;1263;10565;9;0;0;0;0;100725;100700;515479;93;40503424;40497263;266715710;5197;2226003;2214792;1551;154149;152019;23;2733666;2728554;2440;467285;466225;1082;736;736;41;109;109;11;2579;2579;15;16621;9064;19;1;1;3;132468059;132106971;11259;83863015;83553243;11034;5272809;5253536;1357;2260605;2256504;463;2471578;2465434;1422;68536;68510;87;37886491;37865418;4887;391522;391329;377;0;0;0;1138;756;15;3295275;3282850;568;92883516;92706477;12165;1896587;1594276;58;144950637;28813195;5762639;4752849;950569;246358;4565712;116787938;23357588;76337828;15267566;252608;7837414;25819257;11019177;144981125;3252243
Калужская область;353017597;352844270;18804;18834423;18836176;188361764;1904;724;724;7955;10;75250525;75219352;417885074;5311;194751808;194756791;973784779;13163;166574;170892;1120296;91;836915;836915;5021488;314;0;0;0;7;0;0;0;0;149240;146348;762140;186;50574698;50503214;315545716;9516;10829363;10784517;3106;826474;833665;103;12454976;12373421;4289;2480311;2225685;1560;406;334;20;35;35;8;40200;40251;49;65988;4719;37;404;404;6;317745521;317697472;17773;173131217;173485191;17559;83194217;83165094;1079;1070716;1075816;428;10943346;10742705;2806;147047;144187;177;47054325;46879968;9097;2204657;2204512;516;0;0;0;18304;8129;7;6969715;6972600;232;43221596;42758884;19412;1637974;1632920;56;106528201;42384459;8476892;6078925;1215787;546145;6714960;140603214;28120643;87291779;17458360;568679;10093604;7547934;1646924;106297468;6954298
Камчатский край;46591853;46474666;3043;7212379;7115122;71151224;848;3846;3559;39150;17;7295905;7323824;40687910;835;21726148;21726148;108630768;2128;36887;35934;235570;29;86221;86221;517328;65;0;0;0;0;0;0;0;0;301968;298669;1519893;60;5915298;5916446;40808811;1203;3727883;3726718;354;0;0;0;3976100;3969219;625;133578;132681;330;63;63;3;0;0;1;0;0;1;0;0;0;0;0;0;42049096;41928998;2754;31271650;31232453;2733;1577714;1513326;200;4633;4633;12;3704181;3707058;379;253242;249943;57;5173736;5157453;1084;64200;64388;96;0;0;0;0;0;0;2008841;2011109;64;8371364;8212736;3082;210951;210951;12;84698393;5764613;1152923;2755895;551179;361261;240483;7392940;1478589;3167768;633554;374661;470374;230338;5292144;84698394;1921961
Кемеровская область - Кузбасс;554910618;553666643;26339;6910477;6892878;68928767;2066;651;651;7166;14;103008113;101431842;563510088;7714;292239681;292240341;1461196516;18534;18788640;18874102;123730192;147;53041876;53041876;318251248;344;0;0;0;0;0;0;0;0;3188992;3161705;16151668;417;58378355;58452166;362293797;10661;16987250;17009345;3667;534396;520256;76;19347402;19566081;5756;465743;449496;2040;141;141;20;72;72;4;2474;2635;50;407515;74952;41;0;0;0;503666921;502588582;24528;419721995;418669881;24360;9284141;9266966;740;542344;543866;188;18742050;18742036;3494;3152146;3125878;411;51893658;51947606;10056;396354;396965;396;5372;5372;1;191503;20446;14;67724278;67546415;398;74180746;73771898;27052;2796987;2803058;246;857142873;39749483;7949898;9700754;1940151;1532477;4477270;122930763;24586154;34879514;6975902;1804897;15805355;13741235;256489;872115938;66310290
Кировская область;95194187;95127972;15873;8579583;8575811;85758090;2590;8;8;89;10;17627610;17636216;97978864;4481;48055684;48055684;240210319;11227;711536;691456;4532879;102;1436668;1436668;8620007;287;0;0;0;0;0;0;0;0;162534;157137;804443;250;16323927;16270984;121538046;7851;1973030;1939888;2438;10342;9204;35;2311057;2317059;3652;127484;122294;3821;318;317;29;12;11;4;1345;1256;24;450;828;12;0;0;0;82864557;82941216;15138;61957812;62073075;15018;2577918;2560835;337;172421;173214;155;1992429;1996495;2222;161717;154803;238;15904707;15880474;7552;85902;90951;256;0;0;1;289;260;4;165826;171818;168;14922952;14752737;19223;239321;255933;70;21690884;15591141;3118226;4115170;823034;414208;1880984;64250137;12850024;50860680;10172137;467470;2210417;3533501;193559;21690887;170883
Костромская область;62090687;60793215;6844;4428201;4417174;44171743;876;14;14;156;3;13261043;12193894;67743856;1952;34256311;34256311;171281555;4818;40748;39694;260218;52;127519;127519;765116;120;0;0;0;0;0;0;0;0;128768;128483;665746;90;8771243;8438046;52746570;3270;565545;560442;1048;-119719;2065;11;1076793;1192073;1727;182618;163427;1038;929;855;23;511;511;9;675;571;23;56195;4747;16;0;0;1;53450498;52605650;6496;42828467;42334567;6448;1551788;1543944;296;324345;317689;133;628238;624392;926;125854;125558;89;7818644;7486416;3183;161454;161378;164;0;0;0;1517;77;6;202373;176129;144;10210594;9815783;7635;76911;76911;22;20408754;6254355;1250868;3466846;693371;37415;520082;391022512;78204500;273985636;54797130;858213;22549157;1863291;12375;20408988;260403
Курганская область;62845130;62060815;6707;6006039;5992335;59923434;1236;3014;3014;33153;13;12461905;12038845;66883953;1825;31774418;31774418;158872089;4576;98185;99627;653107;58;296274;296274;1777650;165;6;6;412;2;0;0;0;0;92334;83830;430597;110;10101247;10042752;63564314;2642;1513731;1433574;968;417240;220849;44;2011703;1729709;1475;50697;42731;797;43;43;6;9;9;1;2040;1834;36;205588;1679;8;2;2;3;53686179;53218799;6299;41007109;40783541;6215;968403;957351;117;389897;375391;140;2846066;2799237;881;92143;83638;107;8343524;8182227;2481;38093;36483;140;0;0;0;599;190;1;231708;227506;97;9560697;9441533;7136;142069;142069;20;12984964;8218280;1643655;1273395;254677;79098;1309880;9267697;1853540;1347548;269507;82335;1501698;320036;46782;12984964;224824
Курская область;153995048;152930451;16204;29445602;29523589;295235890;3491;-112;645;7102;24;25664936;24562775;136459860;4240;67213097;67213097;336065476;10770;538546;537924;3526396;97;1114040;1114040;6684237;244;337;337;1911;11;0;0;0;0;283374;282956;1461950;155;22514608;22491442;164407511;6420;6935681;6829749;2157;9186;10141;26;7220732;7203730;3122;104665;98993;1199;1;1;1;0;0;0;5041;4990;37;1522;143;9;0;0;2;138505153;137712933;15378;103005735;102328603;15253;4699492;4700495;517;662485;661379;336;8441606;8425514;2018;275062;274835;149;21337840;21258892;6057;83191;83765;201;0;0;0;135;20;5;1809705;1814927;128;24013927;23714972;16304;3012483;3008807;52;46375467;15452334;3090467;2804306;560862;615821;1913784;37798226;7559644;4713412;942684;630836;5986124;3219221;2001;46375467;1814470
Ленинградская область;457044466;455815639;25721;21092542;20975270;209752684;2223;2904;4097;45057;19;96315627;95773779;532059596;7049;250263302;250263302;1251311956;18217;416895;401302;2630750;174;1355176;1355176;8131059;404;835;835;4199;7;6;6;38;1;567795;563519;2915294;304;69317069;68850794;433688480;11965;12472686;12409426;4298;184684;164008;85;14588640;14503779;5954;4258170;4166938;4471;66442;66442;40;64566;64566;12;23987;23972;52;93450;68258;31;0;0;0;393499462;392745119;24533;263109470;262778296;24249;47922025;47900188;1574;1855149;1855679;402;10640259;10676384;3902;559546;555080;292;65403865;64978295;11392;3999079;3997392;825;400;400;1;8046;8046;32;49056184;49059609;784;95221588;94660013;28774;6514954;6512809;135;553841995;64652284;12930457;11785925;2357186;886517;9686754;79647040;15929407;13371358;2674272;897010;12358125;9173333;82469450;551808723;49132420
Липецкая область;223798419;221387046;17730;27230891;26878924;268764431;2243;-10902;5699;62690;18;36055369;34353028;190294435;4891;106255909;106255909;531279446;12404;34909;89923;589483;99;736446;736446;4418681;268;45;45;1512;2;14;14;104;2;226186;222820;1152285;183;41161865;40867578;278785760;7282;11364206;11362388;2687;155853;156469;45;12106326;12112657;3751;716785;699323;1369;32;32;12;5;5;5;975;966;37;6130;4838;13;0;0;0;233699445;231723351;16905;167918475;166107512;16758;12491248;12469445;574;1669518;1670171;212;12559966;12580676;2560;224220;219749;177;38190487;38004761;6683;677032;672762;348;471;471;2;27;25;3;278672;329100;111;19463488;18899944;18430;4283512;4162640;110;292341827;10813532;2162703;3402952;680592;121596;1360515;31674282;6334853;8287909;1657582;161936;4515335;5254327;245569;292341826;326588
Магаданская область;41691766;38623334;2009;891079;890686;8906860;327;4;0;0;0;10157624;7885348;43807505;648;21721647;21721647;108615969;1375;16346;16193;106152;18;27660;27660;165961;28;653;653;3287;2;0;0;0;0;647379;647446;3361046;52;6293312;5498703;33961322;592;1762049;1760052;234;83;83;3;1936718;1935650;486;131763;131381;594;0;0;0;0;0;0;278;278;9;0;0;0;0;0;0;40665340;37866233;1867;31891079;29901670;1831;631806;584816;57;323320;323444;19;2142981;2139263;211;387369;387436;68;5209874;4450351;540;71653;71653;99;0;0;0;0;0;0;11099534;11088258;239;8004994;7736281;2283;1154301;1154301;17;158721297;2736005;547200;196130;39226;59040;448934;6883097;1376618;203134;40626;60317;1275675;1954504;2182287;159004321;11767349
