GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125
Московская область;3342031797;3333450585;177390;206075200;205051319;2050510722;14401;7117;8142;89567;83;674031832;671596983;3731087168;50013;1823382515;1823382488;9116407790;125471;4275700;4311619;28265048;777;12394073;12394073;74365311;1910;94265;94265;482283;27;132084;132084;660605;13;1001508;1008271;5242747;897;552534122;549805700;3468447956;98096;57190354;54822882;31759;1837453;1767093;596;70275051;67785093;43151;17522193;16146124;11600;54465;51289;122;18542;18504;23;17487;17622;183;1101084;840371;346;2088;2188;38;2975695369;2971837263;171265;2028766124;2028411713;169270;321929787;319438695;13311;24554975;24900504;4194;62211493;62469983;29574;976062;971517;856;519391149;517922130;94179;15649327;15512597;3834;132123;132123;11;249436;238943;64;17939053;17893365;2484;428923419;422410781;182681;16899644;16566780;519;597152580;524036289;104807258;132689727;26537947;9511018;68758293;934139754;186827954;423540207;84708044;10898968;91220942;104188009;50470582;598639264;17407654
Мурманская область;80772452;80702897;7330;6860719;6852225;68522228;1561;1806;1793;19722;8;13252883;13210095;73389214;2093;39651021;39651021;198255123;4853;230532;226507;1484890;68;386278;386278;2317666;141;0;0;0;3;0;0;0;0;226035;224319;1137301;85;17450193;17440706;111141540;2793;2090995;2114107;917;342179;308315;12;2713248;2709842;1590;989323;987696;2680;423;326;17;0;0;0;1910;3297;31;0;0;0;-357;0;1;98498608;98504358;6848;78832902;78849767;6791;2524420;2522389;190;43975;44600;61;4549569;4549037;853;224922;224027;78;11381927;11376288;2673;940623;937980;215;0;0;0;0;0;0;3480379;3476028;105;22148189;22076907;9543;5562048;5271245;23;116992042;19329523;3865905;3699979;739998;437121;2688786;24637654;4927530;3729334;745869;444467;3737194;22673956;30622690;116992038;3476115
Нижегородская область;897982482;893903969;81614;42995867;42455238;424552319;6150;2397;2596;28552;56;183394305;180509994;1003625814;23068;499514519;499514519;2497582241;57731;1528230;1472748;9654676;430;6885491;6885491;41314992;1115;1998;1998;9926;20;0;0;0;0;686382;684651;3516346;398;128790196;128643474;799312455;37061;22997719;22638341;13634;2548136;2552515;296;34136700;33601778;18963;1925907;1857768;4216;1277;1311;49;155;155;9;1942;3268;63;2527634;95871;81;7996;7995;20;799093571;795521007;79084;600590235;596638972;78544;44453663;44404658;2946;2177741;2161251;961;29564006;30130665;12888;681000;679756;379;119671473;119538423;35304;1916829;1956063;1111;2104;2104;2;2158623;179494;18;48766167;49489273;1136;110580106;109804264;83397;7338579;7322349;153;470407440;126142819;24650975;25577175;5113533;4354274;15183168;202618952;39912857;52595184;10517133;4454101;24941623;23845537;149607273;470771888;48269681
Новгородская область;79029372;78639960;8113;6656228;6656726;66565500;845;1027;1036;11400;26;13626647;13287193;73829906;2311;41141832;41141832;205709052;5638;213880;199120;1305339;95;527452;527452;3164715;208;0;0;3;0;0;0;0;0;227724;225473;1157110;111;14140320;14141948;88971323;3563;1170772;1157731;1145;867545;856150;55;2494322;2459177;1852;344027;333902;858;73;64;6;0;0;0;478;478;28;47200;29785;9;0;0;2;75740588;75366247;7662;52646512;52531723;7595;7547332;7539650;365;307976;316896;182;1267680;1270562;1069;225265;223097;110;13412589;13155770;3394;272716;263289;212;0;0;0;9252;550;2;1743157;1739791;175;11349803;11231199;8465;582349;582725;36;90770298;11432826;2286565;1566337;313266;287739;1685560;15938656;3187731;1958567;391712;295332;2500687;854148;308551;90770379;1733927
Новосибирская область;554917192;554934161;87719;59163263;59184174;591805153;9104;38813;38801;426823;63;101856986;101863419;565857466;25207;285276964;285276964;1426401309;61162;140258;510798;3349796;407;1784405;1784405;10734334;1052;735;735;9522;8;12;12;62;2;266446;240025;1227093;241;90844003;90506804;601963772;38194;12342594;12335259;13510;1308385;1308597;164;15283481;15229113;18831;824797;793686;2947;104512;91527;45;134;134;13;9535;9535;50;186091;62695;114;40;55;24;496701092;497760739;85740;377131114;378184639;85138;19075705;19137188;3230;3348919;3325176;1077;13727364;13859812;13091;262985;236430;228;82276217;82195056;36237;793906;781406;574;0;0;4;124841;33838;29;18756198;18757134;832;65150362;64097686;88008;1794301;1716658;129;320993473;100720048;20144016;30821737;6164343;1747683;12231990;401066163;80213241;131745616;26349118;2375766;51488357;41663610;6712936;337490680;19290234
Омская область;228169302;229622566;28989;16701699;16718519;167185102;3971;4418;4407;48481;29;40614883;41982885;233238206;8051;124225008;124225008;621125723;20120;86497;97264;637609;123;439986;439986;2639917;324;5;5;1370;3;0;0;1768;0;234055;233427;1206391;169;34707699;34779448;219371171;11440;10343971;10313971;4126;113580;113006;120;11153922;11140487;5983;625138;625614;1663;1535;965;25;592;587;4;2460;2206;47;5937;1738;28;0;0;6;201395044;203002622;27815;153614664;155227206;27628;3837182;3825517;586;914179;909236;501;11796634;11772523;3927;230916;230239;159;30396220;30431925;10711;605599;606257;222;0;0;0;1732;843;6;689354;691817;565;35325008;35183977;29682;10922565;10927435;83;60505308;30884219;6176841;7032874;1406579;503964;4266298;54641608;10928318;28082615;5616527;509315;4802476;7114842;1832889;60505310;683693
Оренбургская область;280893658;280527315;20197;9683120;9676282;96761898;2590;1432;767;8436;22;59176370;59076420;328202345;5790;171216716;171216266;856080331;13834;669231;668930;4385202;130;1203651;1203651;7221930;326;7178;7178;43005;10;15;15;76;2;845731;821600;4217593;158;31058881;30870508;195696957;8362;5274359;5219853;3196;553234;554118;54;7039368;6976053;4546;263796;261323;1490;25;24;7;41;0;2;2094;1697;43;18723;6889;22;375;375;7;200241252;200467845;18678;160305746;160627399;18517;2293365;2280181;281;630768;630508;245;5571377;5564697;2993;929223;905063;161;30529689;30302137;7785;241665;241415;299;0;0;3;7027;2095;9;4281163;4283684;344;91020288;90593602;20994;9586453;9586932;77;111981682;19986179;3997244;4086496;817301;479019;2700924;162955583;32591128;138293250;27658653;537064;4395411;3743869;1618160;111452743;4232186
Орловская область;76612198;76207101;10880;9877928;9843145;98431450;1908;31;5645;62091;7;12032573;11792315;65512713;2894;35935892;35935892;180811579;7395;116997;117126;767817;60;630129;630129;3780769;178;0;0;0;0;0;0;0;0;92716;92386;476642;81;14685572;14571553;96571110;4511;3030789;3009263;1335;6395;6375;33;3265015;3239399;1969;248785;232869;730;11622;1054;5;0;0;0;24688;24688;32;3609;1742;8;765;765;1;71224718;70921241;10239;49756868;49596673;10149;3527300;3511257;306;373114;372734;295;2883745;2871747;1263;88968;88637;72;14380593;14273166;4261;211282;210652;129;200;200;1;54;0;1;187882;187886;105;9627336;9493463;11166;1099168;1099788;34;14602379;7609551;1521908;2617257;523450;101245;897213;9473292;1894657;2652151;530428;102089;1262140;1967953;182668;14602382;182482
Пензенская область;136713098;136741778;17074;15560147;15574628;155746266;2324;5843;5804;63851;14;25333378;25352390;140845824;4729;67423139;67423137;336701261;11691;206559;200781;1316228;129;796129;796129;4776728;362;0;0;0;0;0;0;0;0;149728;150134;765630;176;20000763;20009044;129896046;7864;6827695;6821328;2620;9566;8821;45;7237429;7220212;3801;94042;88445;1366;79;79;14;20;20;4;2100;2085;34;12363;2314;32;0;0;0;124582288;124573902;16467;95297228;95243654;16314;2537866;2535767;460;389517;402771;206;7594088;7588704;2414;150048;149801;173;18558523;18575523;7518;55015;76099;215;0;0;0;1092;1;3;44605;46041;104;17396988;17284612;17786;1526081;1526081;64;17304002;15034616;3006924;2225879;445174;146254;2415496;18901213;3780243;2338879;467774;157658;3154811;2313550;1006414;17304002;31777
Пермский край;511659344;511875041;51219;12821322;12763115;127631747;3983;525;274;3014;11;103606641;104600349;581111923;14879;294309915;294309928;1471426637;36115;832849;900761;5904997;326;2653955;2653955;15923747;778;11352;11352;67928;23;0;0;68;0;1473076;1472493;7563717;408;76806653;76171520;470750939;22360;15084271;14928673;8935;219654;221580;104;19158306;19002310;12183;1133075;1087193;3911;889;4970;21;12;3;7;5885;6809;76;25864;20683;34;-304;21;13;419628679;420280349;49142;315677881;316867232;48752;9810881;9596885;1119;1096983;1098018;451;17656578;17672011;8323;1465948;1465352;399;72763985;72441483;21385;1137662;1128451;503;0;0;2;28199;27972;16;22997088;22995575;498;106328521;105649353;54065;8524378;8564102;170;507662601;60805361;12161074;14384467;2876893;1057657;8226524;123280813;24656164;42850145;8570030;1128580;14957554;66398034;3457306;507799570;22997804
Псковская область;55630008;55232451;9469;9371838;9333590;93335892;982;16034;16010;176091;12;10172773;9844079;54689322;2697;25352825;25352825;126753841;6619;34576;18795;123209;58;1581043;1581043;9486256;153;0;0;67;0;0;0;0;0;116128;115995;587215;91;7283765;7274208;49236304;3348;821921;819270;1023;2252;2252;30;1024511;1019410;1552;154833;153656;942;470;328;17;10;1;1;7759;8186;8;1720;1081;14;134;115;5;49589007;49254126;9038;37588039;37251220;8941;2938506;2950331;543;673804;673173;343;815926;812432;969;134357;134225;88;7319855;7307478;3160;121564;128309;140;0;0;0;142;131;6;2985663;2964446;475;6034350;5966733;9624;183162;183162;9;21334324;6986625;1397326;1547726;309544;157975;929807;7958572;1591715;2155412;431081;164144;996490;1216907;230209;21334325;2975373
Ростовская область;615515821;613541318;62272;48402585;47951680;479515501;7572;40406;39986;439836;101;103801001;103364241;574290753;16989;296711666;296711666;1483602874;42981;2886273;2874301;18842641;372;6818917;6818917;40913491;996;489;489;7437;7;0;0;0;0;669497;668936;3445333;438;120394760;119674567;777110513;33504;29517859;29260731;10919;837886;832647;213;35774331;35420676;15130;629093;601112;2643;3992;3969;68;2109;2109;31;3776;3979;90;38893;11819;75;977;979;7;570726058;568767681;59366;394936758;393630278;58654;27233633;27244724;3605;2725205;2772042;1007;30135183;31604768;10132;664347;663559;425;114487813;112352504;31866;497074;474860;600;2797;2797;2;27611;12609;20;27178352;27313647;1282;75906374;74927424;61940;1088365;1111995;113;585616543;78956021;15791205;19653748;3930748;1554577;10305880;122293996;24458801;23649746;4729947;1627640;18101214;12294006;16204907;585616551;27435691
Рязанская область;195913575;196980299;22292;13568874;13553273;135532743;2799;5437;5599;61589;33;35369880;36453237;202517986;6052;107534462;107534493;537672464;15407;444012;449053;2943786;164;1735617;1735167;10411002;410;1942;1942;12626;8;0;0;0;0;80178;80155;409873;171;32346826;32333998;203435694;9406;4280658;4256855;3308;43337;42610;60;4826436;4800911;4486;190396;184604;1404;304;254;18;8;8;1;5182;5168;45;11774;5212;22;0;0;12;163063431;161647797;21490;120418697;121392326;21293;6204076;6176904;623;591160;587575;241;4816080;4778375;3017;74817;74794;160;31314784;31295664;9066;154057;153506;273;0;0;0;1302;420;6;2394970;2394595;212;36252624;36066520;23041;369717;352421;38;36035205;12826145;2565233;2124755;424952;290600;1849681;32078468;6415699;4283328;856666;323632;5235401;6590511;168618;36446409;2384509
Самарская область;875519653;859485129;1146365;29138613;28574078;285741833;1473735;3079;2979;32758;26;194538089;181711626;1009608294;26577;493669592;493669590;2462125606;2153540;3286172;2716208;17806255;355;8294510;8294510;49761994;879;12557;12557;64840;9;2;2;12;2;435428;430004;2221551;291;115925135;115203403;731787440;37367;28224291;26873403;12604;259284;247323;147;30217445;28866438;20860;1889021;1565772;2920;3552;3517;39;158;158;9;9273;8375;60;35756;16827;94;-970;-970;7;732222503;717100607;1140666;559151069;543938986;1126416;27813044;27304072;23140;2112874;2100453;8370;29537690;28500613;12092;428818;422922;289;111287284;110475163;35134;1168741;1394175;869;7;7;4;37698;30948;21;7379700;7412914;872;153387457;151899683;95509;12681022;12686045;227;283987367;94037342;18807469;23481433;4696283;2792948;11318238;206746805;41349364;52290473;10458091;2892388;27998885;33123941;3984042;283987560;6990120
Саратовская область;267300257;266152564;32741;18514577;18373015;183724136;4035;18408;21419;235610;27;52572176;51692334;287172559;9244;134502863;134502863;672514418;22518;769728;709558;4651551;204;1523320;1523320;9139486;512;579;579;2898;1;0;0;0;0;236728;236409;1215603;187;46847650;46828215;295337209;16163;10697209;9916932;5854;454635;455132;99;12314018;12264598;7973;220883;226977;1127;1730;1518;11;187;187;1;2862;7351;33;7990;3492;29;0;0;0;224691508;223808078;31621;165181966;164383694;31340;3750754;3749623;601;460287;455299;320;11720365;11763505;5458;234731;233718;181;43167913;43042200;15270;171536;176613;264;0;0;3;395;276;11;2162399;2160872;395;46602590;46326819;32833;2109484;2112828;55;52795036;30114132;6022822;6126578;1225316;1055118;3742388;46639846;9327965;7831293;1566260;1078654;6683051;7954167;425159;52767267;2155629
Сахалинская область;86146988;85007307;5247;3934077;3924225;39242441;809;4539;1087;11958;11;20507847;19482878;108055670;1548;47190201;47190201;236309934;3688;230035;231871;1520049;34;820891;820891;4925344;48;0;0;0;1;0;0;0;0;103957;103938;537711;62;10294158;10243664;65405419;2227;2612999;2518801;659;156715;156715;10;3107581;2994761;1173;1997446;1734022;901;392;397;5;2429;626;3;106;106;8;4251;1503;9;0;0;0;84710098;84042262;4913;66378562;66063692;4830;3125949;3026804;461;15111;15111;19;2397270;2379526;624;103957;103938;58;10874293;10814428;2137;1851074;1674483;271;0;0;0;0;0;0;6428375;6436793;140;29146519;28476188;5688;1346260;1346260;26;183697041;11650617;2330123;1477262;295454;213494;1821175;58919394;11783878;1621050;324211;226406;11233261;2372780;18668722;183697041;6424805
Свердловская область;1314543280;1309177900;121267;38927890;38946087;389487772;8260;42716;42716;469862;60;241424791;237285970;1318217836;34264;661762761;661762761;3312530287;85776;22659120;22405732;146864004;758;65853425;65853425;395124700;1816;8326;8326;46705;22;21346;21346;122514;3;1672221;1663091;8598070;658;224561427;224030210;1399951534;62198;48011639;47662015;24131;2460462;2452429;401;56121642;55597226;31577;1605266;1578300;7069;6533;6803;52;427;427;14;23316;23332;155;261409;113879;202;0;0;0;1204615792;1199927311;117435;882386183;878825505;116442;38801087;38580134;4387;12147086;12164073;1266;52732922;53037030;22414;1666154;1656736;647;212157946;210932515;59696;1538511;1538431;1472;1929;1929;6;95179;27291;65;22276544;22110612;1621;156012636;155150664;125461;6605393;6703717;328;673347681;173168920;34633780;53826206;10765242;6326090;17542448;506310221;101262041;240995795;48199163;6767937;46294941;60779376;6986736;673361236;21779878
Смоленская область;139721935;138634910;20747;10602438;10597144;105971298;2526;872;872;9589;19;26165651;25393982;141083051;5508;69626897;69626897;349282239;14303;733577;585697;3839563;181;1521464;1521464;9147310;445;0;0;0;0;0;0;0;0;71946;70026;360765;114;25397136;25249417;163579075;8011;4192622;4174287;2565;1023763;1023528;95;5597150;5584609;3670;421489;417499;2297;819;813;26;154;122;4;-87;277;28;20314;8241;51;0;0;0;133185292;132319012;20481;83735131;83048600;19983;6392161;6394161;1051;14196733;14183215;4615;4425453;4398728;2467;71206;69276;111;23980449;23840830;7487;370399;370440;615;0;0;0;10780;4568;20;7411866;7321549;2149;13091982;12941670;19348;313622;316131;18;110878356;11156691;2231339;1538758;307748;249344;1674247;16849509;3369903;2216519;443300;264905;2661698;49738237;6017606;110878360;7310731
Тамбовская область;119709414;115144900;12157;22404791;22387233;226509329;2942;6374;6347;69816;28;23210593;19555745;108643019;3257;46368410;46368410;231822761;8055;50876;42291;277243;73;232986;232986;1402197;139;1069;1069;11647;5;0;0;0;0;124656;122508;632217;138;19871054;19463733;148959842;4615;6469465;5994371;1427;534767;536090;19;7398444;6924447;2168;92321;91016;1331;131;133;12;0;0;0;2336;3099;40;37506;1732;3;34;34;2;115386763;110907826;11623;88644072;84954752;11549;1179862;1180386;125;344297;344256;102;6754860;6361169;1329;117558;115409;132;18233192;17847729;4239;68189;68874;208;148;148;1;480;96;1;576081;576081;35;11033466;10858396;12946;659204;657699;35;16128176;8725756;1745154;1683611;336722;166897;1241535;16542125;3308428;4219346;843869;167006;2297553;1915441;69534;16128175;537696
Тверская область;210260030;176844748;20754;9621703;9505338;95053406;2297;1477;1455;16010;19;67208315;34652543;192511972;5857;102657434;102657434;513285739;14518;161972;166130;1089077;118;2015481;2015481;12092472;376;500;500;2989;4;0;0;0;1;96367;96339;503360;135;25168272;24486349;156830923;9046;2644318;2606641;2788;57339;57339;73;3324934;3259919;4214;332707;318540;2924;1934;1793;21;298;298;8;4184;5605;34;8998;8625;28;0;0;1;192666332;159437729;19466;158800408;126250424;19298;7484184;7461766;662;474153;470607;296;3859396;3847473;2679;95288;95259;135;21726872;21085154;8592;240702;240416;313;142;142;1;-6032;2262;7;1333864;1333789;247;21682703;21488626;23115;1365276;1356706;50;30902838;15940962;3188194;3391052;678216;257993;2251985;24075086;4815019;6647640;1329533;264418;3221068;3184910;3866365;30902842;1323349
Томская область;279741220;277034100;18102;13115782;13124231;131242291;1833;3223;3241;35654;4;54409548;52769938;293166676;5303;149371090;149371036;746854051;12589;169615;151502;993176;72;501783;501783;3010703;205;635;635;237537;5;0;0;0;0;118743;121864;632581;114;57897523;56886360;365693055;7497;3552282;3457730;2762;363562;305703;15;4160928;4104076;3902;166642;147435;1771;1253;1246;14;0;0;1;1676;1676;17;18605;11789;10;-13;3;10;216349211;213895196;17405;151063271;149778548;17263;2202475;2229584;325;386535;249189;134;4654522;4593147;2576;117890;121011;113;57797801;56802313;7130;94159;88846;213;29738;29738;3;14337;11745;3;1070474;1077948;130;66229573;65899914;19288;6411200;6165011;84;25144099;25671101;5134220;4718050;943607;499773;3690840;37814414;7562883;5824736;1164943;512335;5885605;5515873;1230946;26050637;1035351
Тульская область;258882569;257547202;26707;18617999;18617436;186174345;2532;4644;4787;52656;17;50668770;49688413;276001158;7458;127557857;127557857;637764218;18807;116057;113175;741249;106;631146;631146;3785643;279;5264;5264;29245;13;0;0;0;0;327487;321394;1653613;244;47705270;47466797;296347045;11440;10751976;10656682;3708;1261803;1261730;77;13247443;13142866;5227;1152614;1093654;1901;409;302;14;3;3;1;5416;7170;54;39701;20208;28;5;5;4;250730775;249910762;25570;183835673;183359407;25391;11586438;11576849;835;726098;716143;344;10974059;10911665;3601;323925;320529;243;42306168;42044192;10946;978124;981770;331;16;16;2;25528;15128;4;2875269;2873759;233;35915160;34015297;27783;4379855;4359017;137;214068231;24560175;4912036;7129715;1425944;673622;2812470;33832024;6766407;8324266;1664854;681759;4419794;6495727;2362459;214068097;2840595
Тюменская область;510172560;506237915;29789;10249322;10247820;102478894;2748;-672;1989;21883;34;106327251;105247493;584708309;8594;269736435;269736435;1348652152;20637;545129;539614;3537468;194;1378458;1378458;8270750;450;4162;4162;39536;7;0;0;0;1;697417;695715;3601969;188;92966616;90464302;563892856;12662;23444764;23000382;5000;1511362;1511339;65;28271627;27925438;7359;7001595;6884575;2243;948;948;8;11;11;3;2416;2504;39;288297;26016;15;0;0;11;427557441;426082476;28362;303360373;302194113;28122;7897143;7845771;375;330461;329680;164;24474708;24434613;4788;690758;688899;178;83938894;83754336;11892;6834741;6817553;452;3;3;2;42721;1067;5;15485706;15482907;147;129965006;126989020;30890;11197556;11200300;84;303548195;77559693;15511938;14969616;2993924;2138043;10379971;187466294;37493258;17835955;3567193;2982395;30943670;357178958;7299828;303548188;15281170
Ульяновская область;147306934;142398455;20654;6894128;6894557;68945582;2066;3101;3644;40076;24;37601663;32741321;181896095;5807;73811652;73812378;369062104;14372;457052;444384;2913190;130;1355840;1355840;8135045;306;728;728;3519;5;228;228;1141;3;127382;126807;652995;161;21529517;21515926;135865088;8588;4134128;4156672;2774;188904;188920;25;5525679;5503375;4021;259228;254546;1601;302;466;10;312;312;4;671;829;22;3394;231;8;94;95;11;134370673;129628892;19831;101589010;96886312;19712;9385153;9377433;408;450495;442133;186;3749494;3713965;2655;125350;125137;155;18945991;18882188;8101;200986;200960;312;0;0;0;1580;1449;7;768742;769011;160;16199321;15999328;21416;68313;68169;38;58484322;22074225;4414844;7018451;1403690;711707;2299447;28014243;5602847;7672993;1534598;719677;3348572;2251684;13051080;60911700;768799
Челябинская область;782968182;781186039;82498;25862672;26414402;264139956;4681;11717;11713;128837;47;147787577;146699818;814998995;22882;427461530;427461651;2137295992;58626;4243494;3648304;23916659;533;9078163;9078163;54468968;1211;68868;68868;370750;22;1110;1110;5678;4;1042010;1033028;5317389;440;140532866;140090086;883539648;39057;23772551;23603372;14836;781619;735680;255;26893675;26664046;19197;1171547;1144797;4551;10099;8379;59;532;504;18;12330;12254;123;78926;28926;163;-50;52;19;713380510;711212676;79997;513828177;512075666;79415;23861140;23808025;2361;14483441;14446899;968;24606570;24812195;13798;909103;898972;418;134177798;133654037;37129;1518801;1522261;805;294;294;3;15889;8801;45;7433635;7470884;1601;87310755;87523106;84071;6240983;6188898;184;286771749;78142329;15628466;18907387;3781476;1178257;10668733;253246685;50649337;117432211;23486441;1353969;25808927;15568916;2649810;286810191;7324346
Забайкальский край;47017491;46856301;4779;2723422;2688661;26886616;922;89;428;4706;14;9838603;9745903;54144560;1457;26360431;26360431;131802658;3219;16719;15153;99325;31;75357;75357;452068;96;6673;6673;10516;6;2;2;9;1;552823;552331;2835340;68;6238070;6206419;38245356;1566;1019359;982348;503;30044;30217;7;1217398;1208050;890;145301;130185;1852;-8;0;0;0;0;0;302;302;15;89520;101;8;0;0;4;42080874;42004799;4253;31207905;31124708;4159;2559740;2560506;340;10275;7795;19;1616263;1614723;451;491460;490969;66;6175249;6187235;1444;101354;100171;161;0;0;1;47283;2245;2;7331018;7330725;274;8053269;7943228;6082;410974;412445;24;74837329;11262618;2252524;1062646;212529;87007;1952988;29664929;5932987;1092215;218443;88346;5626198;11631753;297943;74837329;7259662
Ярославская область;245844033;246728454;36539;7704962;7690419;76903940;2598;130;130;1426;7;47474879;48367989;268711337;10507;133798953;133798953;668995493;25763;217177;216577;1419778;128;744811;744811;4468882;376;11686;11686;58431;12;801;801;4006;2;211685;211526;1096346;188;46230133;46204596;286963704;15320;8286292;8299034;4866;445447;447477;114;10058517;10091099;6926;413214;391356;1488;1035;659;27;200;94;9;19887;19887;70;24065;22442;23;1687;61;4;219184773;220277661;35125;156589061;157724142;34910;8341486;8343145;870;648976;648770;402;11062584;11091984;4729;211714;211565;183;42444343;42374107;14670;323805;324454;395;228;228;3;1682;1529;6;1475649;1475407;306;36346139;36114481;37170;1757212;1757212;55;84567758;42312401;8462480;6584053;1316810;900734;6244936;58336755;11667352;10601672;2120334;916982;8630036;136729864;1618784;84567760;1505680
город Москва;16353692941;16136073597;690182;588985470;586754622;5867482590;54622;1465005;1437778;15815550;303;3420456518;3227508432;17936967878;205148;8250477663;8250477663;41254956726;482365;18613444;17716972;116150612;3052;50730053;50730053;304423056;6404;9304246;9304246;46838047;123;628898;628898;3204802;97;21647792;19787300;102086507;1017;3249402883;3237092463;20650371002;344270;521460504;515799814;109871;174942363;174674661;1732;752481242;745113934;147356;103413015;98591520;34972;3621824;3599314;898;191296;189703;277;28738;28661;198;9789331;2320726;1517;2817;2813;80;14514808941;14314717363;669878;9538857968;9363869551;662591;1160506976;1153383137;58377;73513012;73919603;10366;558494808;557990906;103282;20904044;19775026;973;3076628572;3059833211;331143;84682104;84883182;18005;489491;489491;95;1636513;1191840;363;1012112571;1011303468;9028;2171454501;2153351649;691048;291648086;290183032;911;12582613460;3235104617;647020920;888947261;177789454;73833750;395397716;108426443241;21685288643;92794175216;18558835043;174875202;2951578398;5519429712;102486851856;12690377245;1029200806
город Санкт-Петербург;4670656337;4731607145;329639;194487385;195353279;1953530972;21966;53150;54077;594849;156;921569968;983144556;5461930288;96948;2532538632;2532538632;12669824462;230567;5621765;4903127;32142445;1548;16574314;16574314;99447136;3257;424126;424126;2232946;68;72817;72817;364273;8;2176783;2170251;11205561;489;859955052;859345168;5340275663;162331;122174151;121923472;57274;2950949;2948386;651;136610750;136782738;72749;14499893;14042657;12467;74239;72461;306;12957;12311;81;3932;3500;143;238350;163272;362;12791;11815;37;4097650599;4159196090;322139;2893579585;2957038199;319313;243269146;242857433;22146;9227675;9201589;4238;143449729;143129886;54944;2157515;2150758;460;793684025;792533925;155233;12464185;12463320;4801;98380;98380;15;189487;155937;131;189528065;188606112;4657;662100293;660546483;330662;34670017;34734135;388;1950384899;854567975;170913590;336096885;67219366;15723267;87970957;4915107085;983021408;2908893363;581778656;31388588;369854164;2801654683;144384097;1950384897;189472826
Еврейская автономная область;5902157;5886658;695;492633;492254;4922533;126;2458;2472;27192;2;902245;890636;4947981;199;3298725;3298725;16493745;480;36;189;1239;2;0;0;0;0;0;0;0;0;0;0;0;0;64677;64501;334592;13;731439;730468;4507154;226;400628;398221;71;0;0;0;409875;407346;125;8781;7413;632;0;0;0;0;0;0;615;615;6;787;0;0;0;0;0;5121739;5135422;643;3733993;3751964;624;280125;280125;78;1715;1715;4;340503;334316;64;64696;64520;13;698663;700752;225;2045;2029;18;0;0;0;499;0;0;647814;636822;36;964892;948604;1260;0;0;0;7662693;725139;145025;155883;31175;10983;102867;799205;159838;157911;31581;10983;117274;177330;0;7662694;636822
Ненецкий АО;8165641;8114199;302;135572;135583;1355828;49;0;0;0;0;1701630;1650366;9168661;105;5135293;5135293;25676461;211;21341;21341;139902;3;60537;60537;363226;12;0;0;0;0;0;0;0;0;45759;45759;233226;25;844624;844218;5145201;123;105669;105650;35;0;0;0;220888;221102;70;11948;10278;23;0;0;0;0;0;0;797;797;4;0;0;0;0;0;0;12049229;12053564;284;11094569;11099829;282;7458;7458;3;3083;3083;2;84542;85463;35;44858;44876;24;806368;804505;120;8351;8351;16;0;0;0;0;0;0;3476478;3476427;16;1216294;1205751;292;3193818;3194401;15;65938322;394724;78944;297289;59458;28202;-8716;3271907;654381;305905;61181;32134;561066;8245156;614448;65938322;3315116
Ханты-Мансийский АО - Югра;1082376033;1080398368;22651;6025314;6015802;60183281;1134;10307;10309;113394;17;210697463;222432037;1235735428;6809;703372507;703372507;3516910123;15977;242218;234063;1534409;125;564293;564293;3385764;315;5440;5440;27226;9;0;0;0;0;30062296;30056869;154342449;212;90125358;89918863;566400364;7240;26962891;26967880;2995;36508;27114;15;28797541;28764314;4688;955053;895432;2338;3839;3839;10;0;0;1;464;464;20;6484;2556;3;0;0;3;635375309;634546121;20997;505563967;504241435;20849;3945840;3977326;187;586174;570866;78;28887543;29441726;2650;9464775;9459538;202;86234564;86147767;6962;727695;726368;592;0;0;0;3252;3252;6;67962396;67957268;107;390416863;389654366;24399;49452528;49399212;157;1785944325;63668879;12733776;16487412;3297483;1914347;7521946;140503384;28100677;44941374;8988274;2005832;17106571;10102304;6397993;1791802626;64619638
Чукотский АО;9015844;8909500;385;316253;279063;2790629;85;1200;1200;13201;4;1911264;1832810;10182279;128;4255797;4255797;21278976;260;139;121;795;5;289;289;1736;4;0;0;0;0;0;0;0;0;270435;270177;1385711;28;1599114;1594701;9713214;140;556585;575106;64;1;0;0;661353;675342;132;568125;522179;1014;0;0;0;0;0;0;2;2;1;66;0;0;0;0;0;10847313;10752165;361;7948227;7867426;357;90907;90907;10;29;18;1;814473;814466;44;270434;270176;28;1355192;1342145;139;367312;367027;103;0;0;0;739;739;2;5014669;5017480;35;2226786;2166851;1209;164986;164986;10;77027652;905294;181059;255348;51070;56440;73549;1329929;265986;262870;52574;63962;149450;251638;182342;77027651;5023632
