GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67
Волгоградская область;7 271;0;0;9;0;74 310;779;56;8 267;9 536;2 102;1 237;704;29;97;19;29;3 140;613;2 224;10 850;1 054;3 312;5 010;9 009;46;71;48 191;208;96;3;0;2;7;192;77;56;5 568;21 087;13 292;19 772;36 948;5 333;15;5;50;8 908;7 426;2 866;41 045;8 325;44 775;120 983;22;126;331 066;190;2 534;1;0;26;362;1 073;2 213;1 377;0;0;729
Вологодская область;5 467;0;0;120;0;47 865;393;27;3 508;5 334;1 540;1 057;509;15;103;6;8;1 417;605;885;7 077;927;1 707;4 722;8 969;544;215;29 527;207;67;4;1;3;10;9;2;6;3 726;20 091;12 170;16 622;23 889;2 447;9;2;17;6 704;9 099;1 795;32 381;7 248;23 662;137 346;470;920;294 764;110;1 540;6;30;29;538;14;18;1 894;0;0;17 304
Воронежская область;8 036;0;0;2 064;0;93 840;324;48;8 301;10 270;3 000;2 328;1 353;59;55;5;47;1 980;457;1 774;9 910;1 645;2 185;7 418;9 800;75;130;50 728;79;49;0;0;2;20;43;0;48;12 554;34 259;24 287;37 502;73 021;11 663;2;1;190;11 770;10 846;3 511;45 186;12 640;29 896;210 514;64;558;506 180;65;910;0;0;7;455;34;0;31 816;0;0;124 896
Ивановская область;3 438;0;0;190;0;24 028;148;0;2 249;2 853;950;660;375;19;7;4;13;1 093;33;628;3 783;530;650;1 655;3 530;89;67;15 483;59;12;2;0;1;5;1;6;0;1 708;6 450;5 321;8 170;16 182;2 529;0;1;13;6 087;307;1 012;9 664;2 123;6 102;29 730;60;204;92 872;58;195;0;0;6;155;1;2;0;0;0;2 539
Иркутская область;9 220;0;0;1;0;94 081;1 591;82;5 635;9 744;2 613;1 967;1 737;101;102;15;61;5 786;1 374;1 438;13 707;2 562;5 645;13 538;20 603;549;545;65 921;364;327;4;3;18;19;150;252;47;3 370;13 674;13 986;21 170;63 274;13 176;4;2;58;14 128;12 644;1 782;40 782;14 430;60 930;384 627;189;1 502;644 861;97;3 330;17;208;80;389;789;3 065;6 927;0;0;131
Калининградская область;6 406;0;0;11;0;40 003;690;31;3 008;4 990;1 645;1 350;766;48;12;2;25;1 292;738;1 465;4 548;852;786;8 406;5 103;7;17;29 885;179;71;11;2;2;3;14;42;8;589;8 507;9 297;18 878;41 528;9 024;1;0;47;4 252;19 436;2 838;21 246;6 546;11 019;280 464;5;64;424 646;471;2 279;73;1 157;25;132;885;7 295;341;0;0;2 959
Калужская область;4 031;0;0;727;0;42 064;63;10;2 923;4 452;1 374;921;603;24;49;3;28;1 202;296;734;6 146;623;1 024;7 228;5 346;44;30;27 606;10;6;1;1;1;1;2;0;9;1 929;10 943;10 594;14 570;30 839;4 711;6;2;113;5 121;5 040;640;12 952;2 222;7 548;135 676;44;130;238 196;35;195;3;433;23;80;170;0;1 368;0;0;16 604
Камчатский край;1 596;0;0;7;0;14 827;5 943;70;607;1 614;393;236;317;10;4;3;11;511;338;219;1 695;376;903;1 346;3 781;407;403;8 572;629;101;1;1;1;4;47;75;12;492;3 770;1 912;2 772;14 903;2 361;0;2;23;2 959;7 973;430;8 387;2 979;12 942;35 160;277;1 642;94 703;1 167;4 214;7;1 217;10;21;6 692;7 531;1 565;0;0;993
Кемеровская область - Кузбасс;6 498;0;0;517;0;74 290;288;22;5 035;8 358;2 584;1 725;1 381;36;45;5;33;3 472;2 452;1 177;8 506;1 279;2 891;6 830;16 177;302;638;45 802;133;42;0;0;7;10;35;17;22;2 675;13 180;18 240;24 480;60 493;5 869;2;1;80;9 771;23 861;2 395;38 915;9 761;41 085;182 232;220;2 524;427 285;57;157;0;0;31;322;13;27;682;0;0;23 698
Кировская область;4 992;0;0;225;0;45 910;137;4;3 366;4 842;1 058;781;413;17;89;13;9;1 663;299;1 092;6 059;619;1 673;2 846;8 916;162;81;24 821;67;9;0;0;0;3;11;0;4;4 725;15 002;8 544;12 384;22 581;3 799;6;4;24;9 884;6 018;2 225;27 613;4 902;23 299;79 114;140;320;216 325;111;194;0;0;0;123;7;0;279;0;0;31 776
