GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67
Республика Адыгея;1 222;0;0;3;0;10 877;10;2;1 228;1 387;387;245;187;9;34;0;9;607;32;327;1 280;183;452;950;1 589;9;15;7 308;3;2;0;0;1;1;0;0;0;1 122;3 899;3 051;3 955;10 438;2 051;2;0;17;1 713;446;372;4 486;1 506;5 785;24 964;8;94;61 873;4;22;0;0;23;98;0;0;0;0;0;50
Республика Башкортостан;14 730;0;0;89;0;131 472;466;40;13 623;13 169;4 053;2 863;2 008;104;90;11;60;7 360;2 273;3 215;20 549;5 199;7 336;12 885;20 007;864;552;94 689;240;80;2;1;6;19;29;25;22;25 750;51 544;32 180;45 259;102 794;17 469;11;6;229;43 673;47 715;6 470;97 270;39 554;102 935;337 113;743;2 090;932 510;464;1 432;11;24;56;707;300;346;3 646;0;0;11 199
Республика Бурятия;2 812;0;0;9;0;23 385;493;21;2 466;2 970;516;327;320;6;30;8;6;1 728;173;484;3 420;533;1 183;1 864;4 153;130;134;16 024;237;97;0;2;1;7;6;35;0;1 607;6 036;2 086;2 732;7 941;622;2;2;18;4 902;1 777;538;12 215;3 005;9 553;34 552;34;166;86 966;65;1 055;0;140;6;149;9;450;0;0;0;1 075
Республика Алтай;1 049;0;0;26;0;8 504;121;14;712;1 258;253;128;165;8;4;1;3;570;42;146;1 154;179;422;599;1 612;46;138;5 636;31;19;0;0;1;1;0;10;6;436;2 008;783;1 177;6 134;718;0;0;5;1 892;372;168;2 442;614;2 318;6 352;17;327;24 701;48;229;0;0;0;20;0;136;223;0;0;2 231
Республика Дагестан;3 759;0;0;0;0;21 942;191;14;3 166;2 827;780;409;518;14;8;5;21;2 207;159;1 427;2 389;324;959;1 855;2 518;16;12;17 160;140;27;0;0;0;3;0;4;9;1 942;3 077;4 352;4 268;17 637;2 136;1;1;32;4 771;1 320;1 336;5 230;1 313;8 029;29 459;10;36;82 776;127;893;0;0;0;103;0;888;2 980;0;0;0
Республика Ингушетия;596;0;0;1;0;5 126;9;0;620;576;105;54;124;5;10;0;1;683;18;70;247;62;163;685;545;0;2;3 418;1;3;0;0;0;5;0;0;0;236;415;253;405;2 213;351;0;0;1;986;119;42;394;150;631;4 694;0;2;10 539;0;13;0;0;0;65;0;0;0;0;0;79
Кабардино-Балкарская Республика;1 672;0;0;29;540;12 680;7;15;824;1 340;387;240;268;10;10;2;0;810;70;351;1 379;159;442;739;1 312;9;5;7 021;2;3;0;0;0;0;0;0;15;399;1 717;1 814;2 877;9 650;1 666;0;0;0;957;309;106;1 549;341;1 218;5 831;3;6;26 769;0;33;0;0;0;0;0;0;238;0;0;392
Республика Калмыкия;946;0;0;3;0;8 641;50;19;1 642;1 254;182;63;54;2;29;0;1;553;20;247;1 091;86;325;361;783;1;2;5 919;28;3;0;0;0;0;0;1;19;1 362;3 029;1 417;1 069;2 338;107;3;0;4;2 767;398;386;3 454;508;4 163;8 076;1;12;28 990;47;47;0;0;0;0;0;108;299;0;0;55
Карачаево-Черкесская Республика;1 087;0;0;3;0;9 201;10;0;1 170;1 121;203;205;183;9;7;0;2;620;39;241;1 134;123;371;1 040;1 067;11;7;6 459;1;2;0;0;0;0;0;0;0;637;1 775;899;2 483;7 419;1 442;0;0;2;1 161;252;197;2 111;395;2 339;17 507;3;10;37 178;0;86;0;0;0;0;0;0;0;0;0;14
Республика Карелия;2 870;0;0;0;0;22 730;858;7;2 003;2 437;721;471;187;6;16;1;6;763;155;549;3 729;514;676;2 387;4 773;375;277;14 615;473;105;5;2;1;1;74;67;7;1 498;9 875;5 745;7 692;9 081;1 085;1;0;22;4 674;3 819;1 030;17 219;3 922;9 331;72 404;345;909;146 314;273;5 184;16;270;23;88;458;2 414;4 921;0;0;0
Республика Коми;3 087;0;0;38;0;37 189;784;43;2 721;2 881;612;463;350;8;45;7;5;2 026;780;885;5 080;907;3 403;4 838;7 682;601;325;25 003;382;93;0;0;1;3;105;90;12;3 313;9 997;4 769;7 480;16 985;1 620;5;3;13;9 418;14 274;1 408;17 330;7 251;49 110;128 956;104;569;270 321;119;997;0;0;10;90;978;1 042;1 395;0;0;3 380
Республика Крым;4 511;0;0;3;0;44 461;495;19;5 023;5 905;1 302;668;611;22;90;14;16;3 131;705;1 738;6 566;948;1 596;3 331;5 013;12;10;31 643;90;110;9;1;12;42;49;87;15;1 937;4 599;6 197;10 538;20 501;2 602;5;2;14;8 065;4 417;1 961;19 884;4 502;12 103;43 267;12;94;137 992;80;1 787;9;101;95;1 498;974;3 130;2 500;0;0;171
Республика Марий Эл;2 352;0;0;0;0;18 617;128;4;1 413;2 102;562;382;235;9;16;2;9;1 126;55;480;3 347;342;935;1 601;2 640;60;42;12 607;52;13;1;0;0;1;17;3;4;2 696;8 294;4 545;6 083;11 492;1 229;2;1;34;6 960;1 343;978;15 448;2 693;13 153;44 774;54;165;118 496;58;322;6;0;0;39;12;125;146;0;0;0
Республика Мордовия;2 511;0;0;0;0;25 747;78;0;2 478;2 190;669;393;242;7;21;4;10;1 586;171;631;3 933;513;1 323;2 845;3 366;71;72;17 009;32;3;0;0;1;1;0;0;0;3 204;7 448;5 329;6 119;12 344;1 407;2;2;33;9 058;3 462;1 304;18 103;4 016;18 675;82 571;68;316;171 665;68;248;0;0;14;108;0;0;0;0;0;0
Республика Саха (Якутия);3 870;0;0;298;0;44 162;2 400;150;1 439;5 298;770;492;657;7;56;10;7;2 073;599;385;5 029;832;3 679;6 905;10 584;516;328;28 230;555;167;0;1;2;0;152;353;38;922;7 945;2 052;6 308;23 330;1 271;3;2;13;11 603;7 986;775;22 849;6 806;52 508;189 483;107;271;332 581;237;568;0;11;9;0;2 157;2 234;3 303;0;0;8 221
Республика Северная Осетия - Алания;1 424;0;1;0;0;10 539;2;0;1 371;1 418;385;188;224;19;5;1;3;770;51;282;1 110;169;423;798;679;2;5;7 198;1;1;0;0;0;0;0;0;0;729;2 371;1 575;1 814;8 191;2 591;0;0;7;1 322;287;235;2 241;575;2 515;10 678;1;7;32 541;1;12;0;0;0;0;0;0;0;0;3;0
Республика Татарстан;21 438;0;0;88;0;176 326;863;105;17 502;22 648;7 958;6 099;3 856;218;88;28;233;6 182;2 550;3 888;19 062;2 738;8 066;28 492;26 159;1 582;563;129 389;316;269;1;2;15;40;21;4;56;32 035;87 243;62 309;96 083;210 122;40 787;9;9;832;36 603;60 400;7 580;84 121;19 914;113 451;795 626;1 277;2 384;1 606 336;612;6 735;2;512;136;1 934;147;70;14 658;0;0;11 423
Республика Тыва;852;0;0;2;0;7 526;91;12;729;1 170;108;45;65;0;17;0;0;742;57;88;826;121;362;673;1 076;35;56;5 094;38;10;0;0;0;0;4;3;0;433;1 636;518;508;2 038;0;1;0;0;2 218;615;126;2 325;646;3 820;13 622;15;138;28 507;23;104;0;0;0;0;27;23;0;0;0;0
Удмуртская Республика;6 493;0;0;115;0;50 889;295;5;4 738;6 150;1 729;1 215;740;20;49;21;35;1 877;865;1 217;7 360;900;2 550;4 868;6 845;291;197;34 314;98;86;1;0;6;4;11;4;4;4 744;19 394;13 244;18 796;34 498;3 103;3;5;78;9 109;16 862;2 373;33 726;6 690;36 075;132 073;228;957;327 671;210;1 263;1;0;57;307;17;65;359;0;0;3 610
Республика Хакасия;1 519;0;0;21;0;14 846;167;8;1 683;1 944;428;228;196;3;30;6;6;748;66;304;1 933;232;618;1 305;2 665;75;99;9 727;63;20;0;0;2;2;6;9;8;746;3 218;1 960;2 411;6 430;478;3;2;11;2 050;713;372;5 620;1 215;6 002;37 386;42;355;68 133;46;273;0;0;18;46;5;132;128;0;0;1 666
Чеченская Республика;1 610;0;0;0;0;18 008;15;4;1 862;1 916;300;393;335;27;4;3;16;1 505;34;187;1 454;184;643;2 012;2 441;0;6;10 848;6;5;0;0;0;2;0;0;4;994;2 339;1 054;4 786;13 516;3 275;0;1;40;2 960;275;156;2 960;656;3 802;26 854;0;16;60 392;7;71;0;0;0;58;0;0;29;0;0;0
