GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147
Республика Адыгея;13869309;13873477;1414;1817685;1821307;18213069;195;12534;12312;135426;5;39597;0;9591750;9602061;48010305;1349;30;0;91974;91419;548519;55;987;987;8990;4;0;0;0;0;19135;19135;95677;31;1892416;1901058;12895762;673;302180;299680;245;7760;7760;3;404247;401958;379;8596;8585;125;0;0;0;155;155;7;146;0;0;15;15;1;11924242;11963357;1323;9536562;9572704;1309;314427;312942;64;4677;4677;9;271107;272148;199;18519;18519;27;1772115;1775535;649;6756;6756;18;75;75;1;0;0;0;21411;21393;13;2243938;2205144;1467;0;0;0;397489;296556;48;0;0;0;594218;2433043;486609;191695;38339;4191;444079;0;0;0;0;0;0;0;0;670548;134109;2559;512;0;133597;0;0;0;0;3103591;620718;194254;38851;4191;577676;187209;16455;203664;7106;0;2;0;594219;21393
Республика Башкортостан;458147656;456513170;32192;12399766;12064678;120646799;2511;4187;4373;48128;14;3434501;0;330410934;329062969;1645467740;31217;-163676;0;4868683;4913149;29478885;601;2107;6059;54419;12;0;0;0;0;473618;470730;2353660;207;90061224;89370274;542833491;12311;13428787;14265877;4879;466364;466708;65;16595414;17352607;7324;697590;691588;4485;256;256;1;946;892;26;37672;3309;20;136;101;16;426740749;425448358;30707;319669294;317699778;30525;3609462;3608129;543;551975;657746;222;14184204;15213308;4658;459238;456647;193;87613372;87160820;11541;647825;650068;399;608;608;7;25307;24411;7;9662358;9664567;217;46841514;46505241;35049;0;0;0;24455692;24433530;402;4812151;4945896;75;334743213;34454357;6890870;7654471;1530893;708081;4651896;741206;148241;67427;13485;14235;120521;15;0;27576405;5515281;10525470;2105093;12634;3397554;0;0;0;0;62030762;12406151;18179941;3635986;720715;8049450;63731005;1763136;65494141;195173;8173;18;0;334729950;9622120
Республика Бурятия;30484304;30229254;2343;2458187;2449775;24497741;457;60;60;654;4;27307;0;18865978;18788842;93944531;2182;0;0;22695;20892;125353;38;22292;22292;112474;4;0;0;0;0;31961;31961;159804;16;7189782;7089086;42988133;743;1754522;1751552;326;1166;1166;3;1888322;1845049;601;63019;62131;356;0;0;0;-14;113;7;2466;398;1;-7;2;1;28955456;28788605;2109;21354070;21361542;2082;307199;307161;70;28919;28864;10;1245794;1244397;277;44903;31961;16;5945982;5786018;695;28637;28632;40;10;10;1;152;152;1;2930283;2953289;127;4736595;4618373;2490;0;0;0;6068005;6064082;196;177723;180811;5;36293005;9819989;1963998;2563305;512661;166797;1284540;0;0;0;0;0;0;0;0;1512282;302456;4001;800;126;301530;0;0;0;0;11332271;2266454;2567306;513461;166923;1586070;2157545;202621;2360166;0;0;0;0;36293006;2952431
Республика Алтай;12064145;12134570;848;1080929;1110897;11108952;115;1118;1442;15867;3;309;0;8732054;8766752;43833737;815;-412;0;51989;54396;326376;23;0;0;0;0;0;0;0;0;2251;1269;6345;4;1645726;1649456;11193103;339;535895;534186;175;0;0;0;550208;547939;252;24573;24561;50;0;0;0;74;71;4;106;106;1;0;0;0;11303840;11407227;787;8944498;9044265;784;108682;108423;19;59214;59140;5;475759;474068;151;2251;1269;4;1697205;1703832;327;16231;16231;6;0;0;0;51;51;1;161067;161067;19;1814562;1766375;843;0;0;0;1195335;1175432;30;0;0;0;2298316;846072;169217;78663;15733;4042;149442;0;0;0;0;0;0;0;0;6871620;1374324;1980315;396063;1624;976637;0;0;0;0;7717692;1543541;2058978;411796;5666;1126079;170826;0;170826;452150;62553;1;0;2298314;161068
Республика Дагестан;26440035;25686742;3232;1032790;1017988;10179777;298;1439;2078;22859;10;30456;6;20178274;20206706;101033530;3044;652746;0;1212791;1211453;7268711;76;117;117;3947;1;0;0;0;0;20484;6254;31271;15;2481807;2428387;14785545;732;796921;763164;399;0;0;0;829808;809303;558;5498;5452;63;0;0;0;82;82;1;247;418;2;145;78;2;21875549;21464816;3010;18669143;18265957;2949;223797;252074;98;53272;39164;34;873451;857035;466;20327;6097;15;2028501;2037500;632;7054;6982;13;0;0;0;0;0;0;22994;27068;9;4651182;4307704;3184;0;0;0;105928;96546;54;23627;23627;3;2003294;6668550;1333711;1138067;227616;50916;1055179;8780;1756;75078;15015;0;-13259;10;0;1519338;303868;5087;1017;364;302487;0;0;0;0;8187888;1637579;1143154;228633;51280;1357666;837211;0;837211;41866;159;6;0;1994296;27068
Республика Ингушетия;4467435;4229306;729;101831;120113;1201124;24;11;6;64;1;-86811;0;4035538;3780921;18904604;711;0;0;3422;4938;29625;7;0;0;0;0;0;0;0;0;0;0;0;0;300320;212294;1276252;67;113126;111030;57;0;0;0;113126;111030;57;258;258;1;0;0;0;0;0;0;0;0;0;-3;0;0;4107097;3875282;694;3706512;3565045;688;16316;16316;8;0;0;0;78980;78736;42;0;0;0;303180;215022;50;1945;0;0;0;0;0;0;0;0;990;990;1;405784;394037;693;0;0;0;45601;43714;5;7769;7769;3;51891;31637;6327;13085;2617;266;3444;3374;675;0;0;0;675;3;0;5268;1054;0;0;0;1054;0;0;0;0;36905;7381;13085;2617;266;4498;14303;0;14303;0;0;0;0;51891;990
Кабардино-Балкарская Республика;15222365;14681464;1826;893010;882174;8821747;381;4745;4760;52363;5;416157;0;11011971;10949122;54745611;1627;7297;0;246547;240933;1445591;64;-36;0;4031;0;0;0;0;0;7690;7690;38451;10;2318475;2277021;13943943;490;193990;185016;203;0;0;0;320209;311624;298;9180;8233;56;0;0;0;92;92;1;588;588;2;0;0;0;13352716;12843916;1690;11150752;10662658;1665;373920;386275;77;2703;2893;5;243582;243835;217;7542;7690;10;1564907;1531514;409;8139;8050;10;2;2;1;0;0;0;167;167;3;1944255;1966552;1796;0;0;0;189425;118534;38;0;0;0;632052;3224925;644985;1077497;215500;5392;424093;4329;866;1301;260;302;304;5;0;1147365;229473;40942;8188;13411;207874;0;0;0;0;4372290;874458;1118439;223688;18803;631967;360792;29;360821;9587;167;5;0;632053;167
Республика Калмыкия;2890284;2885935;456;112705;110086;1100865;83;428;391;4297;2;-15354;0;2472178;2454351;12273292;407;-906;0;9354;8388;50329;22;-189;0;0;0;0;0;0;0;1265;1265;6327;6;239618;240646;1515082;120;53782;53309;67;0;0;0;71123;70646;96;10398;10329;62;0;0;0;5;5;1;0;0;0;0;0;0;2677668;2691363;389;2374456;2385675;384;794;794;3;3623;3623;4;62812;62879;54;1221;1221;5;217664;220071;103;10177;10177;7;0;0;0;0;0;0;3769;3769;2;1085311;1067230;488;0;0;0;860710;860769;9;1206;1206;1;76632;422474;84494;92035;18404;248;65842;0;0;0;0;0;0;0;0;20770;4154;776;155;2;3997;0;0;0;0;443244;88648;92811;18559;250;69839;25317;0;25317;0;0;0;0;76632;3769
Карачаево-Черкесская Республика;14175099;13882515;1212;828652;827127;8271264;158;3891;3888;42772;8;270577;0;11145565;11119149;55595726;1117;176;0;21295;27249;163502;42;0;0;0;0;0;0;0;0;20999;20976;104877;19;1636178;1613691;9984246;351;177343;175583;138;375;375;3;251778;243670;220;7283;7283;39;0;0;0;73;73;4;8;0;0;0;0;0;13047342;12821040;1152;10869614;10703969;1130;240616;240472;27;39539;38977;20;346154;322688;139;20925;20902;18;1522687;1486228;320;7716;7716;11;0;0;0;23;0;0;8365;8449;10;1230089;1152962;1214;0;0;0;138908;92204;9;26553;26479;5;987069;447863;89571;82817;16563;6731;66277;16504;3301;3021;604;0;2697;7;0;61015;12203;1641;328;13;11862;0;0;0;0;508878;101774;84458;16891;6744;78139;32595;0;32595;7320;0;1;0;987072;8448
Республика Карелия;29796001;29622068;3341;1170070;1170106;11701058;349;45;0;0;0;173115;0;23871866;23872981;119364910;3226;0;0;96940;96621;579720;61;0;0;0;0;0;0;0;0;66054;65901;329506;55;3393828;3392282;20623569;1445;758441;749770;565;144382;140513;6;1024120;1011665;902;53045;52551;807;24;24;2;214;213;3;10062;255;1;5;5;2;23886473;23664449;3137;19236156;19091246;3095;548180;548328;109;73788;73701;26;759008;762672;480;66023;65852;55;3164418;3087367;1379;38903;35282;96;0;0;0;1135;495;1;1270364;1275451;146;7326260;7331794;3829;0;0;0;2616799;2589366;281;216046;216046;13;23202433;3349126;669826;790981;158196;59300;452330;0;0;0;0;0;0;0;0;2570789;514157;1081;217;1091;512849;0;0;0;0;5919915;1183983;792062;158413;60391;965179;869205;1032597;1901802;0;0;0;0;23202435;1270148
Республика Коми;79049577;79041490;2604;762462;753623;7536231;268;299;314;3455;2;21128;0;70151271;70135022;350675106;2556;33;0;84515;105639;633838;50;0;0;0;0;0;0;0;0;203428;203014;1015067;55;6460191;6477175;39139722;1047;1160959;1156138;386;3297;3297;3;1363655;1358467;732;112023;110779;1686;0;0;0;1047;898;16;7407;5693;2;2469;2469;2;62510692;62546641;2392;53787704;53815270;2369;958025;958024;38;38039;38039;23;1142133;1142582;323;203427;203014;54;6303224;6311770;1002;78141;77941;104;0;0;0;2231;1627;2;11815124;11821699;44;14504482;14452264;4100;0;0;0;9657200;9657875;125;1299190;1299361;21;218125758;5128073;1025622;566942;113388;33607;878627;0;0;0;0;0;0;0;0;21955682;4391135;20038;4008;93;4387034;0;0;0;0;27083755;5416757;586980;117396;33700;5265661;636621;169662;806283;0;0;0;0;218125760;11810231
Республика Марий-Эл;40381229;35838675;3458;3294770;3294214;32942142;415;2007;2007;22079;3;3666783;0;26513733;25642672;128213598;3347;-2419;0;542193;542379;3254273;97;0;0;0;0;0;0;0;0;147478;141223;706122;57;5410977;5411167;33319535;1595;721940;720307;490;2231;2231;4;805704;803498;824;31290;30841;352;0;0;0;512;547;13;3535;40;3;0;0;0;36220883;31685354;3253;29497766;24960134;3233;500254;500840;88;53124;53244;42;802335;804278;466;148101;141847;56;5205460;5207457;1525;17519;16965;36;0;0;0;597;597;1;68311;69476;14;4374677;4368357;3694;0;0;0;247102;251151;50;26618;26618;7;5225703;4389365;877877;1132103;226421;102978;548478;12938;2588;11175;2235;51;302;3;0;1599106;319821;694687;138938;5904;174979;0;0;0;0;5988471;1197698;1826790;365359;108882;723457;999840;227051;1226891;1463;0;1;0;5225705;69173
