"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103"
"1","Республика Адыгея","190265","175407","12175","2683","34384","20497","12","12","0","20485","0","20485","0","0","0","13643","243","243","562081","288367","2067","172027","0","40336","18","4531","5264","581","0","566","36985","39535","2959","210","0","210","6336","0","21956","23306","28024","0","0","0","0","0","6170","0","50","50","4172","605","35104","569","508","47","411","22715","95140","52844","33352","8944","53547","24135","2053","27359","220585","627198","205274","299555","260043","217946","550","3964","103567","99","2105","19446","20447","71226","14862","61242","12992","13852","16923","10340","307","6276","85766","152550","162207","862","414911","685812","539779","137512","37069","39982","10709","16468","29","15864","0"
"2","Республика Башкортостан","1362037","1245777","108724","7536","5195336","1177857","243","0","243","1177614","1177614","0","1254171","3556","1250615","131510","2631798","2631464","11994295","747771","146284","165531","77137","151748","604","89598","146720","8658","118","4133","134322","79498","34184","811945","0","811945","1733460","223819","340423","702825","891299","357","0","0","3222","292367","11613","7385","2760","1587","334457","378231","1108837","648450","2782069","14815","2698435","645377","2098907","1162259","474164","462485","492263","271928","33224","187111","3363929","6690507","2416857","3751927","4766675","3762537","56690","25686","1056886","37989","7397","780597","178155","754702","73214","1474862","106230","368662","173463","125086","8351","40026","886108","2800391","1040011","8803","3419400","6311721","5184948","1049404","334099","439552","104012","213325","382","91339","0"
"3","Республика Бурятия","315003","109183","193027","12793","1337565","329344","329344","316916","12428","0","0","0","927957","750","927207","65328","14936","54","1662850","201021","62608","8474","0","5225","0","3016","7911","1817","0","1404","28254","87632","8568","0","0","0","7539","365","11951","81751","59041","2862","0","0","50","702","0","0","0","0","84832","731","1582","158","1028989","19","576904","42467","525708","390253","0","135455","97197","57983","6276","32938","371249","1307980","218164","931975","483987","305722","3499","3181","0","1192","32700","95275","49098","189120","46038","111017","12413","41242","33294","20875","91","12328","121849","505539","276845","3031","1232163","1911397","1626779","337019","114359","90104","14128","41235","151","20386","0"
"4","Республика Алтай","111516","86790","23397","1329","148437","2864","2864","2864","0","0","0","0","32069","0","32069","828","112676","107174","105893","22783","4683","6626","0","880","0","776","9032","116","0","8","5923","0","1102","1165","0","1165","1724","50","367","12685","19279","0","0","0","0","0","2086","0","0","0","0","180","104","10438","12","12","0","19277","54670","14884","7640","32147","22842","16201","1135","5506","242541","262923","71971","173199","153395","46405","6352","739","0","937","17183","71589","17281","203369","151509","37260","4858","19584","3969","3481","0","488","34165","94792","37295","287","480066","669810","427873","204440","135625","17604","2701","6010","0","3804","0"
"5","Республика Дагестан","312281","269891","16609","25781","55909","32223","0","0","0","32223","20087","12136","0","0","0","19170","4515","4515","724002","39727","5630","2261","129","157822","0","4653","9834","17907","50","17588","6869","1840","3704","12552","0","12552","4937","3771","12270","111086","78381","0","0","0","30","26","99","99","158","101","16502","21428","28232","163","111257","110","107770","81067","509059","288490","15469","205100","78224","49533","9807","18884","522051","1575428","280230","1221476","703273","429402","2611","23067","176623","12664","1703","184014","75490","161125","24767","152492","32954","40603","37669","27273","803","9593","121923","342629","210318","2593","1524397","3830200","2485905","363949","141412","78786","12255","35788","208","49097","0"
"6","Республика Ингушетия","84804","80328","4408","68","28626","18259","0","0","0","18259","18259","0","50","0","50","717","9601","9601","29084","11657","8469","122","0","1127","0","21","1817","0","0","0","2249","70","316","0","0","0","869","0","369","2009","6589","0","0","0","0","0","3089","0","612","0","40","0","50","0","0","0","0","1901","44074","26944","16516","614","19258","17762","375","1121","86160","130240","33684","87971","39163","18323","168","1201","0","89","17","9075","11659","11590","3380","27601","2779","9995","2419","2303","0","116","10526","31635","35430","262","295286","647529","347790","86745","30926","9305","558","3615","0","6280","0"
"7","Кабардино-Балкарская Республика","209874","195152","5433","9289","6359","1156","0","0","0","1156","1156","0","341","0","341","4302","560","0","300778","69482","3899","21547","48","39248","692","3938","55694","1201","119","975","3526","8338","1578","62","0","62","9153","452","5913","33661","22225","103","0","53","303","0","0","0","0","0","6395","13221","13627","3441","69","50","0","8862","323148","165228","101318","56602","48920","39340","1652","7928","127623","521330","147093","347443","149037","88242","769","5210","22","0","4","28787","32004","66042","15822","66886","4525","7323","11193","7835","198","3160","46790","139822","97141","840","650686","1056637","819857","109978","38212","48715","4886","19972","59","18524","0"
"8","Республика Калмыкия","249171","239325","8390","1456","3337","1258","0","0","0","1258","1258","0","0","0","0","384","1695","1695","138079","25976","7083","325","0","6626","0","4236","25408","2536","0","2065","4787","685","5487","633","0","633","3361","99","4682","9854","6460","0","0","0","0","0","70","0","0","0","17970","171","1869","0","107","0","50","17132","106612","73137","21815","11659","33663","18391","6114","9158","137167","964971","111488","821111","166058","89067","305","7614","10609","2684","12","55182","19113","132133","14781","63095","6275","10212","16257","9044","287","6926","97767","137656","193961","2610","381081","469439","329971","64857","23148","29542","6900","14907","0","7148","0"
"9","Карачаево-Черкесская Республика","146630","139931","6139","560","101563","0","0","0","0","0","0","0","95102","200","94902","6461","0","0","367730","63725","27490","20665","803","70054","0","16311","46480","1219","18","1102","4011","350","1645","0","0","0","145","3407","25727","110769","1535","0","0","0","0","0","0","0","0","0","1903","10392","2604","187","0","0","0","7266","180827","107043","45749","28035","32626","22959","3091","6576","103950","314943","71855","226399","107740","76033","352","1193","2251","0","50","15572","16085","49506","20923","33735","5110","6889","8080","4794","50","3236","28255","110602","39349","328","409345","649786","427083","62894","17156","17395","3606","5581","0","18185","0"
"10","Республика Карелия","446904","73691","196669","176544","800482","0","0","0","0","0","0","0","476632","476632","0","321766","2085","0","1373706","107281","2510","31057","0","11774","0","2237","10961","527","0","357","158114","542798","4106","0","0","0","12055","18","4259","127205","214344","0","0","0","0","9675","7213","0","42058","0","4913","3974","24107","6713","49142","45287","0","89178","444765","329001","26498","89267","96077","63476","2871","29730","372228","659184","149827","379839","498932","236805","1527","5207","0","20732","327","195391","45677","210567","49726","153814","7691","34042","18965","7689","6146","5130","218256","315282","137778","865","1085240","1172883","1159570","216392","43674","93457","17615","46172","0","13596","0"
