GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31
Республика Адыгея;20303992;20632190;3005;105293;102040;312;2799;1613;3;17760270;18108574;2706;164;164;1;72155;71126;64;2867803;2845924;3158;1217149;7349695;1322942;610300;109853;49085;1164004;878635;0;1214067;69691
Республика Башкортостан;688465780;667853792;62109;1058047;939567;10820;522376;440022;95;608418870;584009967;58798;232467;178628;32;50097275;41513092;899;69292600;70215863;69647;473318061;176450756;31761140;92250583;16605107;1803282;13352751;20481339;2475702;473290552;41408911
Республика Бурятия;34449864;34523730;4918;42135;40345;870;3027;1053;9;30633940;30721418;4377;173;173;5;3292565;3291544;345;4800303;4756207;5470;63176528;16358091;2944458;2891842;520531;264664;2159263;3664822;369925;63178076;3282809
Республика Алтай;27776295;27887351;2335;7640;7610;113;5897;0;0;25399652;25563793;2179;1469;0;0;751608;759833;43;2507410;2418534;2318;8572974;10966584;1973983;4929602;887327;282523;804133;1189150;0;8581736;747517
Республика Дагестан;34655786;34857577;6175;83567;52456;168;49375;502;2;30114127;30207521;5661;107;0;0;124766;130588;46;5166044;5197712;6097;4115734;16472054;2964971;2941640;529497;351087;2084387;1386379;868087;4115737;130588
Республика Ингушетия;6934339;5782518;1089;10106;9864;7;0;0;0;6801481;5687886;994;0;0;0;0;0;0;489632;451142;1056;3587;645298;116152;530483;95487;56;20609;465031;0;3587;0
Кабардино-Балкарская Республика;26606744;25937683;3464;5486;5394;173;2116;2717;6;24419438;23934796;3212;-1194;0;1;23530;26101;27;2449689;2241590;3480;1010788;6026266;1084730;482022;86765;25271;972694;334351;1915;1010787;25849
Республика Калмыкия;5209097;5383932;1119;4657;4597;141;0;0;0;3560173;3767718;917;0;0;0;567;567;3;1745215;1757700;1206;18223;788448;141920;375038;67504;20515;53901;62800;36;17496;567
Карачаево-Черкесская Республика;29388115;29086332;2308;5089;5089;84;143;34;5;27214160;26955839;2106;0;0;0;98709;98763;43;2294212;2247387;2296;1588836;5257161;946289;1194469;215004;25971;705314;67548;0;1588175;98763
Республика Карелия;47757305;47801060;7976;91808;89758;2410;3597;1730;7;40167854;40201397;7341;2871;795;4;3816316;3808051;409;7769561;7746035;9609;53263492;13792862;2482714;2987601;537771;177711;1767232;3341824;81437;53266165;3807996
Республика Коми;139878376;139765305;7010;468156;467632;4657;6374;3678;3;105684500;105645456;6406;65213;62553;4;24026656;23812578;225;26968831;26922622;11165;325109712;40018498;7203333;2884876;519278;182439;6501616;5075189;15776;325109713;23808750
Республика Марий-Эл;70178976;69235839;8268;19968;19694;927;4098;498;5;62198389;61401272;7703;371;2;1;750109;749996;150;8993426;8843054;8930;9194574;20965683;3773824;8664826;1559670;548834;1665320;2869831;826444;9179013;748506
Республика Мордовия;69310630;69529994;9155;56789;55051;1037;400;28;3;60705281;60982402;8393;197;0;0;419243;420738;131;10087176;10031629;9638;10816499;43323996;7798314;29524833;5314472;252448;2231394;1397645;2257;11490359;421187
Республика Саха (Якутия);95449696;95315518;5838;270367;273812;1313;168989;4783;3;82173611;82220002;5204;74647;1411;2;19223755;18951804;201;18326111;18170787;6689;346787046;85485194;15387334;13105686;2359027;1076582;11951725;36888015;695784;346787046;18857334
Республика Северная Осетия-Алания;16526089;16387553;2697;6730;4688;290;10104;5751;4;14402752;14355501;2447;4688;3730;4;113225;116806;98;2385007;2292196;2882;1767738;4120892;741761;633841;114089;31785;595887;618740;1015;1767738;111571
Республика Татарстан;1084581367;1087403209;97667;2005937;1980753;2281;161605;68355;109;963968296;968131452;94032;110580;50507;31;55533199;55168224;1072;116215841;115155375;95907;747861351;963233679;173382066;365962537;65873256;1904923;105603887;32153641;5167791;747861352;55146039
Республика Тыва;6279242;6253281;526;12745;12728;100;0;0;0;4852228;4847077;426;0;0;0;798989;803757;19;1256982;1243319;576;13783683;863334;155402;89957;16192;15469;123741;15198;0;13439430;803757
Удмуртская Республика;199075415;198758675;30176;185776;180763;1474;3866;1147;43;165270017;165132454;29151;882;168;10;3500384;3491357;428;33789302;33682740;30743;117508257;77400515;13932095;28515855;5132858;783204;8016033;4789071;399836;117505160;3485694
Республика Хакасия;44314531;44130287;4193;522437;533109;813;1203;1114;4;39212266;39055909;3705;365;284;3;4723475;4702342;79;5263156;5271542;4833;47901018;10223934;1840310;2569532;462520;166297;1211493;1023088;0;47901018;4702300
Чеченская Республика;24544743;24371290;2732;41046;25799;47;35;35;1;25708544;25515665;2538;0;0;0;7816;7816;5;1614851;1590331;2633;111537;2610922;469966;1391952;250550;48590;170826;571030;69882;111537;7816
Чувашская Республика;81966276;81424971;15232;163561;162537;1898;2137;672;15;69384757;68887628;14351;541;265;5;339490;345017;284;13601593;13575726;16245;7062991;35453958;6381713;7946422;1430354;322741;4628618;1482519;78995;7062991;344404
Алтайский край;208983265;209511531;37013;234336;229575;2943;52265;32078;54;188072970;188821430;35335;24707;20645;20;3853438;3883412;1015;21704777;21405999;37991;50781296;54380755;9788539;19212510;3458259;1212150;5118130;8417157;398440;50775025;3859168
Краснодарский край;916352739;906534668;77216;2031104;2244575;3792;235743;218920;63;820394292;811436298;72806;173392;170222;22;46980363;46974156;1458;120463991;120074961;77389;528295237;464623830;83632292;247939902;44629183;5020227;33982882;72545416;7960590;529156202;46598846
Красноярский край;559497842;561986541;53866;1024513;1015056;4669;149546;55322;35;434314537;437624811;51096;39841;24639;15;48345527;48491494;1044;139455031;138778903;55408;692645729;167125182;30082538;44777804;8060005;3281424;18741109;20523200;1594349;692071328;48321140
Приморский край;286422562;283913553;36874;525512;517913;3196;13999;8581;35;265846493;263381016;34999;7330;7093;22;12241872;12211976;1246;31146790;31053286;37744;188404274;130024177;23404356;40650010;7317001;1090324;14997031;20743536;8041426;188284736;12209451
Ставропольский край;248260890;249176126;26957;264854;262791;1609;34834;5143;38;220067203;221417252;25195;1692;1095;12;4859184;4857331;316;31077981;30563405;27588;54809156;88112409;15860235;21877694;3937986;706607;11215642;8488989;2699917;54783553;4818502
Хабаровский край;214766509;214646317;23864;329331;311628;3950;118185;48177;22;189764768;190047174;22504;67713;66797;13;9257821;9532584;486;31419409;30827591;26384;130730994;56324117;10138342;24384167;4389149;1815338;3933855;12765852;3051527;130882872;9610451
Амурская область;68007298;66161803;8648;164752;132347;1946;38;38;1;72886415;71364711;8014;0;0;0;7280657;7245165;307;11994647;11837092;9710;85571038;132832201;23909797;76036812;13686626;1325476;8897695;154829390;53124;85323873;7260764
Архангельская область;95000984;94813550;10067;295602;283532;3246;6452;3136;3;77872199;77630935;9262;660;0;0;4344883;4332507;231;23703763;23726900;12645;58586641;78732452;14171844;7877303;1417916;4362004;8391924;5676416;6129803;58588072;4324975
