GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31
Астраханская область;57756295;57091274;6639;303654;303232;779;8721;1283;8;41687549;41586928;6104;-3382;465;1;8737356;8733430;614;21059705;20484053;6663;105249287;16211607;2918093;4729201;851255;219859;1846979;1449318;2882749;105156920;8717323
Белгородская область;318989878;317923425;35359;515402;513707;3268;46378;24014;37;290742102;289597869;34404;17980;9777;18;11210960;11230810;768;35791792;35830101;35880;155502231;161193227;29014776;44856578;8074187;886752;20053837;83088765;814975;155502330;11222742
Брянская область;105667351;105762108;15019;264583;250770;2014;5526;1312;24;96961926;97120546;13954;1160;738;13;1039794;1031814;781;13751408;13641895;15881;16868612;20979381;3776288;10362465;1865246;354792;1556250;1227402;512572;16842603;1020864
Владимирская область;154338265;154782932;19523;1090630;1081441;2562;28872;19919;36;133025884;133689647;18486;24552;1322;21;1255353;1269265;684;23957412;23780751;21296;29795773;29918558;5385338;9090423;1636278;260270;3488790;6861960;9140140;29820581;1233250
Волгоградская область;285043928;286109897;28046;437720;434397;4219;12490;4383;33;245165975;246433908;26148;11068;4099;10;26167310;26165807;449;36146492;35981881;31015;199746881;81685358;14703367;38498326;6929698;1907552;5866117;6831486;224846;199746884;26168983
Вологодская область;232525016;231990002;26458;312386;312344;2162;198307;60055;19;203491950;203198648;25300;83755;13755;5;28855163;28797246;468;19547251;19296388;27518;206519731;1735974628;312475431;1663666503;299459969;576218;12439244;3067524;1248137;206519682;28703300
Воронежская область;403224160;401390463;51518;483284;481818;3209;37529;28088;48;380877639;379175548;49540;18001;13654;13;3919129;3918316;575;30296280;30143393;52429;47485684;87123496;15682231;25344299;4561976;541453;10578802;7382067;1584116;47485632;3900187
Ивановская область;98842031;97933465;22027;99712;100555;1002;5433;1850;15;92194079;91361928;20675;2954;1439;7;751570;750828;366;7295073;7217422;22170;9007885;57453271;10341588;20079979;3614396;336253;6390939;2539048;331971;9002388;749481
Иркутская область;406266365;403746181;35122;2052582;2033102;4844;21246;5332;23;335699602;333217173;32170;4634;910;11;15282680;15315407;1292;77777158;77619650;37201;262173827;83849050;15092827;25693914;4624907;1129285;9338635;4198372;311909;262173827;15038608
Калининградская область;175990589;176105057;14059;338433;340125;1251;7630;3348;14;117227292;117270649;13048;3506;2078;6;2690569;2697962;625;62369819;62320909;14176;111415766;57346816;10322428;27104562;4878820;302663;5140945;23306440;3094596;110908657;2701418
Калужская область;241047114;241723765;18510;2094084;2032682;1736;154810;40337;35;215772948;215748215;17360;87778;22473;11;5508155;5516778;501;29671381;30043685;18942;71307046;142978740;25736176;95783292;17240989;626279;7868908;6241660;1639365;71306915;5480927
Камчатский край;30917496;30815367;3031;91435;88287;309;161;0;0;25583911;25556206;2701;0;0;0;2502977;2503394;92;6071832;5998516;3036;41199830;10887740;1959794;6578004;1184042;562502;213250;360963;1172001;41004847;2494734
Кемеровская область;410467676;411228154;28636;294808;294744;2331;302547;37540;42;340396234;341511747;26573;123037;17421;17;55805785;55811986;448;63291312;62795805;29174;609750998;185219500;33339505;112166151;20189908;1687767;11461830;15762429;177830;609752609;55534024
Кировская область;80730735;81269429;17671;144548;141765;4922;10020;2672;26;69175215;69793918;16657;2487;501;6;889266;881608;329;12934898;12843611;21944;17811152;79193324;14254800;67699373;12185889;796393;1272518;2452906;13474;17808874;878305
Костромская область;53500192;52965431;8718;127076;127894;1255;14841;3289;22;47349759;46848885;7652;2641;867;12;1785551;1783754;270;6101606;6059980;9623;18045586;596395165;107351132;150038130;27006859;787590;79556683;1436853;12756;18039989;1786658
Курганская область;49984575;49766487;7275;40595;41551;928;316;310;3;42557900;42243837;6727;0;0;0;29962;176086;180;8238806;8212269;7768;4769538;13957134;2512282;4067366;732124;117290;1662868;1001737;357738;4769525;174229
Курская область;138307243;137943435;16037;66268;66117;1229;20485;2617;12;126109945;125762785;14954;8761;310;5;1208034;1213044;245;17692231;17633728;16075;29971815;41622850;7492116;12708260;2287489;592701;4611926;3849163;83220;29969014;1177902
Ленинградская область;380283711;378997334;23490;4101887;4093949;5090;102889;70490;36;308927834;307694551;22106;60850;46163;19;43310409;42688868;1087;82482714;82307092;26464;385770256;72699331;13085884;20120479;3621687;997527;8466670;15747623;73866648;385734259;42629103
Липецкая область;173494031;173672066;17382;507314;490499;1425;17114;15666;19;155931668;155976907;16555;-733;-1576;1;32850797;32879928;171;12720031;12733914;17820;258468281;29972588;5395066;12086268;2175531;185393;3034142;1379506;270776;258619479;32754373
Магаданская область;26209910;25823232;2075;76890;76953;666;0;0;0;23840534;23486410;1901;928;928;1;9740544;9700659;233;5579001;5563582;2370;96612625;7081400;1274654;392510;70650;88106;1115898;1569068;298003;93700236;9538951
Московская область;2675421097;2660867745;169398;12609330;12627970;13692;857328;644888;422;2418741304;2404946660;161882;256500;167229;120;19101851;19294294;4487;300181726;299474370;174670;453393926;885621167;159411809;306901436;55242259;15623542;88546008;74885525;37307631;453082615;18256520
Мурманская область;78992267;79918121;9387;561672;575399;2892;2084;2038;2;60762373;61721564;8763;880;836;1;8361150;8422367;141;13791665;13740447;11605;99072798;26871501;4836872;4669443;840500;778724;3217648;32910976;7760275;99072798;8408722
Нижегородская область;698583472;700656837;82046;1587586;1446226;4408;1970807;1091555;116;604513979;606576064;78590;1496322;840908;54;34030781;33994027;1700;80340998;80078874;83459;298343106;230145665;41426226;84530561;15215504;4094544;22116178;44781778;65839407;298151263;33726192
Новгородская область;70542843;70383943;8525;358308;356811;983;85518;52526;14;61525330;61498699;7963;84560;50538;7;6779828;6774713;260;9454374;9320276;8807;62588931;19774177;3559357;3698853;665794;542721;2350842;1090072;577048;62558215;6748209
Новосибирская область;514384180;516391271;92589;987460;769105;3578;136535;84465;126;464786737;466446318;89840;77591;49454;45;11315345;11292617;1630;53353843;53216620;92020;164265396;383721853;69069932;79455187;14301931;2696859;52071142;174698492;4044820;164174247;11161215
Омская область;200722359;200857368;31671;234562;235480;2165;38353;2084;36;163816934;164221255;30184;27298;494;13;2793146;2797699;856;38499829;38245218;32502;36582602;70679540;12722317;38733519;6972034;334613;5415670;8072796;1412705;36582601;2791538
Оренбургская область;211022569;211159941;22040;356285;360534;1870;15940;4804;19;159681174;160018176;20213;12548;3147;10;8692841;8691850;554;56501760;56335539;22899;98286156;113779536;20480317;79068074;14232251;457589;5790477;4272844;655563;98286153;8686925
Орловская область;65343715;65656415;11232;193924;193898;877;7005;1363;10;59375823;59830880;10459;1901;88;7;299147;298878;242;8264279;8184825;11467;9888003;16610062;2989808;6551131;1179207;311018;1499583;1418826;169573;9888001;291789
Пензенская область;114166544;114747122;17039;73674;70868;1504;11883;8828;43;102715663;103439061;16192;7417;5037;16;304873;305524;243;14687692;14546572;17872;12677832;26955088;4851918;8369407;1506495;186003;3159420;3265599;371717;12678747;975948
Пермский край;401176115;406716413;56442;564873;562273;4571;47515;19874;51;318981080;324792655;53434;20463;7798;20;30730654;30774154;831;75204680;74721172;59242;355511670;158321514;28497872;75354892;13563883;1546866;13387123;46182377;3180182;355526043;30750655
Псковская область;52615137;52569000;10151;62725;62869;1242;5368;2963;26;48901796;48847037;9587;289;1536;8;611132;610958;537;4817134;4815247;10552;12222033;15607345;2809320;8898480;1601723;257211;950386;420045;103236;12150480;613884
Ростовская область;564804493;563399424;63769;449594;449542;3197;54196;36116;110;527122104;526160529;59810;23054;11417;32;26066179;26110366;1998;59740593;59467874;63665;464146924;177030572;31865503;64215546;11558799;1702797;18603907;12808366;8686962;464117175;26080108
Рязанская область;169810721;170155486;23385;135004;134728;1653;18135;8352;36;145470005;145575352;22236;3827;1838;14;1767352;1766074;351;26197968;26425494;24145;27031496;76540759;13777336;13121383;2361850;426920;10988566;5133164;300021;27031388;1752749
Самарская область;752823316;741731221;90614;1207082;1196616;3203;207116;77047;102;648684141;637304097;86828;141683;14016;36;15673569;15701034;1323;103306433;103547942;89797;207437182;488776128;87979704;139857549;25174354;3225881;59579469;69651823;3349606;207437355;15655678
Саратовская область;231434018;231562707;33215;220236;223280;1346;42397;29772;61;199646635;199969411;31376;9908;3587;30;2998773;3003712;675;35841061;35523937;33295;53521363;77833197;14009976;25857219;4654303;583644;8772029;3131386;560861;53513673;2971253
Сахалинская область;88792100;88436810;5752;4596032;4595502;1121;4006;3890;8;88675854;88607571;5192;109;51;2;2257170;2251785;152;25331011;25169750;6234;81134747;14016102;2522899;2582834;464909;206999;1850991;2380674;4870535;81033018;2251784
Свердловская область;1003967551;994950632;123108;1587781;1505809;8014;324364;161053;230;881474032;872249068;118099;284439;174603;82;52205634;52144532;2755;116133185;116275256;126676;510008355;929998972;167399818;601270791;108228741;6159806;53011271;39259120;7575980;508581826;51083797
Смоленская область;111237798;112018756;19289;419746;421268;2537;116810;100884;101;103796198;104571898;18627;87123;80181;59;7742367;7729691;3126;10493746;10507600;18396;81933562;32518388;5853306;12137776;2184794;855561;2812951;13818429;6283098;81933556;7644068
Тамбовская область;108011869;107101647;11809;111072;110594;1470;19341;3594;5;102661786;101768399;11134;12564;3026;2;558298;558310;101;10024093;10027233;12569;9340260;19208408;3457513;4846638;872396;357833;2227284;1204164;28361;9340260;555608
Тверская область;124079118;124199100;21351;257897;254508;3546;130954;34000;18;108858198;108822971;19802;49647;2637;8;1334639;1352464;433;16716513;16783968;23941;18801678;35316286;6356938;12874705;2317444;895696;3143798;2800409;3851521;18801305;1299790
Томская область;236869842;236183437;20863;149122;143558;2164;19604;8262;20;193147318;192441778;19925;5782;694;7;1653603;1628643;245;45363163;45235061;22164;19461306;39909810;7183765;10728301;1931096;360739;4891930;4389405;782806;19461307;1655003
Тульская область;211936212;212887000;26497;461439;464668;2135;36533;30488;52;194024191;195047588;25269;8630;4424;17;14426077;14419360;465;23721450;23875300;27528;162190944;38619420;6951495;12233465;2202026;1087794;3661675;6167666;1742682;162194348;14353171
Тюменская область;439627945;438150282;31903;5164094;4741257;2450;43436;15171;9;373126730;371681517;30175;22324;9030;4;27895259;27916256;218;80984678;80530206;32864;296952980;240775629;43339615;80427874;14477017;2647270;26215328;41392338;5886671;296952982;27895150
Ульяновская область;141482968;139977748;21700;283229;280455;1869;-109;15161;13;130001198;128571129;20658;-619;0;0;1315790;1293809;295;15559144;15501832;22420;29926396;39037876;7026820;17044009;3067923;1002737;2956160;5834747;12291279;29920620;1265025
Челябинская область;633108801;644697719;87142;1033093;865871;4220;379584;61524;186;550943109;563028597;83603;205793;33469;66;27833238;27645587;2484;69587410;68951773;87818;249773373;607787870;109401820;429916385;77384952;1873032;30143836;16378758;2453465;250274096;27395978
Забайкальский край;44087879;43963171;4962;139447;119548;1704;12137;242;10;42782210;42637531;4327;319;0;0;3668326;3663359;307;8789859;8773213;6119;42946895;26985206;4857334;2868456;516321;218035;4122978;20212855;11413;42916804;3664322
Ярославская область;213404090;216250585;39858;397711;391839;1664;29545;2492;21;184474133;187400484;37880;15228;1770;10;2568248;2568706;611;31968359;31906151;40230;45866490;77088291;13875896;31937796;5748802;1341777;6785317;40806838;1155335;45863345;2542205
город Москва;14049850976;14038482881;782218;96041182;96699838;40734;4428010;3112073;1826;12630852067;12620603388;756318;2121819;1455807;594;812934054;812634091;14637;1648864390;1654298276;771810;8967061254;145705356047;26226964094;94498123135;17009662165;165448777;9051853152;13317036463;111981161624;8984318036;807777212
город Санкт-Петербург;4008148504;3991608844;347349;13099567;13049778;14360;767772;293425;441;3620402296;3605106396;338223;283437;112805;122;105549433;104031416;6984;456053040;454613905;344914;1217337840;5110866715;919956007;3086096351;555497342;21549308;342909357;8033502913;124697532;1215355024;103501158
Еврейская автономная область;3641379;3625854;712;9046;8876;788;3540;3416;2;3430545;3408952;640;720;720;1;316190;310628;40;613761;605828;1392;4591438;826695;148805;132876;23918;15419;109468;153284;0;4536590;305133
Ненецкий АО;10259653;10254940;348;7360;7218;15;0;0;0;11469415;11468281;327;-334;0;0;3862311;3867338;16;1374881;1371859;313;72410393;3046967;548456;245098;44118;35043;469295;23330898;327778;72410393;3863620
Ханты-Мансийский АО - Югра;866828592;864527549;24968;978184;956419;2346;5069;1828;6;573450945;571381527;23047;559;559;2;66485083;66437784;117;234367548;234157708;26311;1346147179;196090063;35296209;44207944;7957424;4164168;23174617;17641614;9467588;1346331353;66440336
Чукотский АО;8868535;8880715;407;291618;291581;991;0;0;0;9245091;9248835;379;0;0;0;4398316;4404650;43;2060584;2062499;1172;65523694;1629009;293222;386955;69653;67860;155709;395810;10961;65605702;4404649
Ямало-Hенецкий АО;558353247;557634174;5457;7411875;7401535;1014;0;0;0;387539454;387481886;4827;0;0;0;6881088;6902458;29;237822644;237338671;6056;156372576;69756087;12556097;32143534;5785834;1222338;5547925;8121722;87296;156372576;6889826
Республика Крым;97245171;96143866;19363;118712;145768;2911;1795;729;9;94608611;93501310;18049;442;409;1;79263;97361;72;14696341;14712286;21436;1989734;76175175;13711534;34482724;6206891;1159918;6344725;6171716;274998;1989735;96443
город Севастополь;24113020;24033689;6954;49172;48042;1136;5644;1666;4;20721270;20641148;6624;75;0;0;16118;14212;28;3910952;3909463;7882;454099;14641201;2635417;1448383;260709;142108;2232600;4220960;56228;454099;11928
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
