GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G209;G210;G211;G212;G213;G214;G215;G216;G217;G218;G219;G220;G221;G222;G223;G224;G225;G226;G227;G228;G229;G230;G231;G232;G233;G234;G235;G236;G237;G238;G239;G240;G241;G242;G243;G244;G245;G246;G247;G248;G249;G250;G251;G252;G253;G254
Республика Коми;585784335;71846017;51038030;7515328;496159453;78026640;43320035;11156474;127932;47111;434056;52419;2922;0;97034032;8754416;136;88279617;9827077;17655923;2648388;1950;0;0;0;1216842;182541;2608243;22725;391234;3409;1750883;0;0;0;0;0;0;0;0;1750883;162;60380365;51800757;0;0;1578;379;1199;183;61;506281;1750527;260214;455183;1678209;218290;51097;135600;41924;10220;27120;8385;1533;4069;1258;0;63282;0;167;32;32;0;8;0;0;0;47240;0;0;44672;0;0;2568;0;0;0;0;0;514;0;0;77;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;415278;0;0;393342;0;0;24659;0;0;739;0;0;2723;0;0;2;0;0;0;1930724;0;1692526;0;238198;0;47640;0;7146;0;0;1;1;0;0;1371128;1732767;0;6643;368282;1329;199;7;3;5;0;0;0;0;0;0;0;50208;50591;2455744;2455543;0;0;201;17872;76604870;70940859;37769;834532;4654395;0;4506;0;0;0;40500;0;0;234028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4193520;0;11040;0;0;0;0;0;0;46;1037708;4296449;0;0;1432;1;0;0;0;0;0;0;0;0;0;190310;4;239830221;1;0;0;0;0
Республика Крым;457054942;114929535;151158362;12796610;446007418;123650967;114053369;11168531;170603;46158;2393701;1254918;23182;0;45906262;2923330;228;42993062;8302112;8598635;1289407;0;0;0;0;1376699;206231;1383024;21784;207361;3266;584666;0;0;0;0;0;0;0;0;584666;0;7969512;41591129;0;0;4597;527;3170;315;425;1195785;3082655;0;999421;2824270;0;196364;266534;0;39273;53307;0;5891;7996;0;0;8149;0;349;39;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;304807247;0;0;285106650;0;0;897867;0;0;25911427;0;0;0;3039018;0;0;2143318;0;0;777293;0;0;7070018;0;0;594;0;0;71;0;10882;0;0;8088;0;0;2793;0;0;84;0;0;0;0;0;0;0;0;13932239;0;12895908;0;1612922;0;322584;0;48388;0;576591;0;35;0;2;0;82857;54439;0;30407;1989;6081;912;16;3;13;0;0;0;0;0;0;0;23771;23849;2573;2473;0;0;100;132600;5059733;3281707;444933;1238935;87787;0;1032;0;0;0;87787;0;0;87051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;114177;1048183;7055;2;364;1;86;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Марий Эл;309531170;21911863;10942094;716215;286649336;24096790;10317206;1420830;87183;44776;370722;19637;14326;178730;23209075;1242879;107;21966196;3043133;4393239;658986;0;0;0;0;921895;138246;449535;6320;67442;948;248576;0;0;0;0;0;0;0;0;248576;0;5347831;5925002;1178;0;2011;185;592;102;4;1014864;1915816;8735;975231;1668205;8639;39632;258619;95;7926;51724;19;1189;7759;3;0;7116;0;122;33;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;327997;0;0;301039;0;0;26942;0;0;808;0;0;0;0;0;0;0;0;12065716;0;11121226;0;1886510;0;377302;0;56595;0;942020;0;17;0;3;0;35074;38908;0;1004;4838;201;30;4;2;0;0;0;0;0;0;0;0;180633;173178;5180;16262;0;0;0;15398;1322396;528381;288403;362877;285;0;90;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;34158;370323;1070;2;900;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Мордовия;473673173;13947502;18786601;1664309;432588803;15622142;23235803;2523920;223412;98807;1938909;77859;4644;7;34915027;2290473;137;32624554;2512993;6345947;978735;165;0;0;0;1024274;165689;487244;2707;73212;406;458095;178962;8;0;0;0;0;0;0;637057;56;17275017;11937809;0;0;2067;312;1903;453;27;136205;1773090;0;133756;1718294;0;2449;54796;0;490;10959;0;73;1644;0;0;0;0;22;21;0;0;0;0;0;0;3826567;0;0;3188626;0;0;701555;0;0;0;0;0;105209;0;0;21047;0;0;69378;0;0;16;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18513;0;0;16560;0;0;1953;0;0;59;0;0;0;0;0;0;0;0;52609229;0;39429107;0;13196265;0;2639253;0;395888;0;16143;0;40;0;2;0;81897;81314;0;1768;1185;354;53;6;3;0;0;0;0;0;0;0;0;225206;220363;354093;355652;0;0;317;0;3892852;2097337;1511374;283324;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;767;1;0;0;42;80105;999515;0;0;0;0;0;0;0;0;0;0;0;0;0;85693;2;0;0;0;0;0;0
Республика Саха (Якутия);993407346;131949784;149983992;51129445;764362930;160727624;119304939;46600052;227895;457122;10886952;2260632;1664864;499;247354275;3087186;140;244267088;26052455;48850237;7324832;0;0;0;0;6854696;1027763;1336769;180306;200605;27046;617437;0;0;0;0;0;0;0;0;617437;0;54269916;120707737;28058;0;2137;608;2533;313;42;752428;1751337;44295;728979;1523139;44295;35393;239799;0;7079;47960;0;1062;7194;0;11944;11601;0;164;35;1;3;5;0;266056466;13058069;127669850;227281932;11632509;99926264;40029329;2141175;21900440;0;0;0;3914422;144392;1721427;1182115;63949;43509;6850348;715615;774379;11;6;35;3;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56152;0;0;53829;0;0;2323;0;0;70;0;0;0;0;0;0;0;0;432227;745934;390597;712331;70051;33603;14010;6721;2102;1008;28421;0;9;2;4;0;1296334;1605456;4219;117325;430667;23465;3520;5;1;1;0;0;0;0;0;0;0;6894343;6922431;5719218;6494769;0;0;4816;37000;72862304;41378050;90561;230646;31098159;0;713;0;18632484;0;0;0;0;10985;0;0;0;0;0;12463200;0;0;0;0;0;0;0;0;0;0;18632484;0;0;0;0;0;0;0;0;71;2201679;16667899;0;0;0;0;2598;1;0;0;0;0;0;0;0;1497082;3;53896;1;0;0;0;0
Республика Северная Осетия - Алания;104306801;12777079;2409614;1323632;97459783;15451569;3298960;2834833;8527;24557;1450;269;0;0;5964749;214365;57;5750384;4161402;1140185;172406;0;0;0;0;266484;40610;112293;4611;16865;692;42873;8992;2;0;0;0;0;0;0;51865;0;924148;12923091;0;0;852;135;947;406;22;851343;535736;37500;632680;478773;37500;227185;57529;0;45437;11506;0;6816;1726;0;8523;741;0;50;9;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;338;0;0;0;0;0;338;0;0;10;0;0;0;0;0;0;0;0;2658099;0;2530873;0;338769;0;67754;0;10163;0;211543;0;11;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129741;500;0;125999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8243;47606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Татарстан;8932669647;305694635;1962934254;188716682;8326059131;345568393;1516324711;188238381;4754749;2346759;79231413;18902984;739570;3264;977981545;60290383;1279;917691161;55701567;179871642;27302947;238564;0;0;0;24649070;3724751;4386586;101723;738363;15330;12058077;20935;4;225857;3417867;38;0;0;0;15722736;0;255270510;360194866;137362;414242;30095;2360;12772;1655;79;7129841;15076035;0;6672846;13272171;0;671209;1923705;0;134242;384740;0;20137;57711;0;214213;119841;0;140;134;0;1;8;0;0;0;96949632;0;0;86931096;0;0;10249588;0;0;0;0;0;1393016;0;0;253329;0;0;1181226;0;0;88;0;0;25;0;0;273536815;0;0;263775196;0;0;0;0;0;10151297;0;0;0;42232;0;0;1988027;0;0;304539;0;0;0;0;0;2;0;0;0;41061;0;0;30261;0;0;10801;0;0;324;0;0;0;0;0;0;0;0;127853542;0;115502136;0;14221498;0;2844300;0;426645;0;1870092;0;201;0;27;0;14856737;14193363;0;1414327;750953;282865;42430;32;15;6;0;0;0;0;0;0;0;8471217;8577043;15183113;15743368;0;0;295481;37597128;136507757;47501167;54160587;33001182;1502146;0;42698;0;106625;32557;107036;0;0;2093412;0;6646;0;0;0;0;0;20000;500000;3021;69993;112500;0;0;7;0;36036;35325;1513803;203810;1;16300;3;0;0;465;6237202;45997882;63737;4;0;0;36888;2;0;0;0;0;0;0;0;875755;16;4803;3;0;0;0;511171
Республика Тыва;24177629;3590694;6098004;1710319;23759997;4448578;3486021;1554940;187;37391;504;0;0;0;3031162;96007;10;2935155;665114;587031;88055;0;1656;8273;1;292362;43854;28233;13905;4401;2086;19201;0;0;0;0;0;0;0;0;29130;0;11773298;6197130;0;0;333;38;165;25;735;251260;75832;0;251260;72586;0;0;3246;0;0;649;0;0;97;0;0;0;0;50;7;0;0;0;0;23398683;7480980;0;15878662;5804827;0;3759200;882063;0;0;0;0;375920;26462;0;112776;26462;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;14;0;0;0;0;0;0;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1475;500;0;0;975;158785;38;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1752382;375073;0;0;0;0;0;0;0;6;34751;186081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Удмуртская Республика;1220426731;190824371;86889772;276987213;1141746148;186329592;78844265;293667103;315593;51019;4127223;956021;137551;0;83008139;4913929;357;78095294;12708794;15587825;2342500;21773;30846;312028;8;2087443;320152;647133;51766;95689;7765;982786;28033;2;0;0;0;0;0;0;1353693;189;22755603;39433393;15;0;8427;764;3444;525;64;1172609;4612142;8675;1088781;4087201;8592;84213;541036;83;16843;108207;17;2526;16231;2;385;16095;0;192;59;1;3;2;0;0;0;4759249;0;0;4341377;0;0;492770;0;0;0;0;0;73916;0;0;14783;0;0;137874;0;0;30;0;0;10;0;0;2936067;0;0;3400352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;464285;0;0;1;0;0;1;113000;0;0;112649;0;0;351;0;0;11;0;0;0;0;0;0;0;0;32161597;0;29781845;0;3093591;0;618719;0;92808;0;713839;0;54;0;4;0;50680;50074;0;1213;606;243;36;4;2;1;0;0;0;0;0;0;0;11500906;11166196;304668;303245;352834;147472;210489;188266;4952669;3549216;435737;948951;15176;0;1010;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;874;0;0;4438;4;0;0;142;387472;5098417;1176;1;42;1;0;0;0;0;0;0;0;0;0;25467;5;0;0;0;0;0;0
Республика Хакасия;264247230;132747413;44964567;6003817;198717876;129556911;51980052;18293275;84851;40408;3009129;0;298;254;55589294;541954;64;55047340;9053514;11009468;1651420;0;0;0;0;1462688;219382;357289;698;53594;105;108391;0;0;0;0;0;0;0;0;108391;0;1258963;18456090;0;3125;1187;145;1043;58;14;319263;1197744;0;312224;1129418;0;7039;80649;0;1408;16130;0;211;2419;0;0;12322;0;92;23;0;0;1;0;200621;0;0;488143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287523;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1326;0;0;1326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;833936;0;752191;0;91186;0;18237;0;2736;0;9440;0;13;0;3;0;1432;2334;0;0;902;0;0;1;1;0;0;0;0;0;0;0;0;0;0;38055;36168;0;0;5287;0;9177735;9022522;12609;142604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;110696;2461149;0;0;0;0;0;0;0;0;0;0;0;0;0;400786;1;129;1;0;0;0;0
